city,x,y,country,iso2,admin,capital,population,population_proper
Gaborone,2884504.4115438205,-2832373.584263107,Botswana,BW,Gaborone,primary,208411,159243
Francistown,3062151.839814413,-2412160.853717459,Botswana,BW,Francistown,admin,89979,88380
Lobatse,2858777.2527070963,-2902073.2283670213,Botswana,BW,Lobatse,admin,69804,30883
Molepolole,2838099.2120142826,-2803031.354931679,Botswana,BW,Kweneng,admin,63248,52178
Mahalapye,2984944.6485018674,-2644608.7627284005,Botswana,BW,Central,,50744,44471
Maun,2606731.4465156533,-2271056.59652553,Botswana,BW,North West,admin,49945,44173
Serowe,2974085.766133456,-2557611.59818473,Botswana,BW,Central,admin,48573,47419
Kanye,2820027.160600939,-2871660.672116875,Botswana,BW,Southern,admin,46831,44716
Mochudi,2911004.6842441037,-2804263.620143767,Botswana,BW,Kgatleng,admin,39700,39700
Palapye,3019548.9801319013,-2577212.3571213293,Botswana,BW,Central,,30650,23708
Tshabong,2499122.5683089914,-3005274.9765976886,Botswana,BW,Kgalagadi,admin,9679,9679
Kasane,2799685.1934508304,-2016100.8505828846,Botswana,BW,Chobe,admin,9250,6299
Nata,2914715.296830716,-2298715.8487930074,Botswana,BW,,,4794,191
Mopipi,2769999.9587994604,-2413752.5630406733,Botswana,BW,Central,,3301,3301
Lehututu,2434186.235786079,-2749346.8639342547,Botswana,BW,,,1942,1942
Nokaneng,2478714.0321033886,-2233584.5837375857,Botswana,BW,,,1763,1763
Lokwabe,2430475.511879976,-2773730.4002554473,Botswana,BW,,,1473,1473
Tsau,2499122.5683089914,-2290808.977910401,Botswana,BW,,,1409,1409
Muhembo,2426764.899293364,-2072693.080975136,Botswana,BW,,,757,757
Sowa Town,2919291.7524167183,-2339919.2794220913,Botswana,BW,Sowa Town,admin,,
Masunga,3055581.0955508496,-2347165.602826395,Botswana,BW,North East,admin,,
Selibe Phikwe,3098547.0794123295,-2508623.945101075,Botswana,BW,Selibe Phikwe,admin,,
Ghanzi,2424909.5373403123,-2459577.2680180427,Botswana,BW,Ghanzi,admin,,
Ramotswa,2879823.3156364723,-2859979.2221855544,Botswana,BW,South East,admin,,
Jwaneng,2752714.6022275533,-2826897.133333661,Botswana,BW,Jwaneng,admin,,
