city,x,y,country,iso2,admin,capital,population,population_proper
São Paulo,-5192128.178662303,-2701492.560216329,Brazil,BR,São Paulo,admin,18845000,10021295
Rio de Janeiro,-4817634.6061414555,-2616922.6380785434,Brazil,BR,Rio de Janeiro,admin,11748000,2010175
Belo Horizonte,-4894071.911855675,-2261394.18838619,Brazil,BR,Minas Gerais,admin,5575000,2373224
Porto Alegre,-5699557.928615607,-3507835.2098339237,Brazil,BR,Rio Grande do Sul,admin,3917000,1372741
Brasília,-5334058.970950855,-1779645.047781761,Brazil,BR,Distrito Federal,primary,3716996,2562963
Recife,-3885050.2286852472,-899084.770986284,Brazil,BR,Pernambuco,admin,3651000,1478098
Fortaleza,-4290939.682472485,-416347.96048315294,Brazil,BR,Ceará,admin,3602319,2315116
Salvador,-4287655.757494084,-1457828.170197069,Brazil,BR,Bahia,admin,3484000,2678845
Curitiba,-5482484.921568723,-2927010.201494304,Brazil,BR,Paraná,admin,3084000,1498860
Campinas,-5239520.670755686,-2621074.714086639,Brazil,BR,São Paulo,,2791000,1031554
Belém,-5395724.068917316,-160014.17198827077,Brazil,BR,Pará,admin,2167000,1407737
Goiânia,-5484354.309777615,-1886050.516533627,Brazil,BR,Goiás,admin,2022000,1171195
Manaus,-6681983.381684686,-346745.32011080853,Brazil,BR,Amazonas,admin,1753000,1520244
Santos,-5160334.218896836,-2747670.54958928,Brazil,BR,São Paulo,,1709000,411403
Vitória,-4491186.080569021,-2312423.887765529,Brazil,BR,Espírito Santo,admin,1704000,312656
Niterói,-4796855.821309472,-2618371.8361670393,Brazil,BR,Rio de Janeiro,,1500513,487327
Vila Velha,-4484320.117015873,-2312560.886808222,Brazil,BR,Espírito Santo,,1209091,275736
Vila Velha,-5702908.979246956,358131.8540787874,Brazil,BR,Amapá,,1209091,275736
Maceió,-3976603.051456832,-1079619.830036767,Brazil,BR,Alagoas,admin,1186000,814431
Natal,-3919633.7435705033,-646782.0806713859,Brazil,BR,Rio Grande do Norte,admin,1088000,763043
São Luís,-4931041.448706592,-282010.568284677,Brazil,BR,Maranhão,admin,1038000,11385
Florianópolis,-5407434.434070806,-3197435.5886875954,Brazil,BR,Santa Catarina,admin,1023000,114566
Joinvile,-5436101.7632983625,-3036284.9233130277,Brazil,BR,Santa Catarina,,988000,433475
