city,x,y,country,iso2,admin,capital,population,population_proper
Sofia,2595599.4974363255,5263895.440498967,Bulgaria,BG,Sofia-Grad,primary,1185000,874827
Plovdiv,2755157.397133521,5183475.266894332,Bulgaria,BG,Plovdiv,admin,340494,297685
Varna,3107669.1550853844,5345009.137346374,Bulgaria,BG,Varna,admin,312770,178274
Burgas,3057702.6224063877,5237088.509104331,Bulgaria,BG,Burgas,admin,195966,152542
Ruse,2891059.905037145,5443244.880384667,Bulgaria,BG,Ruse,admin,184270,156238
Stara Zagora,2854448.1490296363,5226029.567420952,Bulgaria,BG,Stara Zagora,admin,143431,113200
Pleven,2740314.835467581,5375609.396884064,Bulgaria,BG,Pleven,admin,118675,102216
Sliven,2930949.4634510623,5264274.0282358695,Bulgaria,BG,Sliven,admin,96368,78325
Dobrich,3098392.4566396177,5398625.970882379,Bulgaria,BG,Dobrich,admin,94831,52795
Shumen,2997741.1579270265,5354178.647251053,Bulgaria,BG,Shumen,admin,87283,63692
Pernik,2564058.9008319043,5251284.604977384,Bulgaria,BG,Pernik,admin,82467,78783
Haskovo,2846377.485947124,5152037.57192857,Bulgaria,BG,Haskovo,admin,79699,65911
Vratsa,2622965.5018165084,5343990.809174863,Bulgaria,BG,Vratsa,admin,71633,64941
Kyustendil,2525962.9220536486,5203599.956765945,Bulgaria,BG,Kyustendil,admin,51067,48286
Montana,2585395.173673779,5374970.811435592,Bulgaria,BG,Montana,admin,47445,47445
Lovech,2751446.7845469085,5332288.559632295,Bulgaria,BG,Lovech,admin,42211,42211
Razgrad,2951821.8679748015,5393506.130539224,Bulgaria,BG,Razgrad,admin,38285,38285
Borino,2704284.3898409945,5113773.454332905,Bulgaria,BG,Smolyan,minor,,
Madan,2776277.7101632566,5086178.347585363,Bulgaria,BG,Smolyan,minor,,
Zlatograd,2793679.7295615147,5068479.712160723,Bulgaria,BG,Smolyan,minor,,
Pazardzhik,2708774.23886316,5190985.714725108,Bulgaria,BG,Pazardzhik,admin,,
Smolyan,2748694.6327760266,5099057.126531318,Bulgaria,BG,Smolyan,admin,,
Blagoevgrad,2571480.2373246197,5163476.406873514,Bulgaria,BG,Blagoevgrad,admin,,
Nedelino,2791901.8459740556,5079838.84203716,Bulgaria,BG,Smolyan,minor,,
Rudozem,2766228.3431318933,5084517.997262428,Bulgaria,BG,Smolyan,minor,,
Devin,2715884.7713375804,5122417.462344645,Bulgaria,BG,Smolyan,minor,,
Veliko Tarnovo,2855963.4299383145,5325045.643639978,Bulgaria,BG,Veliko Tarnovo,admin,,
Vidin,2546155.0531691494,5463894.79068277,Bulgaria,BG,Vidin,admin,,
Kirkovo,2823484.1873875246,5060717.076011706,Bulgaria,BG,Kardzhali,minor,,
Krumovgrad,2855884.504419342,5082104.371660042,Bulgaria,BG,Kardzhali,minor,,
Dzhebel,2816786.6502239467,5085728.9011864215,Bulgaria,BG,Kardzhali,minor,,
Silistra,3035311.4860697566,5483514.456868251,Bulgaria,BG,Silistra,admin,,
Sarnitsa,2674378.965236836,5121865.319099881,Bulgaria,BG,Pazardzhik,minor,,
Shiroka Laka,2736383.4763307264,5113053.385047862,Bulgaria,BG,Smolyan,minor,,
Yambol,2949966.5060217497,5233657.614425047,Bulgaria,BG,Yambol,admin,,
Dospat,2689319.265415692,5107893.451567405,Bulgaria,BG,Smolyan,minor,,
Kardzhali,2823804.4535625367,5108694.47561503,Bulgaria,BG,Kardzhali,admin,,
Gabrovo,2820186.5701117553,5292922.656396794,Bulgaria,BG,Gabrovo,admin,,
Targovishte,2959892.5310573136,5351503.27368182,Bulgaria,BG,Targovishte,admin,,
