city,x,y,country,iso2,admin,capital,population,population_proper
Ouagadougou,-169731.27664130167,1387877.6907735965,Burkina Faso,BF,Centre,primary,1149000,835457
Bobo-Dioulasso,-478440.15079990134,1252202.6726889072,Burkina Faso,BF,Hauts-Bassins,admin,360106,331964
Koudougou,-263016.78728708334,1374473.1302835895,Burkina Faso,BF,Centre-Ouest,admin,87347,83331
Ouahigouya,-269569.275154157,1526393.1958812962,Burkina Faso,BF,Nord,admin,79504,61096
Banfora,-530622.943221101,1190551.2129255487,Burkina Faso,BF,Cascades,admin,60288,31519
Dédougou,-385248.4824848583,1398489.761791918,Burkina Faso,BF,Boucle du Mouhoun,admin,45341,45341
Kaya,-120719.75387382077,1470206.9503475826,Burkina Faso,BF,Centre-Nord,admin,40017,39229
Tenkodogo,-41157.26477507069,1320681.1430674251,Burkina Faso,BF,Centre-Est,admin,38108,37658
Torodi,-3083.7725339552644,1573837.8357852933,Burkina Faso,BF,Sahel,,37806,37806
Réo,-275064.1165392038,1382105.789942098,Burkina Faso,BF,Centre-Ouest,minor,37535,37535
Fada Ngourma,39900.57904350543,1352715.9308032335,Burkina Faso,BF,Est,admin,33910,33910
Koupéla,-39076.59217265361,1366046.018014035,Burkina Faso,BF,Centre-Est,minor,32052,32052
Kombissiri,-148450.44090584235,1352645.696231712,Burkina Faso,BF,Centre-Sud,minor,30137,30137
Nouna,-430032.6475894647,1428831.8731639436,Burkina Faso,BF,Boucle du Mouhoun,minor,29048,29048
Gaoua,-354221.4026914663,1156366.404755217,Burkina Faso,BF,Sud-Ouest,,28023,28023
Léo,-234499.0714551533,1243486.1295593577,Burkina Faso,BF,Centre-Ouest,minor,26884,26884
Diapaga,199082.10754232857,1354023.4389082463,Burkina Faso,BF,Est,minor,26013,26013
Zorgo,-68491.54310037743,1374084.685017484,Burkina Faso,BF,Plateau-Central,minor,23892,23892
Yako,-251665.09353293007,1455060.0417971078,Burkina Faso,BF,Nord,minor,22904,22904
Djibo,-180954.2850640979,1585622.4638697272,Burkina Faso,BF,Sahel,minor,22223,22223
Orodara,-547563.5433300213,1229969.563396361,Burkina Faso,BF,Hauts-Bassins,,18632,18632
Pô,-127460.81695829822,1251359.3613470802,Burkina Faso,BF,Centre-Sud,minor,17924,17924
Tougan,-341684.04504087387,1468016.4388605626,Burkina Faso,BF,Boucle du Mouhoun,minor,17590,17590
Boulsa,-63973.64156653242,1421672.1308718582,Burkina Faso,BF,Centre-Nord,minor,17489,17489
Manga,-119452.04751266696,1307448.823871906,Burkina Faso,BF,Centre-Sud,admin,15173,15173
Diébougou,-361751.94360464974,1227807.8560004935,Burkina Faso,BF,Sud-Ouest,minor,12732,12732
Ziniaré,-144392.95678591833,1412000.7631293745,Burkina Faso,BF,Plateau-Central,admin,12703,12703
Bogandé,-16645.826097299785,1456350.9713924597,Burkina Faso,BF,Est,minor,9854,9854
Gorom-Gorom,-26124.124140893062,1625079.4180183595,Burkina Faso,BF,Sahel,minor,6691,6691
Sapouy,-197437.47338534874,1295042.620212812,Burkina Faso,BF,Centre-Ouest,minor,3837,3837
Sebba,59048.644654856405,1509635.6903815323,Burkina Faso,BF,Sahel,minor,3273,3273
Déou,-80039.71575578084,1643241.3512069134,Burkina Faso,BF,Sahel,minor,,
Dano,-340396.8577688313,1248713.373869444,Burkina Faso,BF,Sud-Ouest,minor,,
Sindou,-575150.7395384104,1194326.9765030826,Burkina Faso,BF,Cascades,minor,,
Oursi,-51244.25779432159,1651833.8172610803,Burkina Faso,BF,Sahel,minor,,
Boromo,-326173.12115221156,1316749.3715130368,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Batié,-324681.88525354484,1105704.6713994911,Burkina Faso,BF,Sud-Ouest,minor,,
Houndé,-391473.57972950896,1288857.180495907,Burkina Faso,BF,Hauts-Bassins,minor,,
Salanso,-454714.8503661125,1365543.6866475118,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Pama,78758.53973624106,1260438.1243669323,Burkina Faso,BF,Est,minor,,
Tin-Akoff,-18183.704862608858,1685223.42163712,Burkina Faso,BF,Sahel,minor,,
Kongoussi,-170844.4715492344,1496982.586090276,Burkina Faso,BF,Centre-Nord,minor,,
Dori,-3630.6851922226174,1578128.9277503449,Burkina Faso,BF,Sahel,minor,,
Ouargaye,6551.931269619702,1289087.2214146676,Burkina Faso,BF,Centre-Est,minor,,
Titao,-230060.3180792623,1547460.3708537691,Burkina Faso,BF,Nord,minor,,
Gaoua,-361881.07421396987,1152722.5779376193,Burkina Faso,BF,Sud-Ouest,admin,,
Orodara,-549268.9579289743,1226342.6822454461,Burkina Faso,BF,Hauts-Bassins,minor,,
Aribinda,-96158.77802264686,1600535.7077010185,Burkina Faso,BF,Sahel,minor,,
Gayéri,54895.98237030414,1419572.491969013,Burkina Faso,BF,Est,minor,,
Boussé,-210714.43773277168,1420640.0338323603,Burkina Faso,BF,Plateau-Central,minor,,
Gourcy,-262595.1090559584,1483477.8993654714,Burkina Faso,BF,Nord,minor,,
Toma,-322692.1606751059,1432148.4065794228,Burkina Faso,BF,Boucle du Mouhoun,minor,,
