city,x,y,country,iso2,admin,capital,population,population_proper
Nyaunggon,10704573.405344147,1891426.0890214427,Burma,MM,Yangon,,4088000,3301820
Mandalay,10696398.324579269,2507884.5055486355,Burma,MM,Mandalay,admin,1300000,1034000
Nay Pyi Taw,10701111.70313895,2242847.0173998857,Burma,MM,Nay Pyi Taw,primary,930000,194824
Mawlamyine,10867926.85439943,1861597.5694099313,Burma,MM,Mon State,admin,438861,361637
Bago,10740254.864367096,1959881.0821649153,Burma,MM,Bago,admin,284318,244376
Myeik,10976132.961674197,1395771.8662516412,Burma,MM,Taninthayi,,266720,173298
Pathein,10545531.69412576,1895136.2939559657,Burma,MM,Ayeyawady,admin,237089,194940
Monywa,10590472.597073402,2524564.278248842,Burma,MM,Sagaing,,226222,182011
Hinthada,10626230.75522551,1996556.123504174,Burma,MM,Ayeyawady,,180728,134947
Sittwe,10341396.572257344,2290363.251870677,Burma,MM,Rakhine State,admin,179032,177743
Letpandan,10658925.400990983,2012590.4046580053,Burma,MM,Bago,,176571,38936
Myingyan,10618588.44954357,2446816.82932059,Burma,MM,Mandalay,,163812,141713
Taunggyi,10802193.474322438,2366759.1875974485,Burma,MM,Shan State,admin,160115,160115
Mudon,10878652.48733736,1834415.8203598035,Burma,MM,Mon State,,152300,89123
Dawei,10930931.793757077,1582678.9383443487,Burma,MM,Taninthayi,admin,146212,136783
Myitkyina,10841894.346199458,2923281.657335419,Burma,MM,Kachin State,admin,139100,90894
Pyay,10600082.252116133,2134301.308490177,Burma,MM,Bago,,135308,114359
Pakokku,10584744.875313615,2431855.25629008,Burma,MM,Magway,,126938,123773
Magway,10567833.552230773,2290756.4483195264,Burma,MM,Magway,admin,125973,96954
Yenangyaung,10561013.229668852,2328202.8453767253,Burma,MM,Magway,,110553,98462
Taungoo,10734993.237315262,2148215.2912641885,Burma,MM,Bago,,106945,104236
Chauk,10555073.110320633,2379864.983669564,Burma,MM,Magway,,90870,79163
Shwebo,10653072.667443035,2580009.5261049024,Burma,MM,Sagaing,,88914,74603
Sagaing,10684877.647838093,2497046.029688976,Burma,MM,Sagaing,admin,78739,78739
Pyapon,10650917.410781788,1837800.6959131986,Burma,MM,Ayeyawady,,65601,60753
Allanmyo,10599064.124053337,2198930.4334445046,Burma,MM,Magway,,57897,38996
Chaungwa,10745615.009168282,1888535.0181025944,Burma,MM,Yangon,,52496,19489
Ye,10893175.228106253,1717619.548549624,Burma,MM,Mon State,,50798,50798
Hpa-an,10868658.780051393,1907969.813148764,Burma,MM,Kayin State,admin,50000,50000
Namtu,10842892.993351365,2641286.0750636254,Burma,MM,Shan State,,48591,48591
Wakema,10595698.824527165,1874698.9854641845,Burma,MM,Ayeyawady,,48405,42705
Pyu,10735363.931219602,2093961.9006694318,Burma,MM,Bago,,40386,34918
Nyaungdon,10646548.566046115,1926016.1964138753,Burma,MM,Ayeyawady,,36172,36172
Haka,10420702.358610323,2589085.2165377643,Burma,MM,Chin State,admin,20000,20000
Loikaw,10821340.315419389,2234921.647194356,Burma,MM,Kayah State,admin,17293,17293
Kyaukpyu,10414087.309189424,2205382.9851524765,Burma,MM,Rakhine State,,4261,4261
Labutta,10548521.179051014,1822039.8857480737,Burma,MM,Ayeyawady,,1667,1667
Rangoon,10704049.313181492,1898169.9799046677,Burma,MM,Yangon,primary,,
