city,x,y,country,iso2,admin,capital,population,population_proper
Bujumbura,3268830.055450002,-376723.6340563028,Burundi,BI,,primary,331700,331700
Mugongora,3371555.6815540353,-314995.149644802,Burundi,BI,Muyinga,,71076,71076
Ruyigi,3367259.9737238134,-387227.5152764607,Burundi,BI,Ruyigi,admin,38458,38458
Gitega,3331881.415035313,-381652.6535471029,Burundi,BI,Gitega,admin,23167,23167
Ngozi,3320727.202057827,-323800.41908873775,Burundi,BI,Ngozi,admin,21506,21506
Rutana,3340586.5992153464,-437025.66283442854,Burundi,BI,Rutana,,20893,20893
Bururi,3304752.855128992,-440272.7239959002,Burundi,BI,Bururi,,20393,19740
Makamba,3317766.1036027255,-460683.87120443967,Burundi,BI,Makamba,admin,19642,19642
Yanza,3292952.9891049042,-326419.8263382417,Burundi,BI,Kayanza,,19443,19443
Muramvya,3298006.893986919,-364167.90967223624,Burundi,BI,Muramvya,,18041,18041
Rutana,3268574.020621178,-347087.2421430416,Burundi,BI,Bubanza,,12728,12728
Karuzi,3357705.0878705545,-345413.7623401106,Burundi,BI,Karuzi,admin,10705,10705
Cankuzo,3402803.0626197075,-357756.78544423473,Burundi,BI,Cankuzo,,6585,6585
Kirundo,3350260.262965282,-287802.840919634,Burundi,BI,Kirundo,admin,6083,6083
Mwaro,3306756.605963271,-391121.0267500137,Burundi,BI,Mwaro,admin,,
Rutana,3338694.167871861,-437594.7272123685,Burundi,BI,Rutana,admin,,
Bururi,3297249.921449525,-439625.53435678594,Burundi,BI,Bururi,admin,,
Cankuzo,3401122.138308729,-358481.5030044996,Burundi,BI,Cankuzo,admin,,
Bubanza,3271791.1539051034,-343073.8735861639,Burundi,BI,Bubanza,admin,,
Kayanza,3298318.5885611405,-325427.78906006884,Burundi,BI,Kayanza,admin,,
Rumonge,3277089.9616668634,-442694.1461195411,Burundi,BI,Rumonge,admin,,
Muyinga,3377589.197955031,-316845.3204791384,Burundi,BI,Muyinga,admin,,
Isale,3282132.7345997985,-373010.29058055487,Burundi,BI,Bujumbura Rural,admin,,
Cibitoke,3242157.905455934,-321504.3027353356,Burundi,BI,Cibitoke,admin,,
Muramvya,3295936.3514581644,-364011.808395098,Burundi,BI,Muramvya,admin,,
