city,x,y,country,iso2,admin,capital,population,population_proper
Phnom Penh,11679196.363984033,1295952.2914425381,Cambodia,KH,Phnom Penh,primary,1466000,1466000
Battambang,11487972.744574767,1471469.426123921,Cambodia,KH,Battambang,admin,154773,150444
Siem Reap,11561704.207426274,1501096.7052707425,Cambodia,KH,Siem Reap,admin,109398,85000
Kampong Cham,11740143.33991539,1344955.8156881365,Cambodia,KH,Kampong Cham,admin,83233,61750
Kampong Chhnang,11651440.07346913,1374173.3093312215,Cambodia,KH,Kampong Chhnang,admin,75244,56390
Prey Veng,11724762.548511464,1287359.8533267798,Cambodia,KH,Prey Veng,admin,74000,74000
Pursat,11568232.872922318,1407087.0777919693,Cambodia,KH,Pursat,admin,52476,13446
Sisŏphŏn,11462978.624584915,1526747.5308068695,Cambodia,KH,Banteay Meanchey,admin,50302,23218
Kampot,11597425.74146591,1187954.949394452,Cambodia,KH,Kampot,admin,50105,22691
Kampong Speu,11635207.354002167,1283554.8828206812,Cambodia,KH,Kampong Speu,admin,33231,33231
Koh Kong,11464103.953317344,1301959.5476567121,Cambodia,KH,Koh Kong,admin,33134,27436
Stung Treng,11796337.418867834,1519875.6997982804,Cambodia,KH,Stung Treng,admin,29665,29665
Tbêng Méanchey,11686370.793846171,1552119.5231906993,Cambodia,KH,Preah Vihear,admin,24380,24380
Svay Rieng,11777530.21353729,1242070.9732010455,Cambodia,KH,Svay Rieng,admin,23956,23956
Kratie,11801957.272041041,1401309.8383566476,Cambodia,KH,Kratie,admin,19975,19975
Kampong Thom,11676160.236192139,1426747.692774411,Cambodia,KH,Kampong Thom,admin,19951,19951
Lumphăt,11909135.455137823,1515522.4861749576,Cambodia,KH,Ratanakiri,,19205,19205
Takeo,11664611.061661318,1231064.644350068,Cambodia,KH,Takeo,admin,15264,15264
Sênmônoŭrôm,11932125.712973904,1397628.9139457806,Cambodia,KH,Mondolkiri,admin,7944,7944
Suŏng,11761817.912689785,1335669.929614032,Cambodia,KH,Tbong Khmum,admin,,
Aek Phnum,11491659.980068313,1478010.0409069497,Cambodia,KH,Battambang,minor,,
Thpong,11624808.777728185,1317696.280878298,Cambodia,KH,Kampong Speu,minor,,
Preah Netr Preah,11486181.613967903,1531080.6631227075,Cambodia,KH,Banteay Meanchey,minor,,
Samlout,11450169.313418316,1416006.430354576,Cambodia,KH,Battambang,minor,,
Phnum Proek,11398610.800701484,1485278.0769680932,Cambodia,KH,Battambang,minor,,
Bavel,11452321.007855859,1488454.7140598134,Cambodia,KH,Battambang,minor,,
Kampot,11605737.63388497,1187252.5431058668,Cambodia,KH,Kampot,minor,,
Chhuk,11627908.802907795,1213564.2890617612,Cambodia,KH,Kampot,minor,,
Phnum Kravanh,11551556.879243014,1385704.7924504064,Cambodia,KH,Pursat,minor,,
Sangkae,11493129.286027292,1468808.4181965496,Cambodia,KH,Battambang,minor,,
Kiri Vongs,11674430.10866623,1191057.7352541033,Cambodia,KH,Takeo,minor,,
Ta Khmau,11682486.077575957,1282770.1595032567,Cambodia,KH,Kandal,minor,,
Krong Kep,11612484.262943987,1173517.2466705635,Cambodia,KH,Kep,admin,,
Mittakpheap,11524320.228111133,1189344.2880193952,Cambodia,KH,Sihanoukville,minor,,
Thma Puok,11471815.388403067,1567319.1210506724,Cambodia,KH,Banteay Meanchey,minor,,
Bat Dambang,11475967.382770674,1489793.1545178338,Cambodia,KH,Battambang,minor,,
Tram Kak,11652513.972596815,1233437.6128809338,Cambodia,KH,Takeo,minor,,
Basedth,11636940.041876363,1249028.339631343,Cambodia,KH,Kampong Speu,minor,,
Kampong Trach,11629272.466670012,1182073.5001046348,Cambodia,KH,Kampot,minor,,
Trapeang Prasat,11616782.75376148,1595666.9402882638,Cambodia,KH,Oddar Meanchey,minor,,
Chum Kiri,11624187.503650067,1223627.1434049157,Cambodia,KH,Kampot,minor,,
Pailin,11422413.134222902,1442479.9371301024,Cambodia,KH,Pailin,admin,,
Svay Chek,11461659.711257998,1551898.399140533,Cambodia,KH,Banteay Meanchey,minor,,
Bak Khlang,11460944.706168631,1296699.8411371699,Cambodia,KH,Koh Kong,minor,,
Thma Bang,11524859.905002499,1303543.7101710981,Cambodia,KH,Koh Kong,minor,,
Mongkol Borei,11468905.719552713,1521559.4018873046,Cambodia,KH,Banteay Meanchey,minor,,
Ban Lŭng,11909768.195123492,1544334.3971715437,Cambodia,KH,Ratanakiri,admin,,
Mondul Seima,11460357.941132661,1302959.2007769034,Cambodia,KH,Koh Kong,minor,,
Smach Meanchey,11464573.27629053,1300687.6380815445,Cambodia,KH,Koh Kong,minor,,
Srae Ambel,11549823.746090854,1245958.5726744293,Cambodia,KH,Koh Kong,minor,,
Anlong Veaeng,11586252.158897026,1600873.1183110843,Cambodia,KH,Oddar Meanchey,minor,,
Soutr Nikom,11592571.655069869,1487026.337556647,Cambodia,KH,Siem Reap,minor,,
Kampong Seila,11566182.256582415,1242503.9649284172,Cambodia,KH,Koh Kong,minor,,
Srei Snam,11523031.148407746,1555201.3507722036,Cambodia,KH,Siem Reap,minor,,
Phnum Sruoch,11618598.48597581,1275795.719619971,Cambodia,KH,Kampong Speu,minor,,
Kandal Stueng,11669230.041292803,1279032.3952154948,Cambodia,KH,Kandal,minor,,
Koas Krala,11494309.272629702,1431856.1017365307,Cambodia,KH,Battambang,minor,,
Ou Chrov,11419549.551641736,1532814.7745012236,Cambodia,KH,Banteay Meanchey,minor,,
Ta Khmau,11682980.55875406,1286963.864540472,Cambodia,KH,Kandal,admin,,
