city,x,y,country,iso2,admin,capital,population,population_proper
Douala,1080734.1444174172,450873.89301596966,Cameroon,CM,Littoral,admin,1906000,1338082
Yaoundé,1282029.5060756975,430762.5009988144,Cameroon,CM,Centre,primary,1611000,1060587
Bamenda,1129444.659281793,664630.8964365434,Cameroon,CM,North-West,admin,445299,393835
Garoua,1491425.921037477,1040008.1194815665,Cameroon,CM,Nord,admin,436899,293974
Maroua,1593641.4812346948,1185750.6056598455,Cameroon,CM,Extrême-Nord,admin,319941,201371
Bafoussam,1159680.9254125895,610711.6190928196,Cameroon,CM,Ouest,admin,290768,290768
Ngaoundéré,1512089.712835469,816710.3910693009,Cameroon,CM,Adamaoua,admin,231357,37288
Bertoua,1523221.6619147963,510759.31820618024,Cameroon,CM,Est,admin,218111,88462
Limbe,1025797.9757109366,448340.65960063133,Cameroon,CM,South-West,,212474,72106
Edéa,1128037.4695986754,423324.5234136545,Cameroon,CM,Littoral,,203149,15864
Kumba,1051624.097574976,516674.7134618513,Cameroon,CM,South-West,,144413,117831
Kumbo,1187407.938901415,691531.744085307,Cameroon,CM,North-West,,125486,53970
Nkongsamba,1106560.2662814567,552243.3963072181,Cameroon,CM,Littoral,,117063,93075
Bafang,1132909.4784327336,574856.4439807459,Cameroon,CM,Ouest,,93145,80688
Foumban,1213232.6136120742,638548.4580817989,Cameroon,CM,Ouest,,92673,36125
Buea,1028703.414420641,462681.7126591206,Cameroon,CM,South-West,admin,90088,90088
Ébolowa,1241212.3223450002,322964.4495588818,Cameroon,CM,Sud,admin,87875,79500
Guider,1552541.2120389102,1111350.9680540334,Cameroon,CM,Nord,,84647,81991
Mbalmayo,1280174.1441226462,391719.60386052064,Cameroon,CM,Centre,,80206,26797
Meïganga,1591868.718343812,727001.1817512251,Cameroon,CM,Adamaoua,,80100,29629
Bigna,1250488.9094712762,525651.0104089669,Cameroon,CM,Centre,,69270,13132
Wum,1120616.244425451,712063.9566662419,Cameroon,CM,North-West,,68836,16366
Kribi,1103918.3208064598,328537.685161105,Cameroon,CM,Sud,,55224,7722
Batouri,1599290.0548365274,494009.5645514416,Cameroon,CM,Est,,43821,40721
Tibati,1405790.285799009,721216.5650571473,Cameroon,CM,Adamaoua,,35589,8603
Bélabo,1480549.2275505385,549855.9499578222,Cameroon,CM,Est,,22553,358
Eséka,1198539.8879807424,406591.2436857479,Cameroon,CM,Centre,,22221,5983
Abong Mbang,1467561.9165181594,443780.23598800454,Cameroon,CM,Est,,14661,735
Kontcha,1361808.4002645498,889716.8250773688,Cameroon,CM,Adamaoua,,8018,3674
Mbé,1513945.0747885206,876604.8093894753,Cameroon,CM,Nord,,3950,3950
