"city, province_name",x,y,population,density
"Toronto, Ontario",-8835795.33858174,5425556.287326595,5429524,4334.4
"Montréal, Quebec",-8188850.985887554,5701996.355869876,3519595,3889.0
"Vancouver, British Columbia",-13703429.316651976,6317388.117930809,2264823,5492.6
"Calgary, Alberta",-12697846.960469097,6630142.913981801,1239220,1501.1
"Edmonton, Alberta",-12633682.405975856,7082465.757605702,1062643,1360.9
"Ottawa, Ontario",-8426328.855596842,5688631.456661538,989567,334.0
"Mississauga, Ontario",-8866597.44168424,5403748.491529243,721599,2467.6
"Winnipeg, Manitoba",-10814287.78039967,6426279.974079636,705244,1430.0
"Quebec City, Quebec",-7926849.432356504,5911750.542059964,705103,1173.2
"Hamilton, Ontario",-8890998.674066126,5351126.184294762,693645,480.6
"Brampton, Ontario",-8879588.426259816,5416562.220445588,593638,2228.7
"Surrey, British Columbia",-13675476.992513785,6307162.127096292,517887,1636.8
"Kitchener, Ontario",-8958191.118708946,5375905.640667664,470015,3433.5
"Laval, Quebec",-8209812.446003926,5713822.367752549,422993,1710.9
"Halifax, Nova Scotia",-7078873.211238743,5566197.238425183,403131,73.4
"London, Ontario",-9044675.23110624,5309475.932772026,383822,913.1
"Victoria, British Columbia",-13732895.585864956,6178406.790169101,335696,4406.3
"Markham, Ontario",-8823550.19459448,5446381.008820002,328966,1549.2
"St. Catharines, Ontario",-8820210.609870683,5339913.723840015,309319,1384.8
"Niagara Falls, Ontario",-8806117.562336255,5321108.922448167,308596,419.9
"Vaughan, Ontario",-8849899.51806525,5439681.110784894,306233,1119.4
"Gatineau, Quebec",-8421319.478511145,5697930.805863978,276245,773.7
"Windsor, Ontario",-9239517.735841706,5203511.331362319,276165,1484.3
"Saskatoon, Saskatchewan",-11875930.632146042,6824263.783404279,246376,1080.0
"Longueuil, Quebec",-8183841.608801855,5705873.054657281,239700,2002.0
"Burnaby, British Columbia",-13688590.428529235,6320236.562572502,232755,2568.7
"Regina, Saskatchewan",-11644764.577564731,6525397.453255363,215106,1195.2
"Richmond, British Columbia",-13707136.255695391,6303194.377332405,198309,1534.1
"Richmond Hill, Ontario",-8842474.508029338,5444836.821100725,195022,1928.8
"Oakville, Ontario",-8870304.380727656,5380719.2033074135,193832,1314.2
"Burlington, Ontario",-8883295.365303231,5360301.726624828,183314,946.8
"Barrie, Ontario",-8869591.935986578,5523051.518968187,172657,1428.0
"Oshawa, Ontario",-8777541.84904962,5449979.971864045,166000,1027.0
