city,x,y,country,iso2,admin,capital,population,population_proper
N’Djamena,1675154.955729088,1358059.1274260469,Chad,TD,Ville de N’Djaména,primary,989000,681387
Bongor,1711227.9254011577,1150616.9452822555,Chad,TD,Mayo-Kébbi Est,admin,193941,30518
Sagh,2047421.4705171254,1022130.1062978177,Chad,TD,Moyen-Chari,admin,169196,102528
Abéché,2317300.7704531415,1553191.5823710314,Chad,TD,Ouaddaï,admin,158317,74188
Moundou,1790388.439818653,957210.1197008274,Chad,TD,Logone Occidental,admin,156705,135167
Kelo,1759579.8801856881,1040816.8099984578,Chad,TD,Tandjilé,,96224,42533
Pala Oua,1666174.4784483223,1045736.0906972671,Chad,TD,Mayo-Kébbi Ouest,,35466,204
Am Timan,2257859.8359127296,1235475.0415467843,Chad,TD,Salamat,admin,30443,28885
Doba,1875733.41986666,966592.4026544621,Chad,TD,Logone Oriental,admin,29597,24336
Mongo,2080898.6923028775,1366702.8991908722,Chad,TD,Guéra,admin,27763,27763
Ati,2041076.259541909,1484351.9595322085,Chad,TD,Batha,admin,25373,24074
Laï,1814385.2484904865,1050587.6111373436,Chad,TD,Tandjilé,admin,19382,19382
Oum Hadjer,2192615.4823587923,1493501.2789465066,Chad,TD,Batha,,19271,3894
Mao,1704335.3564897103,1588120.4793351272,Chad,TD,Kanem,admin,18031,12049
Biltine,2328432.7195324693,1635476.4484777066,Chad,TD,Wadi Fira,admin,11000,2365
Bol,1638035.36020458,1512176.5331175793,Chad,TD,Lac,admin,3303,3303
Fada,2402401.2928993665,1942411.6998968106,Chad,TD,Ennedi-Ouest,admin,448,448
Zouar,1839863.8309042696,2327406.540212257,Chad,TD,Tibesti,,204,204
Moussoro,1835592.6133620222,1533111.0014833643,Chad,TD,Barh el Gazel,admin,,
Pala,1659172.4824774254,1047089.9429369026,Chad,TD,Mayo-Kébbi Ouest,admin,,
Massenya,1800091.8258726303,1277942.0732737945,Chad,TD,Chari-Baguirmi,admin,,
Massakory,1750974.2156304235,1459275.1707143679,Chad,TD,Hadjer-Lamis,admin,,
Faya,2126678.164974666,2028853.4557858042,Chad,TD,Borkou,admin,,
Koumra,1954093.6584648425,996167.253452337,Chad,TD,Mandoul,admin,,
Goz Beïda,2383388.146510857,1371307.5044661402,Chad,TD,Sila,admin,,
Bardaï,1892566.1513890016,2434252.06349687,Chad,TD,Tibesti,admin,,
Am Djarass,2542879.81111103,1812354.3416774247,Chad,TD,Ennedi-Est,admin,,
