city,x,y,country,iso2,admin,capital,population,population_proper
Santiago,-7866577.38649783,-3955187.399354618,Chile,CL,Región Metropolitana,primary,5720000,46611
Concepción,-8131717.036474341,-4413069.042733407,Chile,CL,Biobío,admin,889725,212003
Valparaíso,-7971363.536376446,-3901541.8325743265,Chile,CL,Valparaíso,admin,854000,15938
Viña del Mar,-7964838.989701561,-3897549.8930517486,Chile,CL,Valparaíso,,503534,294551
Antofagasta,-7836380.304827793,-2711103.1533626276,Chile,CL,Antofagasta,admin,309832,281246
Talcahuano,-8139329.508532747,-4400836.422563557,Chile,CL,Biobío,,288074,252968
Temuco,-8081618.701518244,-4684446.842705672,Chile,CL,Araucanía,admin,265901,238129
San Bernardo,-7870243.6939271055,-3974171.6695201756,Chile,CL,Región Metropolitana,,246762,241138
Rancagua,-7875235.037255295,-4051763.4517780645,Chile,CL,Libertador General Bernardo O’Higgins,admin,233268,212695
Iquique,-7807852.34760271,-2299153.7093875958,Chile,CL,Tarapacá,admin,227499,218525
Talca,-7976644.310380697,-4221979.3809639765,Chile,CL,Maule,admin,197479,175088
Arica,-7825528.9921847535,-2093175.1665893293,Chile,CL,Arica y Parinacota,admin,185999,170894
Puerto Montt,-8119965.483109257,-5081283.1280215895,Chile,CL,Los Lagos,admin,174629,160054
Coquimbo,-7941473.807820489,-3497550.589405812,Chile,CL,Coquimbo,,161317,156848
Valdivia,-8151285.778441398,-4840920.82723027,Chile,CL,Los Ríos,admin,159599,133419
La Serena,-7931395.163763048,-3491283.8301412873,Chile,CL,Coquimbo,admin,154521,148059
Osorno,-8141181.530901074,-4949700.753548146,Chile,CL,Los Lagos,,154131,135773
Chillán,-8026268.869583976,-4384940.228818062,Chile,CL,Biobío,,150396,149352
Los Ángeles,-8054372.254271174,-4504785.194563821,Chile,CL,Biobío,,145239,125430
Calama,-7672552.412102748,-2566442.4922776865,Chile,CL,Antofagasta,,143084,125589
Copiapó,-7829255.857417022,-3169372.151234133,Chile,CL,Atacama,admin,129280,105353
Punta Arenas,-7893808.4716551695,-7011688.789223952,Chile,CL,Magallanes y de la Antártica Chilena,admin,117430,95162
Curicó,-7930336.6267250925,-4161542.619685975,Chile,CL,Maule,,113711,102438
San Antonio,-7971305.6502412325,-3974512.850737238,Chile,CL,Valparaíso,,104292,85651
Coronel,-8141929.041281751,-4443827.7649655305,Chile,CL,Biobío,,92940,64249
Linares,-7969705.098602607,-4279543.447339236,Chile,CL,Maule,,81015,69535
Quillota,-7931382.139382624,-3879838.1335452623,Chile,CL,Valparaíso,,79686,67779
Ovalle,-7925837.983463157,-3581046.9800035967,Chile,CL,Coquimbo,,77138,68830
San Fernando,-7902042.663069659,-4108029.558285835,Chile,CL,Libertador General Bernardo O’Higgins,,60746,60746
San Felipe,-7873164.383407049,-3862135.8310379195,Chile,CL,Valparaíso,,59294,39219
Los Andes,-7858896.898230548,-3873154.3204620234,Chile,CL,Valparaíso,,56859,49411
Lota Alto,-8143717.611540328,-4450086.841440755,Chile,CL,Biobío,,49763,15641
Coyhaique,-8021911.268116874,-5712717.307891321,Chile,CL,Aysén,admin,45787,40655
Vallenar,-7876897.816489274,-3321812.157062535,Chile,CL,Atacama,,44895,30858
Angol,-8094748.72413782,-4550533.857519304,Chile,CL,Araucanía,,44856,31913
Constitución,-8060818.098066067,-4209256.1660893215,Chile,CL,Maule,,37917,15888
Villarrica,-8040486.14967013,-4762816.879385584,Chile,CL,Araucanía,,31602,2034
Cauquenes,-8051240.836995157,-4295797.279105252,Chile,CL,Maule,,31362,16948
Curanilahue,-8164722.820216584,-4505935.375810521,Chile,CL,Biobío,,30611,14094
Castro,-8211582.314588049,-5232848.271084577,Chile,CL,Los Lagos,,29926,20443
Ancud,-8217184.022684257,-5141630.416555152,Chile,CL,Los Lagos,,28020,20462
La Ligua,-7929332.079640174,-3822623.246275069,Chile,CL,Valparaíso,,26665,24857
Illapel,-7922571.201686337,-3715295.6722681583,Chile,CL,Coquimbo,,26340,22816
La Unión,-8135414.1794025665,-4908631.013686454,Chile,CL,,,26298,19388
Puerto Varas,-8124695.114314591,-5059576.896851607,Chile,CL,Los Lagos,,24958,14180
Victoria,-8052063.599351612,-4612380.63463378,Chile,CL,Araucanía,,24555,11424
Tocopilla,-7814396.709146953,-2522572.11960161,Chile,CL,Antofagasta,,24460,20251
Lebu,-8199077.239589786,-4524230.975421947,Chile,CL,Biobío,,22345,10904
Salamanca,-7899664.32214886,-3734364.846311754,Chile,CL,Coquimbo,,20214,13265
Puerto Bories,-8074638.301528562,-6744535.942083405,Chile,CL,Magallanes y de la Antártica Chilena,,20000,786
Nueva Imperial,-8120785.017200477,-4685141.045455763,Chile,CL,Araucanía,,18777,7868
Diego de Almagro,-7797930.330068813,-3044565.553801526,Chile,CL,Atacama,,18137,18137
Collipulli,-8063357.963568007,-4573004.557891282,Chile,CL,Araucanía,,16392,6223
Loncoche,-8085231.130313976,-4774390.2981189415,Chile,CL,Araucanía,,15590,1717
Río Bueno,-8121384.806616873,-4914735.477056681,Chile,CL,Los Ríos,,15456,10663
Chañaral,-7951922.255226346,-3379889.2633703314,Chile,CL,Atacama,,13543,13543
Vicuña,-7871706.654675111,-3508102.5385393486,Chile,CL,Coquimbo,,13496,13496
Tierra Amarilla,-7821591.287836924,-3181855.5592381125,Chile,CL,Atacama,,12888,8578
Los Lagos,-8105936.889559997,-4845885.944672707,Chile,CL,Los Ríos,,12813,12813
Alto Calbuco,-8141846.330900092,-5128432.231055425,Chile,CL,Los Lagos,,12490,1377
Chuquicamata,-7673139.399777701,-2549484.109512041,Chile,CL,Antofagasta,,11941,11941
Carahue,-8144246.045163124,-4680389.89915574,Chile,CL,Araucanía,,11875,5309
Pichilemu,-8015111.87361922,-4081078.0267784563,Chile,CL,Libertador General Bernardo O’Higgins,,11603,11603
Pozo Almonte,-7768575.491666119,-2303364.3923554947,Chile,CL,Tarapacá,,10830,10830
Calderilla,-7887758.813928011,-3134577.775020466,Chile,CL,Atacama,,10259,10259
Lonquimay,-7929926.859679483,-4640773.087964432,Chile,CL,Araucanía,,10237,6802
Taltal,-7846195.900928489,-2926031.3927862938,Chile,CL,Antofagasta,,10018,7877
Puerto Aisén,-8092018.502306624,-5685195.0469302,Chile,CL,Aysén,,8067,8067
Quellón,-8194963.316488029,-5329978.907588943,Chile,CL,Los Lagos,,7029,7029
Quirihue,-8075298.203469984,-4339360.164000916,Chile,CL,Biobío,,6529,6529
Combarbalá,-7904022.591532908,-3655969.052528125,Chile,CL,Coquimbo,,5134,5134
Cochrane,-8078958.388327267,-5983581.985222499,Chile,CL,Aysén,,4441,4441
Santa Bárbara,-8017510.697326325,-4532664.681934352,Chile,CL,Biobío,,3494,3494
Huasco,-7928481.376091532,-3307852.390868425,Chile,CL,Atacama,,2558,2558
Puerto Williams,-7526269.584321632,-7348980.963842806,Chile,CL,Magallanes y de la Antártica Chilena,,2500,2262
Oficina María Elena,-7754713.320755595,-2552935.4580784226,Chile,CL,Antofagasta,,2370,2370
Nueva Toltén,-8152297.338654237,-4752754.952115454,Chile,CL,Araucanía,,2293,2293
Mejillones,-7841961.084859733,-2644210.227041937,Chile,CL,Antofagasta,,2041,2041
Chonchi,-8212789.129187738,-5254314.82119738,Chile,CL,Los Lagos,,381,381
Toconao,-7570313.697451445,-2655022.3252373156,Chile,CL,Antofagasta,,378,378
