city,x,y,country,iso2,admin,capital,population,population_proper
Shanghai,13520648.946660906,3661642.65312806,China,CN,Shanghai,admin,14987000,14608512
Beijing,12956349.631085023,4855603.835628705,China,CN,Beijing,primary,11106000,7480601
Guangzhou,12606932.332338233,2646133.648318083,China,CN,Guangdong,admin,8829000,3152825
Shenzhen,12705264.512099126,2575679.8695231886,China,CN,Guangdong,minor,7581000,1002592
Wuhan,12720107.185084557,3578754.4080491783,China,CN,Hubei,admin,7243000,4184206
Tianjin,13044046.903292982,4742064.176974539,China,CN,Tianjin,admin,7180000,3766207
Chongqing,11861400.989568723,3447471.930237073,China,CN,Chongqing,admin,6461000,3967028
Shenyang,13740473.99415918,5129905.9428380765,China,CN,Liaoning,admin,4787000,3512192
Dongguan,12662004.533462461,2637932.0068053394,China,CN,Guangdong,minor,4528000,4528000
Chengdu,11584648.378993165,3589534.752059357,China,CN,Sichuan,admin,4123000,3950437
Lianhu,12125387.035662143,4063562.472058222,China,CN,Shaanxi,minor,4009000,3225812
Hechi,12227332.86873317,2632345.16017914,China,CN,Guangxi,,3830000,2720379
Nanjing,13222281.764516493,3771408.103979448,China,CN,Jiangsu,admin,3679000,3087010
Guiyang,11879645.029595342,3071510.464740121,China,CN,Guizhou,admin,3662000,1171633
Harbin,14098613.508968098,5740376.655556497,China,CN,Heilongjiang,admin,3621000,3229883
Zhangzhou,13097356.582919482,2816085.90227038,China,CN,Fujian,minor,3531147,1338452
Changchun,13950867.831758467,5446890.647635115,China,CN,Jilin,admin,3183000,2537421
Dalian,13536697.432370609,4709105.9152075695,China,CN,Liaoning,,3167000,2035307
Zibo,13142750.110916693,4409953.064903467,China,CN,Shandong,,3061000,669770
Hangzhou,13376307.976077188,3541351.9346595802,China,CN,Zhejiang,admin,3007000,1878129
Kunming,11434552.52469391,2880522.018193341,China,CN,Yunnan,admin,2931000,1023674
Taiyuan,12530152.830509314,4560999.010192815,China,CN,Shanxi,admin,2913000,2722475
Qingdao,13399459.53585543,4309713.422602161,China,CN,Shandong,minor,2866000,1642245
Jinan,13024071.177267585,4392976.965419886,China,CN,Shandong,admin,2798000,2069266
Zhengzhou,12638380.08848733,4120967.8350969907,China,CN,Henan,,2636000,2014125
Fuzhou,13281095.525045775,3006686.2227535094,China,CN,Fujian,admin,2606000,1179720
Changsha,12575391.8470533,3274212.694353734,China,CN,Hunan,admin,2604000,2073938
Xiangtandong,12571681.123147199,3232173.925112334,China,CN,Hunan,,2586948,1779960
Lanzhou,11559401.229800744,4308468.147459886,China,CN,Gansu,admin,2561000,2004218
Xiamen,13144813.528998034,2811983.043660109,China,CN,Fujian,minor,2519000,578337
Jinjiao,13449253.745962678,4974565.698423652,China,CN,Liaoning,,2426000,313247
Shijiazhuang,12743700.683241246,4585274.341507788,China,CN,Hebei,admin,2417000,1992474
Jilin,14088625.701615144,5442387.189970702,China,CN,Jilin,,2396000,1881977
Wenzhou,13432568.958043598,3248900.1608116333,China,CN,Zhejiang,,2350000,865672
Nanchangshi,12902491.035049422,3331904.2768052267,China,CN,Jiangxi,,2350000,1871351
Nanchong,11809298.681139367,3606164.2304919884,China,CN,Sichuan,minor,2174000,2174000
Nanning,12057756.214864578,2609862.6176619674,China,CN,Guangxi,admin,2167000,803788
Ürümqi,9754983.305876903,5435676.930509688,China,CN,Xinjiang,admin,2151000,1508225
Daguozhuangcun,13091565.075091472,4151188.7671551816,China,CN,Shandong,,2145000,183665
Yantai,13514186.182303412,4513709.562409554,China,CN,Shandong,,2116000,719332
Linyi,13173857.786021419,4172453.5076917834,China,CN,Shandong,,2082000,270669
Haikou,12283178.18372096,2278461.266169233,China,CN,Hainan,admin,2046189,1167428
Baotou,12225353.830825845,4961179.0348397605,China,CN,Inner Mongolia,,2036000,423329
Hefei,13055642.609370954,3745457.174350315,China,CN,Anhui,admin,2035000,1388904
Suzhou,13022030.357042871,3980044.656706201,China,CN,Anhui,,1964000,1964000
Lanzhuang,12522892.684639268,3892652.518161101,China,CN,Henan,,1944000,251532
Ningbo,13530823.214160938,3487901.3799326983,China,CN,Zhejiang,minor,1923000,719867
Tangshan,13156108.449811885,4812801.420146523,China,CN,Hebei,,1879000,1596949
Datong,12611539.734742675,4879554.914137718,China,CN,Shanxi,,1873000,1052678
Shucheng,13222616.279586326,4045098.8846556377,China,CN,Jiangsu,minor,1770000,1770000
Shangqiu,12874099.11024209,4089387.2749421755,China,CN,Henan,,1753000,181218
Wuxi,13390462.694609515,3706850.6071946993,China,CN,Jiangsu,minor,1749000,1108647
Hohhot,12429068.498977536,4984438.746786852,China,CN,Inner Mongolia,admin,1726000,774477
Luoyang,12518278.714384867,4120967.8350969907,China,CN,Henan,,1715000,1390581
Daqing,13914936.349159198,5874326.638790939,China,CN,Heilongjiang,,1693000,203488
Lu’an,12967762.10528115,3731447.866573082,China,CN,Anhui,minor,1690000,1126455
Wanxian,12063792.402933354,3608803.5086984932,China,CN,Chongqing,,1680000,1680000
Suzhou,13424616.293621328,3672302.6146840584,China,CN,Jiangsu,minor,1650000,1343091
Qiqihar,13799213.949866066,5997892.947559977,China,CN,Heilongjiang,minor,1641000,882364
Anshan,13691184.172664717,5030591.390558361,China,CN,Liaoning,,1639000,1199275
Handan,12742494.759197483,4383574.736750266,China,CN,Hebei,,1631000,1358318
Tai’an,13037738.761708202,4326145.378796956,China,CN,Shandong,,1629000,1629000
Shantou,12992630.990843859,2676600.0725626796,China,CN,Guangdong,minor,1601000,1333973
Zhanjiang,12283294.623908328,2425470.548023819,China,CN,Guangdong,minor,1590000,637790
Xiantao,12623630.255957223,3552919.507145542,China,CN,Hubei,,1556000,239406
Weifang,13258367.758568984,4398761.246766094,China,CN,Shandong,,1553000,394732
Xinyang,12697719.610971631,3779437.9597136695,China,CN,Henan,,1541000,1282888
Luzhou,11737581.655793253,3359414.272631834,China,CN,Sichuan,minor,1537000,1537000
Tantou,12794839.632797278,2993619.994082951,China,CN,Jiangxi,,1500000,932269
Liuzhou,12177145.255545458,2791544.1106878314,China,CN,Guangxi,minor,1497000,1375061
Fushun,13795082.326965274,5139408.330270709,China,CN,Liaoning,,1470000,1400646
Changde,12435242.945853876,3396970.498246241,China,CN,Hunan,,1469000,517780
Neijiang,11695466.152841436,3450128.8237405005,China,CN,Sichuan,minor,1466000,546854
Quanzhou,13200914.544856176,2865171.5287711574,China,CN,Fujian,minor,1463000,184143
Huainan,13024040.230449144,3845817.7055542534,China,CN,Anhui,,1451000,1027655
Suining,11752368.669033287,3569019.2671430437,China,CN,Sichuan,minor,1425000,1425000
Mianyang,11661188.098638916,3692547.841381414,China,CN,Sichuan,minor,1396000,264136
Huashan,13190873.415467134,3724185.178219875,China,CN,Anhui,,1366302,633940
Yiyang,12504332.831217268,3323459.3951923805,China,CN,Hunan,,1352000,202608
Heze,12854459.903037356,4196447.298475717,China,CN,Shandong,minor,1338000,254602
Zhangshu,13358902.060496751,3737837.253532331,China,CN,Jiangsu,,1327000,949018
Chifeng,13242968.59944908,5201259.561069028,China,CN,Inner Mongolia,minor,1277000,346654
Huaiyin,13249153.065079588,3973695.395824159,China,CN,Jiangsu,,1264000,555230
Mudanjiang,14427006.006808255,5556162.584516478,China,CN,Heilongjiang,minor,1244000,665915
Huzhou,13368724.66972537,3615916.689712046,China,CN,Zhejiang,minor,1231000,158320
Maoling,12339212.296565132,2498456.939131336,China,CN,Guangdong,,1217715,1217715
Jining,12977780.859452544,4219056.142938556,China,CN,Shandong,,1186000,450327
Leshan,11550940.057944527,3447407.5561763006,China,CN,Sichuan,,1157000,154477
Shangrao,13132204.926873334,3306235.690734824,China,CN,Jiangxi,minor,1144577,700266
Yuzhi,12257834.409210527,2584789.730808546,China,CN,Guangxi,,1127000,148485
Xianyangshi,12102450.656459605,4075401.701585942,China,CN,Shaanxi,,1126000,1126000
Baoding,12856318.938533604,4700366.884838189,China,CN,Hebei,,1107000,995652
Zigong,11663709.707744366,3419199.1307557365,China,CN,Sichuan,,1105000,689961
Ankang,12135741.640737262,3852905.937223546,China,CN,Shaanxi,,1100000,950000
Jinhua,13318732.199605018,3389244.0236984994,China,CN,Zhejiang,minor,1092852,142206
Zhuzhou,12595800.383258905,3227977.097902571,China,CN,Hunan,minor,1080000,709358
Xiangyang,12483901.363196561,3768851.7024909016,China,CN,Hubei,minor,1069000,462956
Xining,11327580.839252548,4387039.76856288,China,CN,Qinghai,admin,1048000,767531
Zhangjiakou,12788321.20869439,4984356.971849796,China,CN,Hebei,,1046000,559641
Zhuhai,12642307.217483537,2544808.307728544,China,CN,Guangdong,minor,1023000,1023000
Jiamusi,14506747.275009219,5909371.478776559,China,CN,Heilongjiang,minor,1020000,549549
