city,x,y,country,iso2,admin,capital,population,population_proper
Bogotá,-8244636.188350312,518113.00522211014,Colombia,CO,Bogotá,primary,7772000,6333661
Medellín,-8411700.47263119,697336.7847936051,Colombia,CO,Antioquia,admin,3297000,1999979
Cali,-8518445.734228276,382859.5172905704,Colombia,CO,Valle del Cauca,admin,2254000,2178836
Barranquilla,-8326295.936655608,1228011.9558585112,Colombia,CO,Atlántico,admin,1798000,1244491
Bucaramanga,-8139659.348183969,795247.6275027044,Colombia,CO,Santander,admin,1009000,571820
Cartagena,-8406229.453617172,1164101.4407456848,Colombia,CO,Bolívar,admin,887000,887000
Cúcuta,-8071533.7122498285,881539.011234215,Colombia,CO,Norte de Santander,admin,722146,721398
Soledad,-8322756.088167873,1222858.133932387,Colombia,CO,Atlántico,,698852,342556
Pereira,-8426452.531551115,536449.142219671,Colombia,CO,Risaralda,admin,568750,440118
Santa Marta,-8259799.350149737,1259424.469263603,Colombia,CO,Magdalena,admin,431781,402641
Ibagué,-8374812.644286513,494629.91408468125,Colombia,CO,Tolima,admin,421685,408627
Pasto,-8602893.924458452,135108.66181030255,Colombia,CO,Nariño,admin,382236,360041
Manizales,-8406556.621600613,565003.7573392205,Colombia,CO,Caldas,admin,375848,357814
Villavicencio,-8196080.630217122,461487.69002301095,Colombia,CO,Meta,admin,374763,321717
Neiva,-8380341.10415778,326007.2939244146,Colombia,CO,Huila,admin,352855,284277
Armenia,-8424782.739189215,505237.7699999377,Colombia,CO,Quindío,admin,315328,314267
Valledupar,-8154511.594645606,1171279.7414364533,Colombia,CO,Cesar,admin,308237,287018
Montería,-8447081.925626451,977626.8674705919,Colombia,CO,Córdoba,admin,275198,272420
Sincelejo,-8393242.253904285,1040380.0315855155,Colombia,CO,Sucre,admin,261187,218388
Popayán,-8528619.111172384,272196.8485363664,Colombia,CO,Cauca,admin,258750,258750
Buenaventura,-8575069.951693147,432261.1677050911,Colombia,CO,Valle del Cauca,,252805,240387
Barrancabermeja,-8221470.045718778,788504.0133807202,Colombia,CO,Santander,,191403,164201
Tuluá,-8482028.676010164,455087.4760717361,Colombia,CO,Valle del Cauca,,165501,163062
Tunja,-8167263.68759394,617145.0728953482,Colombia,CO,Boyacá,admin,161412,117479
Cartago,-8450448.115708549,528970.9622570022,Colombia,CO,Valle del Cauca,,134827,111513
Ríohacha,-8115994.828192152,1293906.4198514463,Colombia,CO,La Guajira,admin,133186,92431
Ciénaga,-8265210.1453192355,1232903.921256921,Colombia,CO,Magdalena,,131171,88311
Florencia,-8416446.913079634,179735.96590805124,Colombia,CO,Caquetá,admin,130337,44861
Girardot,-8327218.997873266,478974.0886293015,Colombia,CO,Cundinamarca,,130289,113372
Sogamoso,-8118965.500123462,637175.0604925281,Colombia,CO,Boyacá,,126551,113592
Pupiales,-8642875.210132783,97003.09081792807,Colombia,CO,Nariño,,109618,77729
Duitama,-8130116.930113678,649499.8923584633,Colombia,CO,Boyacá,,101156,92040
Magangué,-8321651.910138695,1033308.0966288011,Colombia,CO,Bolívar,,100313,89511
Quibdó,-8533875.840166625,634979.8782522359,Colombia,CO,Chocó,admin,92780,75104
Tumaco,-8773707.560508737,200253.35289449006,Colombia,CO,Nariño,,86713,86713
Ocaña,-8165956.796772026,920195.3443650438,Colombia,CO,Norte de Santander,,83511,83292
Arauca,-7876451.314011701,790661.5600362541,Colombia,CO,Arauca,admin,69264,23797
Sabanalarga,-8340126.381511256,1190130.324794558,Colombia,CO,Atlántico,,68535,63027
Yopal,-8059070.159421631,595057.212158278,Colombia,CO,Casanare,admin,61029,61029
El Carmen de Bolívar,-8362345.974512574,1086959.0844078057,Colombia,CO,Bolívar,,60980,47957
Leticia,-7785747.079718434,-469666.4791750818,Colombia,CO,Amazonas,admin,59575,32450
San Andrés,-9094864.291447332,1412326.9723089081,Colombia,CO,San Andrés y Providencia,admin,58257,58257
Garzón,-8418845.180189284,244509.67672070928,Colombia,CO,Huila,,56603,29451
El Banco,-8234949.166261483,1006149.2109317862,Colombia,CO,Magdalena,,54522,24735
Chiquinquirá,-8217324.730520618,626215.4443766951,Colombia,CO,Boyacá,,53975,45294
Pamplona,-8087132.689855708,823330.3531831771,Colombia,CO,Norte de Santander,,53587,52247
Lorica,-8439520.103936356,1032683.2805968674,Colombia,CO,Córdoba,,52771,40605
Turbo,-8541200.328702347,903995.6367996773,Colombia,CO,Antioquia,,50508,34007
Arjona,-8387243.357864927,1147662.8649616858,Colombia,CO,Bolívar,,50405,44045
Honda,-8319555.875446549,580614.497903311,Colombia,CO,Tolima,,35469,28158
Yarumal,-8414702.20270043,784578.1681675799,Colombia,CO,Antioquia,,35315,35315
Puerto Berrío,-8282533.461837502,724188.7381985994,Colombia,CO,Antioquia,,33983,32405
Túquerres,-8640430.188837001,121209.28497891637,Colombia,CO,Nariño,,33979,20184
Tame,-7985634.583776652,720724.8590514044,Colombia,CO,Arauca,,29099,20961
Tolú,-8413682.0708868,1065114.0809730366,Colombia,CO,Sucre,,27390,12049
Socorro,-8155290.8310811585,721591.4251344034,Colombia,CO,Santander,,24895,17752
Ayapel,-8364526.7233372135,928743.9764684476,Colombia,CO,Córdoba,,23639,22602
Campoalegre,-8384930.138846242,298990.2547039012,Colombia,CO,Huila,,22568,11549
San José del Guaviare,-8086906.154691945,286505.54574005754,Colombia,CO,Guaviare,admin,22136,21214
Mocoa,-8532261.59623063,127951.07761849195,Colombia,CO,Putumayo,admin,22035,22035
Sonsón,-8383547.105492627,636758.4377222925,Colombia,CO,Antioquia,,18817,17232
Puerto López,-8121421.876007305,455071.6284508119,Colombia,CO,Meta,,16678,7649
San Marcos,-8199396.392569889,409127.8263407931,Colombia,CO,Meta,,16273,8335
Guapi,-8670165.405939735,286278.7821673032,Colombia,CO,Cauca,,13853,13853
Puerto Carreño,-7512493.686016475,690303.5092911941,Colombia,CO,Vichada,admin,10216,5861
Mitú,-7818493.489047129,140026.45355079608,Colombia,CO,Vaupés,admin,5917,5917
Orocué,-7941022.963882777,533973.835527837,Colombia,CO,Casanare,,2835,1418
Nuquí,-8601749.782732079,636968.7625201495,Colombia,CO,Chocó,,2741,233
Juradó,-8655974.28593392,793084.7288854807,Colombia,CO,Chocó,,2351,2351
San Vicente del Caguán,-8322928.744698093,236243.01205991008,Colombia,CO,Caquetá,,1500,1000
Inírida,-7561252.736178837,430607.52557900635,Colombia,CO,Guainía,admin,,
