city,x,y,country,iso2,admin,capital,population,population_proper
Kinshasa,1703986.369886073,-482150.0102762345,Congo (Kinshasa),CD,Kinshasa,primary,7843000,5565703
Lubumbashi,3058966.2099463823,-1308340.2095150603,Congo (Kinshasa),CD,Haut-Katanga,admin,1352000,876634
Mbuji-Mayi,2628270.3208307712,-684168.5388253039,Congo (Kinshasa),CD,Kasaï Oriental,admin,1295000,874761
Kananga,2495403.161482607,-657528.1339746793,Congo (Kinshasa),CD,Kasaï Central,admin,765000,463546
Kikwit,2094978.9380958646,-561970.5246742624,Congo (Kinshasa),CD,Kwilu,admin,637736,294210
Kisangani,2804247.845419974,57361.480454218545,Congo (Kinshasa),CD,Tshopo,admin,578470,539158
Bukavu,3210766.922247139,-277358.0646788746,Congo (Kinshasa),CD,Sud-Kivu,admin,436779,225389
Likasi,2976504.5160294124,-1230182.5213472662,Congo (Kinshasa),CD,Haut-Katanga,,434408,422414
Kolwezi,2835585.7292316607,-1199991.2848184234,Congo (Kinshasa),CD,Lualaba,admin,418000,418000
Beni,3280925.920000109,54673.34501715802,Congo (Kinshasa),CD,Nord-Kivu,,332903,89648
Butembo,3260348.0668490087,14334.845536548892,Congo (Kinshasa),CD,Nord-Kivu,,286403,154621
Mbandaka,2032731.1939145913,5415.359919262947,Congo (Kinshasa),CD,Équateur,admin,274996,184185
Tshikapa,2314697.675480432,-716075.5405226981,Congo (Kinshasa),CD,Kasaï,,267462,135051
Kindu,2885664.9172353405,-327839.1221597167,Congo (Kinshasa),CD,Maniema,admin,262914,135698
Matadi,1498700.5384413265,-651079.0050791337,Congo (Kinshasa),CD,Kongo Central,admin,245862,180109
Kalemie,3249456.3452308136,-660076.5242968744,Congo (Kinshasa),CD,Tanganyika,admin,206257,146974
Gemena,2201046.375313511,362707.9252261845,Congo (Kinshasa),CD,Sud-Ubangi,admin,198056,117639
Ngungu,1655664.4713640567,-586709.5132635401,Congo (Kinshasa),CD,Kongo Central,,197545,86356
Mwene-Ditu,2610751.6386061613,-782197.7919241543,Congo (Kinshasa),CD,Lomami,,189177,117480
Boma,1453489.6857285094,-651121.3032877878,Congo (Kinshasa),CD,Kongo Central,,178638,178638
Uvira,3243603.723002357,-378188.7113140589,Congo (Kinshasa),CD,Sud-Kivu,,170391,158315
Bumba,2501156.0414473126,243594.29475760818,Congo (Kinshasa),CD,Mongala,,160539,95520
Isiro,3074202.174692785,308911.2828090043,Congo (Kinshasa),CD,Haut-Uélé,admin,157196,127076
Gandajika,2666467.1550676855,-752595.2159317093,Congo (Kinshasa),CD,Lomami,,154425,57114
Moanda,1377186.408681205,-661029.2738625217,Congo (Kinshasa),CD,Kongo Central,,153915,153915
Wamba,3116351.4074503146,239212.8514060083,Congo (Kinshasa),CD,Haut-Uélé,,146871,17373
Goma,3253696.3933156384,-186385.59092566633,Congo (Kinshasa),CD,Nord-Kivu,admin,144124,144124
Kamina,2782762.7384189093,-976173.1807554517,Congo (Kinshasa),CD,Haut-Lomami,admin,128803,73557
Bandundu,1934802.8812662945,-369438.4632668306,Congo (Kinshasa),CD,Kwilu,,118211,97784
Kipushi,3033606.4054292752,-1318517.5728411453,Congo (Kinshasa),CD,Haut-Katanga,,113347,62332
Ilebo,2291665.450196322,-482597.34375917906,Congo (Kinshasa),CD,Kasaï,,107093,35158
Kongolo,3005657.9774732627,-600375.6149790083,Congo (Kinshasa),CD,Tanganyika,,105202,31943
Bunia,3367663.6181974304,173613.71731636065,Congo (Kinshasa),CD,Ituri,admin,96764,26310
Lisala,2395033.8350401954,239812.61818099816,Congo (Kinshasa),CD,Mongala,admin,70087,58453
Binga,2281791.856640922,264294.0838391312,Congo (Kinshasa),CD,Mongala,,64639,64639
Kasongo,2958863.4936844204,-504931.35103641555,Congo (Kinshasa),CD,Maniema,,63000,55118
Kabinda,2725460.80789409,-684725.2092615904,Congo (Kinshasa),CD,Lomami,admin,59004,15728
Aketi,2647540.615243013,304994.31627336727,Congo (Kinshasa),CD,Bas-Uélé,,58601,35161
Basankusu,2204353.9000239614,135926.04265816844,Congo (Kinshasa),CD,Équateur,,52216,52216
Mweka,2399992.895716054,-540754.1427843629,Congo (Kinshasa),CD,Kasaï,,50675,39769
Gbadolite,2338025.899290561,476779.4017206249,Congo (Kinshasa),CD,Nord-Ubangi,admin,50493,19901
Kahemba,2110321.992192411,-814605.386410399,Congo (Kinshasa),CD,Kwango,,50000,41289
Bulungu,2070947.3977429033,-506408.73890839843,Congo (Kinshasa),CD,Kwilu,,48344,36277
Manono,3050035.937755964,-814685.0688127688,Congo (Kinshasa),CD,Tanganyika,,46111,46111
Buta,2752928.2243303857,310238.5484998551,Congo (Kinshasa),CD,Bas-Uélé,admin,45677,42713
Basayo,2624230.9817878464,142020.78434643566,Congo (Kinshasa),CD,Tshopo,,43709,2197
Lubao,2866348.6478734007,-600642.6250154885,Congo (Kinshasa),CD,Lomami,,43068,9217
Lusambo,2609763.6781253708,-554515.1566317449,Congo (Kinshasa),CD,Sankuru,admin,41416,12190
Inongo,2035822.3135349387,-214609.24778604184,Congo (Kinshasa),CD,Mai-Ndombe,admin,40113,20249
Tshela,1441408.8493096603,-556977.6225088595,Congo (Kinshasa),CD,Kongo Central,,38845,947
Bukama,2878138.0498653534,-1029068.7884203321,Congo (Kinshasa),CD,Haut-Lomami,,38770,3031
Ipanga,2170730.0704688346,-447500.0211566681,Congo (Kinshasa),CD,Kwilu,,37188,2704
Kampene,2968573.670227336,-400654.39590322535,Congo (Kinshasa),CD,Maniema,,37034,2405
Kambove,2960815.3696359894,-1217766.198798841,Congo (Kinshasa),CD,Haut-Katanga,,36702,1167
Kaniama,2691076.8888558266,-845543.9038372068,Congo (Kinshasa),CD,Haut-Lomami,,36481,29412
Yangambi,2722519.635627841,86846.3578164875,Congo (Kinshasa),CD,Tshopo,,35531,540
Luebo,2384677.337533734,-596670.3438357488,Congo (Kinshasa),CD,Kasaï,admin,35183,182
Businga,2324993.2812254294,371865.201276459,Congo (Kinshasa),CD,Nord-Ubangi,,34247,28919
Mushie,1883791.058568749,-336037.2043529383,Congo (Kinshasa),CD,Mai-Ndombe,,33062,14965
Boende,2324409.5218157093,-31351.257078745515,Congo (Kinshasa),CD,Tshuapa,admin,32091,17268
Kabalo,2996086.171057403,-675023.9629068909,Congo (Kinshasa),CD,Tanganyika,,29833,13869
Kasangulu,1688219.7451270588,-510755.40952478384,Congo (Kinshasa),CD,Kongo Central,,27961,17329
Ngebolobo,1811436.8404573363,-241874.1655694143,Congo (Kinshasa),CD,Mai-Ndombe,,27862,17349
Libenge,2074511.7365186133,406961.241639845,Congo (Kinshasa),CD,Sud-Ubangi,,27053,7751
Watsa,3287877.822200149,338253.77421290684,Congo (Kinshasa),CD,Haut-Uélé,,24516,10927
Bondo,2636785.9279179843,424954.16381653055,Congo (Kinshasa),CD,Bas-Uélé,,23517,17860
Demba,2479042.9811986824,-612722.244204987,Congo (Kinshasa),CD,Kasaï Central,,22263,11754
Kasongo-Lunda,1860388.584658261,-722856.8483059211,Congo (Kinshasa),CD,Kwango,,20060,17436
Zongo,2069926.820651311,483905.6431368731,Congo (Kinshasa),CD,Sud-Ubangi,,17667,17667
Nyunzu,3118781.957212295,-664226.7386702086,Congo (Kinshasa),CD,Tanganyika,,15397,15397
Bosodongo,2212044.184406433,466024.79440878733,Congo (Kinshasa),CD,Nord-Ubangi,,14553,3384
Kasaji,2607994.254819212,-1161678.2535225821,Congo (Kinshasa),CD,Lualaba,,11969,11969
Kimpese,1607217.227095407,-617097.3168030856,Congo (Kinshasa),CD,Kongo Central,,10578,10578
Moba,3310286.7696553073,-790612.8757104094,Congo (Kinshasa),CD,Tanganyika,,10006,10006
Dilolo,2486986.7400616906,-1196603.1232985382,Congo (Kinshasa),CD,Lualaba,,7854,7854
Bongandanga,2345791.65828779,167771.91657939585,Congo (Kinshasa),CD,Mongala,,4105,1687
Mangbwalu,3343882.9919767175,216522.14073557893,Congo (Kinshasa),CD,Ituri,,2819,2819
Mwenga,3166340.8719444145,-337039.13704913267,Congo (Kinshasa),CD,Sud-Kivu,,2216,2216
Lubutu,2959316.0074144956,-82909.4180245384,Congo (Kinshasa),CD,Maniema,,1313,1313
