city,x,y,country,iso2,admin,capital,population,population_proper
Adjamé,-448020.54146776814,596485.5271955425,Côte D’Ivoire,CI,Abidjan,,3802000,3190395
Bouaké,-559971.2137738396,859060.6635029368,Côte D’Ivoire,CI,Vallée du Bandama,admin,567481,454821
Déraouan,-715026.9079853916,768943.7737641617,Côte D’Ivoire,CI,Sassandra-Marahoué,,255168,215652
San-Pédro,-738749.6480708921,529207.6603243076,Côte D’Ivoire,CI,Bas-Sassandra,admin,210273,196751
Yamoussoukro,-587404.1211679892,761059.5249526567,Côte D’Ivoire,CI,Yamoussoukro,primary,206499,194530
Korhogo,-626685.0959257393,1057677.6692616874,Côte D’Ivoire,CI,Savanes,admin,177711,167359
Man,-840888.5091389536,827468.6699228694,Côte D’Ivoire,CI,Montagnes,admin,146974,139341
Divo,-596364.0043429582,650942.3753461248,Côte D’Ivoire,CI,Gôh-Djiboua,minor,127867,127867
Gagnoa,-662417.8732339445,683910.582282333,Côte D’Ivoire,CI,Gôh-Djiboua,admin,123184,99192
Soubré,-735636.2645523859,645142.4315770953,Côte D’Ivoire,CI,Bas-Sassandra,,108933,58492
Abengourou,-389216.243095203,750877.718191152,Côte D’Ivoire,CI,Comoé,admin,104020,71598
Agboville,-469009.72013734916,661083.554058084,Côte D’Ivoire,CI,Lagunes,minor,81770,64285
Grand-Bassam,-416205.65363803215,580976.2223184948,Côte D’Ivoire,CI,Comoé,minor,73772,48681
Dabou,-487229.0472370117,593693.6602585311,Côte D’Ivoire,CI,Lagunes,admin,72913,69661
Dimbokro,-523779.35488560284,741581.3904920649,Côte D’Ivoire,CI,Lacs,admin,67349,25586
Ferkessédougou,-578247.6477722792,1072889.830202706,Côte D’Ivoire,CI,Savanes,minor,62008,52812
Bouaflé,-639441.8642926852,780106.2055622811,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,60962,60962
Bondoukou,-311698.35908385296,897983.1089701097,Côte D’Ivoire,CI,Zanzan,admin,58297,18706
Séguéla,-742841.195954999,889092.3109135736,Côte D’Ivoire,CI,Woroba,admin,51157,12603
Odienné,-842057.5864312646,1062991.5194589263,Côte D’Ivoire,CI,Denguélé,admin,49857,19119
Guiglo,-834172.0476619415,730028.1162718941,Côte D’Ivoire,CI,Montagnes,minor,39134,35846
Toumodi,-558566.4731195192,731630.8947677115,Côte D’Ivoire,CI,Lacs,minor,39005,39005
Sassandra,-677193.5318859172,551718.2341843236,Côte D’Ivoire,CI,Bas-Sassandra,minor,38411,23274
Aboisso,-357013.96343750635,609598.0234231636,Côte D’Ivoire,CI,Comoé,minor,37654,37654
Touba,-855304.7171551551,925325.4055943874,Côte D’Ivoire,CI,Woroba,minor,27504,27504
Toulépleu,-936297.7730300896,734068.7660574451,Côte D’Ivoire,CI,Montagnes,minor,,
Sakassou,-589172.6539182218,832196.1772869135,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Ayamé,-351445.2059105729,624966.1315341616,Côte D’Ivoire,CI,Comoé,minor,,
Béoumi,-621257.9367910948,856825.8958273191,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Katiola,-567835.1565619488,908898.2637926065,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Alépé,-407772.53429349686,613244.0616033103,Côte D’Ivoire,CI,Lagunes,minor,,
Dianra,-696291.9490043744,999634.7885309149,Côte D’Ivoire,CI,Woroba,minor,,
Tanda,-352696.32566759846,871363.486269972,Côte D’Ivoire,CI,Zanzan,minor,,
Yakassé-Attobrou,-406439.8173497199,689487.4622043008,Côte D’Ivoire,CI,Lagunes,minor,,
Séguélon,-792687.5035839386,1046271.308031111,Côte D’Ivoire,CI,Denguélé,minor,,
Sikensi,-509142.9569166125,632023.4032559965,Côte D’Ivoire,CI,Lagunes,minor,,
Kounahiri,-649523.1800179057,869962.4908572834,Côte D’Ivoire,CI,Woroba,minor,,
Koun-Fao,-362065.8645686867,835902.7459142781,Côte D’Ivoire,CI,Zanzan,minor,,
Jacqueville,-491431.4693339486,580233.101989339,Côte D’Ivoire,CI,Lagunes,minor,,
Guitry,-583356.3218437642,615382.4821127873,Côte D’Ivoire,CI,Gôh-Djiboua,minor,,
Daloa,-718035.3172240799,767428.70207274,Côte D’Ivoire,CI,Sassandra-Marahoué,admin,,
Kaniasso,-836288.2311819216,1097951.2109845262,Côte D’Ivoire,CI,Denguélé,minor,,
Songon,-473570.03439718636,593027.4347974436,Côte D’Ivoire,CI,Abidjan,minor,,
Tiapoum,-336527.39226885705,572528.8315317605,Côte D’Ivoire,CI,Comoé,minor,,
Abidjan,-446686.82264857396,591916.1417024517,Côte D’Ivoire,CI,Abidjan,admin,,
Mankono,-689036.7011919228,900052.8929540926,Côte D’Ivoire,CI,Woroba,minor,,
Minignan,-872291.7374917362,1118600.8279296858,Côte D’Ivoire,CI,Denguélé,minor,,
Azaguié,-454410.72551726527,627721.9446148056,Côte D’Ivoire,CI,Lagunes,minor,,
Tabou,-818509.951904782,492850.27373647405,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Bongouanou,-467993.9297838605,742138.2829387953,Côte D’Ivoire,CI,Lacs,minor,,
Kouto,-713470.5501846109,1106490.6829321657,Côte D’Ivoire,CI,Savanes,minor,,
Grand-Lahou,-556968.3705096911,585323.2093606206,Côte D’Ivoire,CI,Lagunes,minor,,
Biankouma,-847561.4446950656,864143.5641087389,Côte D’Ivoire,CI,Montagnes,minor,,
Soubré,-734027.3639519508,644942.149799192,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Bonoua,-400332.4961263285,587758.7896348798,Côte D’Ivoire,CI,Comoé,minor,,
Danané,-907808.3323488209,810302.836353634,Côte D’Ivoire,CI,Montagnes,minor,,
Tiébissou,-581622.0754966958,798874.6134292724,Côte D’Ivoire,CI,Lacs,minor,,
Téhini,-407211.4840598988,1074314.6313512193,Côte D’Ivoire,CI,Zanzan,minor,,
Oumé,-603083.4714462217,712036.2892289112,Côte D’Ivoire,CI,Gôh-Djiboua,minor,,
Botro,-591176.4047525008,876884.3930823999,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Niakaramandougou,-589001.1105829095,967446.9346493414,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Kani,-735275.4780827248,947237.8783091882,Côte D’Ivoire,CI,Woroba,minor,,
Kong,-513163.1490071207,1022866.8345792282,Côte D’Ivoire,CI,Savanes,minor,,
Bangolo,-833381.6792773092,782563.9879622714,Côte D’Ivoire,CI,Montagnes,admin,,
Bouna,-333412.7842359521,1036380.5526684934,Côte D’Ivoire,CI,Zanzan,minor,,
