city,x,y,country,iso2,admin,capital,population,population_proper
Zagreb,1781111.852692377,5748356.801602935,Croatia,HR,"Zagreb, Grad",primary,722526,698966
Split,1831854.9501391472,5390520.99175523,Croatia,HR,Splitsko-Dalmatinska Županija,admin,214741,176314
Rijeka,1604021.1331952412,5675691.288422808,Croatia,HR,Primorsko-Goranska Županija,admin,170992,141172
Slavonski Brod,2005482.5202777043,5646789.368382025,Croatia,HR,Brodsko-Posavska Županija,admin,97718,60742
Osijek,2080994.2044259778,5708703.94798432,Croatia,HR,Osječko-Baranjska Županija,admin,95077,88140
Zadar,1696756.3915980319,5483988.1698466735,Croatia,HR,Zadarska Županija,admin,71258,47145
Pula,1541558.5423967368,5600816.974191945,Croatia,HR,Istarska Županija,minor,61599,59078
Karlovac,1731018.081835404,5699259.370408181,Croatia,HR,Karlovačka Županija,,55063,48123
Šibenik,1770629.2302028467,5423325.7423095815,Croatia,HR,Šibensko-Kninska Županija,admin,37112,37112
Dubrovnik,2013924.2112230307,5258933.2608551085,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,36994,28428
Luka,1760703.316486774,5775009.191704953,Croatia,HR,Zagrebačka Županija,minor,,
Lukač,1939123.6359819446,5759940.744269746,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Bol,1854026.1191619714,5351927.765908616,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Popovac,2077036.1286113323,5749820.6581958,Croatia,HR,Osječko-Baranjska Županija,minor,,
Zrinski Topolovac,1865622.159198416,5784840.582423471,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Slano,1991722.0953817663,5279472.219898608,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Garčin,2024128.534985578,5650342.185030629,Croatia,HR,Brodsko-Posavska Županija,minor,,
Jakšić,1977467.0779882334,5678067.313195881,Croatia,HR,Požeško-Slavonska Županija,minor,,
Podbablje,1913767.6163275251,5372629.860492634,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Klakar,2018469.7199905924,5637059.1522809435,Croatia,HR,Brodsko-Posavska Županija,minor,,
Biograd na Moru,1720102.5378461785,5456677.018235327,Croatia,HR,Zadarska Županija,minor,,
Vis,1801489.5533990308,5321405.113162317,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Krašić,1727431.1452030633,5725366.7134767035,Croatia,HR,Zagrebačka Županija,minor,,
Delnice,1647497.5169220082,5684846.722186324,Croatia,HR,Primorsko-Goranska Županija,minor,,
Rovišće,1862931.678425433,5771495.302706398,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Rovinj,1518397.8544202517,5634124.653699231,Croatia,HR,Istarska Županija,minor,,
Labin,1571800.263182582,5636489.711309313,Croatia,HR,Istarska Županija,minor,,
Bilice,1771989.888338813,5430731.54036073,Croatia,HR,Šibensko-Kninska Županija,minor,,
Mikleuš,1981919.8576199648,5719440.597900455,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Ogulin,1695241.2220088448,5663512.958596865,Croatia,HR,Karlovačka Županija,minor,,
Žumberak,1718030.770803025,5740376.655556497,Croatia,HR,Zagrebačka Županija,minor,,
Solin,1834265.2397538035,5394086.105834064,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Čepin,2066460.7769859717,5704333.454439052,Croatia,HR,Osječko-Baranjska Županija,minor,,
Kukljica,1697127.5307803366,5470817.06601735,Croatia,HR,Zadarska Županija,minor,,
Babino Polje,1954986.6634199861,5271470.092306988,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Povljana,1682655.996977211,5519247.370920637,Croatia,HR,Zadarska Županija,minor,,
Kaštelir,1523438.1783243893,5669402.1389230415,Croatia,HR,Istarska Županija,minor,,
Rešetari,1943978.501614421,5661975.401951208,Croatia,HR,Brodsko-Posavska Županija,minor,,
Lasinja,1766269.2910264377,5705878.298872198,Croatia,HR,Zagrebačka Županija,minor,,
Galovac,1713577.9911712944,5476496.450051984,Croatia,HR,Zadarska Županija,minor,,
Šodolovci,2072799.865389194,5684714.657219866,Croatia,HR,Osječko-Baranjska Županija,minor,,
Kalinovac,1905294.9785637583,5785068.8980112905,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Pribislavec,1834823.5070001318,5843472.272245599,Croatia,HR,Međimurska Županija,minor,,
Jagodnjak,2067975.9465751587,5732270.885266873,Croatia,HR,Osječko-Baranjska Županija,minor,,
Podgorač,2028550.3677988683,5694011.681865727,Croatia,HR,Osječko-Baranjska Županija,minor,,
Orehovica,1837544.6006330824,5833659.327627022,Croatia,HR,Međimurska Županija,minor,,
Donji Andrijevci,2037115.7346984656,5651219.5520880185,Croatia,HR,Brodsko-Posavska Županija,minor,,
Dugopolje,1848212.7927137648,5400760.048231331,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Prelog,1849635.2331671214,5834196.689612564,Croatia,HR,Međimurska Županija,minor,,
Donja Stubica,1777401.240105765,5777678.723981855,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Vir,1679285.4654349724,5512461.202149766,Croatia,HR,Zadarska Županija,minor,,
Petrinja,1813394.5050224261,5690661.889241241,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Gračac,1764939.579708912,5512072.337942083,Croatia,HR,Zadarska Županija,minor,,
Pakrac,1913458.3707821013,5690485.635787143,Croatia,HR,Požeško-Slavonska Županija,minor,,
Oklaj,1790264.763864382,5457793.795955155,Croatia,HR,Šibensko-Kninska Županija,minor,,
Vojnić,1747561.3826816832,5672612.105116754,Croatia,HR,Karlovačka Županija,minor,,
Krnjak,1736584.0563750677,5674151.48543785,Croatia,HR,Karlovačka Županija,minor,,
Hercegovac,1893946.513074838,5725809.156847056,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Saborsko,1723009.3123897729,5618897.989679188,Croatia,HR,Karlovačka Županija,minor,,
Pregrada,1753374.7091298897,5806696.239082526,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Otok,2102144.9076767,5644640.832213682,Croatia,HR,Vukovarsko-Srijemska Županija,minor,,
Sveti Martin na Muri,1822856.6617398546,5865198.246380118,Croatia,HR,Međimurska Županija,minor,,
Brestovac,1958882.8455977507,5673711.7486312715,Croatia,HR,Požeško-Slavonska Županija,minor,,
Žminj,1548330.440980164,5644027.036423584,Croatia,HR,Istarska Županija,minor,,
Komiža,1791470.799227636,5318527.707090464,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Prgomet,1807086.3634376437,5406310.892951776,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sućuraj,1913149.1252366777,5331059.917683575,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Nova Kapela,1963583.0884575152,5652887.022392908,Croatia,HR,Brodsko-Posavska Županija,minor,,
Vrlika,1825515.9730554153,5451911.326507869,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Podcrkavlje,2004864.0291868572,5656837.362199376,Croatia,HR,Brodsko-Posavska Županija,minor,,
Klana,1600434.0852434095,5692160.26307061,Croatia,HR,Primorsko-Goranska Županija,minor,,
Antunovac,2078891.4905643843,5699126.933821192,Croatia,HR,Osječko-Baranjska Županija,minor,,
Novalja,1657176.1900490297,5552169.290854763,Croatia,HR,Ličko-Senjska Županija,minor,,
Topusko,1778019.6198771216,5667775.749104354,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Mali Bukovec,1863395.5467435687,5825825.751475111,Croatia,HR,Varaždinska Županija,minor,,
Brinje,1684696.817201924,5621915.0686129825,Croatia,HR,Ličko-Senjska Županija,minor,,
Vodice,1756930.8102632805,5428504.829928468,Croatia,HR,Šibensko-Kninska Županija,minor,,
Otrić-Seoci,1942617.8434784547,5336145.304282025,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Ploče,1940607.970072182,5320516.416842126,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Ružić,1808941.7253906955,5437114.674208762,Croatia,HR,Šibensko-Kninska Županija,minor,,
Rakovec,1817012.388473208,5769183.251852132,Croatia,HR,Zagrebačka Županija,minor,,
Tuhelj,1752972.7344486353,5792688.135389864,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Gornja Rijeka,1826474.545190636,5799510.9090693835,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Bošnjaci,2087858.9434647267,5629440.204212523,Croatia,HR,Vukovarsko-Srijemska Županija,minor,,
Petrijanec,1806158.738120864,5836481.1257363465,Croatia,HR,Varaždinska Županija,minor,,
Orle,1807086.3634376437,5729747.519737468,Croatia,HR,Zagrebačka Županija,minor,,
Biskupija,1807519.284937339,5467204.8264938155,Croatia,HR,Šibensko-Kninska Županija,minor,,
Lobor,1788656.8651393638,5804865.894484004,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Desinić,1744221.7979578848,5804196.303825782,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Šestanovac,1882567.212086968,5381400.662215528,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Kistanje,1777215.6705146125,5462777.425846427,Croatia,HR,Šibensko-Kninska Županija,minor,,
