city,x,y,country,iso2,admin,capital,population,population_proper
Havana,-9168737.130052146,2647982.8503592284,Cuba,CU,La Habana,primary,2174000,1990917
Santiago de Cuba,-8440985.958991122,2275499.0452026566,Cuba,CU,Santiago de Cuba,admin,555865,446063
Camagüey,-8673674.530248012,2437347.219582231,Cuba,CU,Camagüey,admin,347562,295605
Holguín,-8489564.560258908,2378436.085558396,Cuba,CU,Holguín,admin,319102,300177
Guantánamo,-8372246.173426273,2290150.175135967,Cuba,CU,Guantánamo,admin,272801,217338
Santa Clara,-8901632.13446568,2560454.369143859,Cuba,CU,Villa Clara,admin,250512,219288
Las Tunas,-8566158.492496673,2387308.3737660362,Cuba,CU,Las Tunas,admin,203684,156112
Bayamo,-8531927.749077741,2317409.22226439,Cuba,CU,Granma,admin,192632,162614
Pinar del Río,-9317070.351534184,2561625.1614269176,Cuba,CU,Pinar del Río,admin,186990,159618
Cienfuegos,-8954045.13559384,2529076.667050658,Cuba,CU,Cienfuegos,admin,186644,106455
Matanzas,-9081165.760188274,2636991.075297206,Cuba,CU,Matanzas,admin,146733,123873
Ciego de Ávila,-8767739.49996833,2492326.128461815,Cuba,CU,Ciego de Ávila,admin,142027,102660
Manzanillo,-8585099.392535659,2313557.3066263446,Cuba,CU,Granma,minor,128188,86678
Sancti Spíritus,-8843498.647344636,2503089.6098818667,Cuba,CU,Sancti Spíritus,admin,127069,76352
Palma Soriano,-8459570.636659568,2298078.828221829,Cuba,CU,Santiago de Cuba,minor,102826,67394
Güines,-9131138.081480792,2612350.7818969977,Cuba,CU,Mayabeque,minor,68935,45955
Artemisa,-9212739.164414441,2609862.6176619674,Cuba,CU,Artemisa,admin,68073,23976
Morón,-8752681.089809742,2524465.1513771517,Cuba,CU,Ciego de Ávila,minor,66060,49043
Colón,-9006294.274431553,2598269.5496742297,Cuba,CU,Matanzas,minor,63882,17472
Sagua la Grande,-8913970.118908262,2608654.9652837664,Cuba,CU,Villa Clara,minor,62073,19432
Placetas,-8867087.470082713,2549006.3993106317,Cuba,CU,Villa Clara,minor,55408,14538
Nuevitas,-8601105.354199877,2457086.0193195906,Cuba,CU,Camagüey,,54022,39570
