city,x,y,country,iso2,admin,capital,population,population_proper
Copenhagen,1400770.2220421955,7492342.649865281,Denmark,DK,Hovedstaden,primary,1085000,1085000
Aarhus,1138300.7926913425,7589018.658371604,Denmark,DK,Midtjylland,minor,237551,227100
Odense,1157158.8710291772,7438609.147133894,Denmark,DK,Syddanmark,minor,158222,145931
Skalborg,1100711.8741936504,7760452.655651356,Denmark,DK,Nordjylland,,122219,101616
Esbjerg,940857.7533314544,7453677.294341652,Denmark,DK,Syddanmark,minor,72205,63947
Vejle,1062295.5179208918,7500582.222020454,Denmark,DK,Syddanmark,admin,51177,51177
Roskilde,1344799.561307773,7487099.645070709,Denmark,DK,Sjælland,minor,44285,40284
Viborg,1046880.8853917655,7649092.530104347,Denmark,DK,Midtjylland,admin,34831,31057
Svendborg,1179023.243535375,7373273.150363738,Denmark,DK,Syddanmark,minor,29180,27553
Hillerød,1371085.0987103165,7545155.572855046,Denmark,DK,Hovedstaden,admin,28313,28313
Frederikshavn,1174106.3729465269,7851374.384418033,Denmark,DK,Nordjylland,minor,24103,20667
Borød,1282469.9973007664,7445093.601819848,Denmark,DK,Sjælland,,7167,7167
Nyborg,1202628.3189191069,7421452.285576974,Denmark,DK,Syddanmark,minor,,
Hvidovre,1388795.8070565448,7489105.232031409,Denmark,DK,Hovedstaden,minor,,
Horsens,1099116.4432516012,7531721.687183568,Denmark,DK,Midtjylland,minor,,
Kastrup,1408074.4504305962,7486142.110133177,Denmark,DK,Hovedstaden,minor,,
Ærøskøbing,1158649.2163719174,7340780.17454849,Denmark,DK,Syddanmark,minor,,
Hobro,1090409.7005986962,7686509.413512537,Denmark,DK,Nordjylland,minor,,
Haderslev,1056345.7137769726,7411013.347774034,Denmark,DK,Syddanmark,minor,,
Højby,1291034.362324947,7540813.574251943,Denmark,DK,Sjælland,minor,,
Dragør,1410301.2855244249,7478124.971371229,Denmark,DK,Hovedstaden,minor,,
Lemvig,923951.7735841707,7665328.141391702,Denmark,DK,Midtjylland,minor,,
Nykøbing Falster,1321928.415326841,7316486.813016198,Denmark,DK,Sjælland,minor,,
Nykøbing Mors,985165.8049739378,7717660.157154969,Denmark,DK,Nordjylland,minor,,
Sorø,1286948.6030543614,7447481.563599136,Denmark,DK,Sjælland,admin,,
Kolding,1053986.4084891002,7458130.304167747,Denmark,DK,Syddanmark,minor,,
Hjørring,1111961.154016274,7856034.416334703,Denmark,DK,Nordjylland,minor,,
Søborg,1392586.124398565,7504893.905537832,Denmark,DK,Hovedstaden,minor,,
Aalborg,1106645.203052932,7767377.619604048,Denmark,DK,Nordjylland,admin,,
Kokkedal,1393190.700553063,7540476.528562145,Denmark,DK,Hovedstaden,minor,,
Sønderborg,1090134.2961784734,7344541.276258763,Denmark,DK,Syddanmark,minor,,
Albertslund,1373138.9433154524,7491476.627051506,Denmark,DK,Hovedstaden,minor,,
Randers,1117245.824202703,7650680.833917159,Denmark,DK,Midtjylland,minor,,
Solrød Strand,1360906.9350281057,7466673.3915025275,Denmark,DK,Sjælland,minor,,
Vejen,1017231.7182554125,7455817.04384567,Denmark,DK,Syddanmark,minor,,
Ringe,1165586.980996627,7409573.06703655,Denmark,DK,Syddanmark,minor,,
Herlev,1384856.3215968616,7503572.040280013,Denmark,DK,Hovedstaden,minor,,
Odder,1131929.1989968081,7553880.546639047,Denmark,DK,Midtjylland,minor,,
Næstved,1311812.5905594747,7405637.141991667,Denmark,DK,Sjælland,minor,,
Kongens Lyngby,1392160.549985262,7513117.999309763,Denmark,DK,Hovedstaden,minor,,
Helsinge,1357983.5738803835,7562330.202746352,Denmark,DK,Hovedstaden,minor,,
Skanderborg,1105592.2319895183,7564648.32876714,Denmark,DK,Midtjylland,minor,,
Rødovre,1387526.9875004827,7495511.328838679,Denmark,DK,Hovedstaden,minor,,
Frederiksberg,1393952.9051065247,7494671.998833118,Denmark,DK,Hovedstaden,minor,,
Helsingør,1401096.8334281829,7564266.009980324,Denmark,DK,Hovedstaden,minor,,
Allerød,1375616.3585830566,7532648.587071175,Denmark,DK,Hovedstaden,minor,,
Skive,1006355.4700464375,7671483.703628344,Denmark,DK,Midtjylland,minor,,
Glostrup,1380781.1376779012,7492328.833789315,Denmark,DK,Hovedstaden,minor,,
Ishøj,1372360.931394298,7482822.719817891,Denmark,DK,Hovedstaden,minor,,
Brøndby,1382750.9360674883,7489861.284260817,Denmark,DK,Hovedstaden,minor,,
Frederikssund,1343360.4229307978,7526416.378811745,Denmark,DK,Hovedstaden,minor,,
Holbæk,1304319.6756341795,7501599.053191487,Denmark,DK,Sjælland,minor,,
Rudkøbing,1193497.2263672978,7349841.300546622,Denmark,DK,Syddanmark,minor,,
Kirke Hvalsø,1320425.3795621502,7478358.234573298,Denmark,DK,Sjælland,minor,,
Tønder,987329.8558749589,7350834.293689855,Denmark,DK,Syddanmark,minor,,
Haslev,1332939.91671713,7423813.410658468,Denmark,DK,Sjælland,minor,,
Holte,1387783.0223293074,7522005.473168475,Denmark,DK,Hovedstaden,minor,,
Ikast,1019689.0960146743,7585686.417950036,Denmark,DK,Midtjylland,minor,,
Taastrup,1370567.6857171091,7488564.67637619,Denmark,DK,Hovedstaden,minor,,
Rønde,1166077.7886315342,7618661.975941285,Denmark,DK,Midtjylland,minor,,
Rønne,1637135.2308020256,7381474.784530512,Denmark,DK,Hovedstaden,minor,,
Støvring,1094378.0178064948,7737845.877218546,Denmark,DK,Nordjylland,minor,,
Vallensbæk Strand,1379197.1726434038,7481941.206336459,Denmark,DK,Hovedstaden,minor,,
Bogense,1123539.0489757191,7472340.168224056,Denmark,DK,Syddanmark,minor,,
Vordingborg,1325138.0902048836,7363892.567865518,Denmark,DK,Sjælland,minor,,
Tranebjerg,1179678.3587386934,7525162.771671313,Denmark,DK,Midtjylland,minor,,
Slagelse,1263937.3058345206,7440421.243941705,Denmark,DK,Sjælland,minor,,
