city,x,y,country,iso2,admin,capital,population,population_proper
Santo Domingo,-7781232.406449823,2092244.1065948736,Dominican Republic,DO,Ozama,primary,2154000,2873
Santiago,-7869957.380196786,2208189.489032921,Dominican Republic,DO,Cibao Norte,admin,1550753,1391262
San Pedro de Macorís,-7714126.902329312,2091644.3920201305,Dominican Republic,DO,Higuamo,admin,217899,204140
La Romana,-7678022.429241348,2087628.524719725,Dominican Republic,DO,Yuma,admin,208437,196506
La Vega,-7851314.482434654,2181098.822156185,Dominican Republic,DO,Cibao Sur,admin,163197,102426
San Cristóbal,-7804377.1757391235,2086607.2593240389,Dominican Republic,DO,Valdesia,admin,154040,154040
San Francisco de Macorís,-7820482.100430658,2190404.8620492844,Dominican Republic,DO,Cibao Nordeste,admin,152538,124763
Higüey,-7648982.736317088,2108998.282989398,Dominican Republic,DO,Yuma,minor,123787,123787
Puerto Plata,-7868896.505449526,2247874.302856303,Dominican Republic,DO,Cibao Norte,minor,119897,119897
Barahona,-7914901.734048643,2061972.2833024429,Dominican Republic,DO,Enriquillo,admin,90128,77160
Bonao,-7837919.185468518,2147505.259373499,Dominican Republic,DO,Cibao Sur,minor,73269,73269
San Juan,-7929276.976492233,2132095.177983364,Dominican Republic,DO,El Valle,admin,72950,72950
Baní,-7829305.171951445,2070306.4939913524,Dominican Republic,DO,Valdesia,minor,66709,66709
Moca,-7850915.847338123,2201321.8722751965,Dominican Republic,DO,Cibao Norte,minor,61834,61834
Azua,-7874173.160632617,2090662.7060137142,Dominican Republic,DO,Valdesia,minor,59139,59139
Mao,-7912381.572096573,2220017.4754830315,Dominican Republic,DO,Cibao Noroeste,admin,48297,48297
Salcedo,-7838853.601274237,2199445.278658358,Dominican Republic,DO,Cibao Nordeste,minor,45299,45299
El Pino,-7977896.877291104,2141205.0698352912,Dominican Republic,DO,,,43894,27908
Cotuí,-7808994.59689774,2161143.3540599016,Dominican Republic,DO,Cibao Sur,minor,41641,41641
Hato Mayor,-7709632.489208024,2127026.560608511,Dominican Republic,DO,Higuamo,minor,35999,35999
Nagua,-7775608.99105291,2199092.567488731,Dominican Republic,DO,Cibao Nordeste,minor,33862,33862
Neiba,-7950398.847994838,2093970.3515083056,Dominican Republic,DO,Enriquillo,minor,25731,18670
El Seibo,-7685370.740148103,2127357.1623220714,Dominican Republic,DO,Yuma,minor,23547,23547
Monte Cristi,-7975113.890021271,2254941.0310334265,Dominican Republic,DO,Cibao Noroeste,minor,17001,16704
Dajabón,-7982530.105817408,2219653.5171958394,Dominican Republic,DO,Cibao Noroeste,minor,16398,16398
Sabaneta,-7941671.511236138,2211286.163078007,Dominican Republic,DO,Cibao Noroeste,minor,16380,16380
Monte Plata,-7768318.121003405,2132226.652185343,Dominican Republic,DO,Higuamo,minor,15532,15532
Samaná,-7718542.94652908,2179158.652477124,Dominican Republic,DO,Cibao Nordeste,minor,11432,11432
Pedernales,-7986508.887057343,2042040.877165885,Dominican Republic,DO,Enriquillo,minor,11072,11072
Jimaní,-7998329.569826208,2095180.6187181533,Dominican Republic,DO,Enriquillo,minor,6567,6567
Bávaro,-7618037.587668919,2119217.4024621393,Dominican Republic,DO,Yuma,,795,795
San José de Ocoa,-7848726.192954221,2101628.50675231,Dominican Republic,DO,Valdesia,minor,,
Santo Domingo Este,-7776453.0154321045,2094802.8939113677,Dominican Republic,DO,Ozama,admin,,
Comendador,-7981916.735423138,2140518.820286374,Dominican Republic,DO,El Valle,minor,,
