city,x,y,country,iso2,admin,capital,population,population_proper
Guayaquil,-8895312.081695383,-245613.89006797856,Ecuador,EC,Guayas,admin,2514000,1952029
Quito,-8737801.347433876,-21659.252313110872,Ecuador,EC,Pichincha,primary,1701000,1399814
Cuenca,-8794743.716003433,-323025.1964911055,Ecuador,EC,Azuay,admin,286878,276964
Ambato,-8752247.945671065,-139424.18193477285,Ecuador,EC,Tungurahua,admin,281425,154369
Portoviejo,-8956148.183413908,-117401.82629376299,Ecuador,EC,Manabí,admin,213601,170326
Machala,-8901166.039757729,-362942.2974982189,Ecuador,EC,El Oro,admin,213034,198123
Manta,-8984897.66642567,-107107.29690747606,Ecuador,EC,Manabí,,183166,170716
Sangolquí,-8732376.637328029,-36472.58277788754,Ecuador,EC,Pichincha,,178582,5114
Esmeraldas,-8866822.08441666,107886.19867806291,Ecuador,EC,Esmeraldas,admin,173101,95630
Riobamba,-8754957.796035446,-186039.46248520198,Ecuador,EC,Chimborazo,admin,172464,124478
Ibarra,-8696538.329142552,39152.42399241196,Ecuador,EC,Imbabura,admin,146741,108666
Loja,-8816752.46988919,-446262.6797599775,Ecuador,EC,Loja,admin,126368,117796
Milagro,-8860379.80284547,-237614.85755453396,Ecuador,EC,Guayas,,109970,897
Latacunga,-8751442.437835684,-104111.2787236713,Ecuador,EC,Cotopaxi,admin,94972,51717
Tulcán,-8651447.033562846,90380.09083763813,Ecuador,EC,Carchi,admin,83000,83000
Babahoyo,-8853732.136813771,-200649.28913929898,Ecuador,EC,Los Ríos,admin,76279,43467
Azogues,-8777386.224401493,-305097.6274860711,Ecuador,EC,Cañar,admin,69087,34877
Chone,-8915980.103634026,-77723.74488005806,Ecuador,EC,Manabí,,44751,36007
Salinas,-9013567.889959985,-245785.56070060306,Ecuador,EC,Guayas,,43862,5371
Jipijapa,-8969984.973480528,-150152.24578782194,Ecuador,EC,Manabí,,35901,21581
Tena,-8662087.507090323,-110634.74620389628,Ecuador,EC,Napo,admin,31126,17172
Cayambe,-8699088.324718155,4546.39970849038,Ecuador,EC,Pichincha,,27881,26582
Guaranda,-8794348.643130608,-177313.37301573882,Ecuador,EC,Bolívar,admin,27866,20000
Puyo,-8683206.70692515,-165181.74315112963,Ecuador,EC,Pastaza,admin,24881,24881
Macas,-8695315.261897206,-257070.9894772598,Ecuador,EC,Morona-Santiago,admin,23687,17601
San Lorenzo de Esmeraldas,-8775888.198013887,143197.50280252777,Ecuador,EC,Esmeraldas,,20209,20209
Piñas,-8870029.087626923,-410056.6957719817,Ecuador,EC,El Oro,,16981,16981
San Gabriel,-8664082.241045848,66033.5638533608,Ecuador,EC,Carchi,,16066,15112
Zamora,-8789217.14856351,-453100.5187339034,Ecuador,EC,Zamora-Chinchipe,admin,15276,7887
Alausí,-8777223.586625442,-245329.1466982166,Ecuador,EC,Chimborazo,,14294,14294
Muisne,-8907632.811616892,68049.67120917849,Ecuador,EC,Esmeraldas,,13393,3112
Macará,-8899292.087449716,-488257.03773936525,Ecuador,EC,Loja,,13035,10461
Valdez,-8792353.575216612,139067.65197644522,Ecuador,EC,Esmeraldas,,11441,2530
Santa Cruz,-10046905.646101842,-58727.09319794691,Ecuador,EC,Galápagos,,11262,5033
Puerto Baquerizo Moreno,-9974753.918144181,-102776.49381437284,Ecuador,EC,Galápagos,admin,6030,4214
Puerto Villamil,-10126196.626962546,-106504.19467598817,Ecuador,EC,Galápagos,,2200,1800
Yaupi,-8675795.500506096,-317886.4433726634,Ecuador,EC,Morona-Santiago,,293,293
Santa Elena,-9001152.09319334,-247884.27924477708,Ecuador,EC,Santa Elena,admin,,
Santo Domingo de los Colorados,-8813760.313296156,-28169.154762496477,Ecuador,EC,Santo Domingo de los Tsáchilas,admin,,
Puerto Francisco de Orellana,-8570174.788405003,-51925.10477200961,Ecuador,EC,Orellana,admin,,
Nueva Loja,-8559173.75104685,10082.544438863944,Ecuador,EC,Sucumbíos,admin,,
