city,x,y,country,iso2,admin,capital,population,population_proper
Cairo,3482731.4588846946,3513461.6115762237,Egypt,EG,Al Qāhirah,primary,11893000,7734614
Alexandria,3334604.957697061,3660786.5326200807,Egypt,EG,Al Iskandarīyah,admin,4165000,3811516
Al Jīzah,3474384.946103996,3504588.3659021216,Egypt,EG,Al Jīzah,admin,2681863,2681863
Ismailia,3592530.6593922046,3581462.2690362497,Egypt,EG,Al Ismā‘īlīyah,admin,656135,284813
Port Said,3593851.2425114852,3666110.8846624233,Egypt,EG,Būr Sa‘īd,admin,623864,500000
Luxor,3633868.0391033785,2961460.157542368,Egypt,EG,Al Uqşur,admin,609248,487896
Sūhāj,3528247.3270022855,3068226.966595787,Egypt,EG,Sūhāj,admin,600000,209419
Al Manşūrah,3493282.5428610626,3637473.7712846813,Egypt,EG,Ad Daqahlīyah,admin,600000,480494
Suez,3620807.4798460575,3500171.4705816167,Egypt,EG,As Suways,admin,508335,488125
Al Minyā,3423107.6264209095,3262834.7249741196,Egypt,EG,Al Minyā,admin,500000,227150
Ib‘ādīyat Damanhūr,3386925.5636478625,3637012.3089584396,Egypt,EG,Al Buḩayrah,,500000,242700
Banī Suwayf,3461796.604126621,3385120.0464164,Egypt,EG,Banī Suwayf,admin,489450,189624
Asyūţ,3471351.712618861,3146098.057926776,Egypt,EG,Asyūţ,admin,420585,420585
Ţanţā,3451118.0593332946,3605308.438495853,Egypt,EG,Al Gharbīyah,admin,404901,404901
Al Fayyūm,3433293.9164259476,3415155.0559886806,Egypt,EG,Al Fayyūm,admin,316772,306393
Aswān,3663194.7136749034,2764797.467257018,Egypt,EG,Aswān,admin,313442,241261
Qinā,3643120.692539134,3019429.466065178,Egypt,EG,Qinā,admin,302027,235362
Mallawī,3433276.995863348,3215151.612564016,Egypt,EG,Al Minyā,,217365,142504
Al ‘Arīsh,3762277.85472069,3649469.3900694246,Egypt,EG,Shamāl Sīnā’,admin,178651,128855
Banhā,3470783.3152988716,3562695.9083945206,Egypt,EG,Al Qalyūbīyah,admin,167029,167029
Ma‘şarat Samālūţ,3419363.7293065498,3288957.235536885,Egypt,EG,Al Minyā,,152097,90465
Kafr ash Shaykh,3444237.958204816,3647602.607744197,Egypt,EG,Kafr ash Shaykh,admin,143970,143970
Jirjā,3550157.7857776713,3041035.9491780167,Egypt,EG,Sūhāj,,128250,102701
Marsá Maţrūḩ,3032930.1395227066,3678618.1760365977,Egypt,EG,Maţrūḩ,admin,103470,62042
Isnā,3623896.7070350624,2911820.039127,Egypt,EG,Qinā,,100000,69335
Banī Mazār,3428684.9555486343,3312615.7518055127,Egypt,EG,Al Minyā,,79553,58153
Al Khārijah,3400403.682315149,2931292.230937398,Egypt,EG,Al Wādī al Jadīd,admin,49991,49991
Būr Safājah,3777795.1238203277,3089676.548219042,Egypt,EG,Al Baḩr al Aḩmar,,32944,9127
Aţ Ţūr,3743162.8509981045,3278808.845934562,Egypt,EG,Janūb Sīnā’,admin,27628,14972
Sīwah,2841045.393657617,3401295.873573464,Egypt,EG,Maţrūḩ,,23080,23080
Aḑ Ḑab‘ah,3166480.2439468876,3636410.56299739,Egypt,EG,Maţrūḩ,,14212,14212
Al ‘Alamayn,3223257.970989561,3610699.587751141,Egypt,EG,Maţrūḩ,,7400,2476
As Sallūm,2800567.623054349,3704870.039582495,Egypt,EG,Maţrūḩ,,7330,7330
Qaşr al Farāfirah,3113583.1143532675,3130569.8275320577,Egypt,EG,Al Wādī al Jadīd,,5000,5000
Al Qaşr,3215405.716747985,2961556.2690088353,Egypt,EG,Al Wādī al Jadīd,,1716,1716
Al Ghardaqah,3764614.562151931,3155102.8218684355,Egypt,EG,Al Baḩr al Aḩmar,admin,,
Bi’r al ‘Abd,3674634.127187802,3635200.5342207677,Egypt,EG,Shamāl Sīnā’,minor,,
Rafaḩ,3811364.629463947,3670182.9087586473,Egypt,EG,Shamāl Sīnā’,minor,,
Damanhūr,3391708.1829308146,3637176.391141219,Egypt,EG,Al Buḩayrah,admin,,
Shibīn al Kawm,3451909.9861907978,3574778.5760098677,Egypt,EG,Al Minūfīyah,admin,,
Damietta,3541442.137565503,3686955.5497592203,Egypt,EG,Dumyāţ,admin,,
Ash Shaykh Zuwayd,3797190.4300207305,3660871.400048972,Egypt,EG,Shamāl Sīnā’,minor,,
Az Zaqāzīq,3506786.265011232,3579316.0028409944,Egypt,EG,Ash Sharqīyah,admin,,
