city,x,y,country,iso2,admin,capital,population,population_proper
Addis Ababa,4313544.106953477,1008762.7552796208,Ethiopia,ET,Ādīs Ābeba,primary,3100000,2757729
Nazrēt,4371145.375589039,955333.8653946748,Ethiopia,ET,Oromīya,,476892,213995
Dire Dawa,4660514.158014669,1072918.7321392908,Ethiopia,ET,Dirē Dawa,admin,252279,248372
Bahir Dar,4161493.59371538,1300219.2081882774,Ethiopia,ET,Āmara,admin,206748,168899
Desē,4411962.448000246,1247230.6017393358,Ethiopia,ET,Āmara,,183802,136056
Harar,4688571.122474206,1041411.5222693257,Ethiopia,ET,Hārerī Hizb,admin,174994,147306
Gonder,4170770.2921611466,1414069.629658084,Ethiopia,ET,Āmara,,156230,153914
Āwasa,4282089.78295442,786790.289394306,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,133097,133097
Jīma,4100267.87377908,856007.7240631849,Ethiopia,ET,Oromīya,,128306,128306
Giyon,4228285.288191345,953457.693142761,Ethiopia,ET,Oromīya,,114534,38394
Shashemenē,4296932.34462036,803618.1642596693,Ethiopia,ET,Oromīya,,114350,85871
Ādīgrat,4392759.835838405,1606008.893839083,Ethiopia,ET,Tigray,,104021,104021
Mekele,4394367.845882915,1516532.8773100805,Ethiopia,ET,Tigray,admin,95856,95856
Hosa’ina,4217153.339112017,846648.2659914836,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,89300,89300
Āsela,4356302.702603608,887843.4203869468,Ethiopia,ET,Oromīya,,82240,82240
Nek’emtē,4068727.388494149,1015414.3689808775,Ethiopia,ET,Oromīya,,73018,73018
Debre Mark’os,4200455.415493026,1158474.4142214737,Ethiopia,ET,Āmara,,70758,59920
Ārba Minch’,4180046.879287422,672872.2230079466,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,69622,39065
Sodo,4202310.777446077,769967.8619931865,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,65737,65737
Debre Birhan,4400751.462082455,1082684.3239479086,Ethiopia,ET,Āmara,,65231,57787
Jijiga,4764474.205952109,1045487.8895205763,Ethiopia,ET,Sumalē,admin,56821,48194
Āksum,4310785.164693656,1588501.9231782514,Ethiopia,ET,Tigray,,47487,41249
Dīla,4265391.85933543,715797.9511816691,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,47021,47021
Hāgere Hiywet,4213442.7265254045,1004142.616728034,Ethiopia,ET,Oromīya,,43920,34905
Yirga ‘Alem,4276523.808414756,753150.763305234,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,36292,36292
Goba,4450924.269777892,783051.5429959774,Ethiopia,ET,Oromīya,,34369,32025
Gīmbī,3988948.382985806,1024809.9724360738,Ethiopia,ET,Oromīya,,31809,13038
Āsosa,3844233.0449545505,1126426.5722852696,Ethiopia,ET,Bīnshangul Gumuz,admin,30512,17872
Dembī Dolo,3873918.27960592,953457.693142761,Ethiopia,ET,Oromīya,,27780,26748
Batī,4454643.899243258,1253832.9619201794,Ethiopia,ET,Āmara,,19260,6393
Dolo Bay,4684695.200443766,466100.8054623095,Ethiopia,ET,Sumalē,,11810,11810
Negēlē,4406396.473460582,592699.8586103142,Ethiopia,ET,Oromīya,,11772,11772
Gorē,3955552.5357478242,910328.896783391,Ethiopia,ET,Oromīya,,9352,9352
Semera,4586472.447742321,1288969.9855397334,Ethiopia,ET,Āfar,admin,,
Gambēla,3849799.0194942146,921575.8334174489,Ethiopia,ET,Gambēla Hizboch,admin,,
