city,x,y,country,iso2,admin,capital,population,population_proper
Helsinki,2775658.7737944457,8438927.643607704,Finland,FI,Uusimaa,primary,1115000,558457
Tampere,2643837.9063402475,8741545.435835699,Finland,FI,Pirkanmaa,admin,259279,202687
Turku,2480569.282736949,8500614.173537267,Finland,FI,Varsinais-Suomi,admin,175945,174940
Oulu,2834936.402641864,9612763.040300269,Finland,FI,Pohjois-Pohjanmaa,admin,136752,128618
Lahti,2857200.3008005186,8618173.461459996,Finland,FI,Päijät-Häme,admin,98826,96190
Jyväskylä,2864621.525973743,8914683.044448312,Finland,FI,Keski-Suomi,admin,98136,85026
Kuopio,3081694.5330206263,9075772.570084514,Finland,FI,Pohjois-Savo,admin,91900,89104
Pori,2424909.5373403123,8737658.123484692,Finland,FI,Satakunta,admin,76772,66280
Lappeenranta,3137354.278417263,8641147.026092326,Finland,FI,Etelä-Karjala,admin,59276,49757
Vaasa,2404501.0011347095,9124813.23624914,Finland,FI,Pohjanmaa,admin,57014,40846
Joensuu,3313610.21305294,9002835.082445009,Finland,FI,Pohjois-Karjala,admin,53388,53388
Hämeenlinna,2721761.5498955385,8625823.200203592,Finland,FI,Kanta-Häme,admin,47261,47261
Kokkola,2573335.599277671,9307566.589245778,Finland,FI,Keski-Pohjanmaa,admin,46714,46714
Mikkeli,3033456.124116705,8784442.992032139,Finland,FI,Etelä-Savo,admin,46550,46550
Rovaniemi,2862766.2753401822,10015051.24417033,Finland,FI,Lappi,admin,34781,25389
Kouvola,2972230.4041804043,8595272.020350939,Finland,FI,Kymenlaakso,admin,31133,31133
Savonlinna,3215277.921972555,8827596.290912721,Finland,FI,Etelä-Savo,minor,27353,13114
Kemi,2734748.8609279175,9804240.548086852,Finland,FI,Lappi,minor,22641,11479
Porvoo,2857200.3008005186,8489337.02709086,Finland,FI,Uusimaa,minor,12242,12242
Kirkonkylä,2966664.4296407406,10270967.417375982,Finland,FI,Lappi,,8942,4091
Kemijärvi,3052009.4096887475,10061736.370701471,Finland,FI,Lappi,minor,8883,8883
Sodankylä,2961098.455101077,10275797.06390417,Finland,FI,Lappi,minor,,
Kangasala,2680944.366164841,8733773.12484678,Finland,FI,Pirkanmaa,minor,,
Varkaus,3107669.1550853844,8934623.156946382,Finland,FI,Pohjois-Savo,minor,,
Kuusamo,3248673.769210537,9867728.963056441,Finland,FI,Pohjois-Pohjanmaa,minor,,
Teuva,2419343.5628006486,8974669.320208173,Finland,FI,Etelä-Pohjanmaa,minor,,
Saarijärvi,2812672.504483209,9031111.705629086,Finland,FI,Keski-Suomi,minor,,
Lemland,2237521.7649447992,8418314.479121495,Finland,FI,Åland,minor,,
Simpele,3269082.416735631,8726008.893013036,Finland,FI,Etelä-Karjala,minor,,
Lumijoki,2803395.8060374423,9564606.997499416,Finland,FI,Pohjois-Pohjanmaa,minor,,
Urjala,2619718.6462285407,8644982.848924771,Finland,FI,Pirkanmaa,minor,,
Geta,2209691.8922464806,8485581.75297295,Finland,FI,Åland,minor,,
Laukaa,2888740.786085449,8958624.200968266,Finland,FI,Keski-Suomi,minor,,
Ingå,2673523.1409916175,8410878.26176792,Finland,FI,Uusimaa,minor,,
Laitila,2413777.588260985,8599083.788274031,Finland,FI,Varsinais-Suomi,minor,,
Kitee,3356282.6474171984,8882893.472505394,Finland,FI,Pohjois-Karjala,minor,,
Kaustinen,2638271.9318005834,9232236.586651878,Finland,FI,Keski-Pohjanmaa,minor,,
Honkajoki,2478714.0321033886,8855191.859157657,Finland,FI,Satakunta,minor,,
Kauhajoki,2469437.333657622,8962632.006905375,Finland,FI,Etelä-Pohjanmaa,minor,,
Lieksa,3341440.0857512592,9178322.96368202,Finland,FI,Pohjois-Karjala,minor,,
Sonkajärvi,3063141.358768075,9265618.343679879,Finland,FI,Pohjois-Savo,minor,,
Suonenjoki,3020468.8130843258,9006867.858735008,Finland,FI,Pohjois-Savo,minor,,
Enontekiö,2630850.5953078684,10561864.549387459,Finland,FI,Lappi,minor,,
Nastola,2886885.424132398,8614351.483742384,Finland,FI,Päijät-Häme,minor,,
Kyyjärvi,2734748.8609279175,9108428.903693195,Finland,FI,Keski-Suomi,minor,,
Vårdö,2268015.9583357633,8454726.716506649,Finland,FI,Åland,minor,,
Savukoski,3134540.4556484814,10239897.656902762,Finland,FI,Lappi,minor,,
Sipoo,2812672.504483209,8481828.625149475,Finland,FI,Uusimaa,minor,,
Siilinjärvi,3079839.2823870657,9120713.572303506,Finland,FI,Pohjois-Savo,minor,,
Tuusniemi,3172605.487608297,9055437.731226943,Finland,FI,Pohjois-Savo,minor,,
Masku,2460160.7465313463,8526995.257003333,Finland,FI,Varsinais-Suomi,minor,,
Ranua,2953677.1186083616,9854075.704135003,Finland,FI,Lappi,minor,,
Lapua,2560348.2882452924,9088001.280120866,Finland,FI,Etelä-Pohjanmaa,minor,,
Nivala,2779276.657245227,9328634.165160391,Finland,FI,Pohjois-Pohjanmaa,minor,,
Nummela,2708774.23886316,8474327.67333636,Finland,FI,Uusimaa,minor,,
Pelkosenniemi,3062461.085359837,10187707.287251573,Finland,FI,Lappi,minor,,
Brändö,2343275.281198409,8493094.224649888,Finland,FI,Åland,minor,,
Pulkkila,2879464.198959173,9417806.716270555,Finland,FI,Pohjois-Pohjanmaa,minor,,
Pudasjärvi,2996349.6642921106,9710075.21551444,Finland,FI,Pohjois-Pohjanmaa,minor,,
Haapajärvi,2820093.7296564337,9286561.53688126,Finland,FI,Pohjois-Pohjanmaa,minor,,
Harjavalta,2463871.359117958,8698899.94430186,Finland,FI,Satakunta,minor,,
Karstula,2758868.009720133,9067631.758773796,Finland,FI,Keski-Suomi,minor,,
Kauniainen,2754322.500952571,8448259.577750875,Finland,FI,Uusimaa,minor,,
Korsnäs,2359973.2048174,9047319.72382623,Finland,FI,Pohjanmaa,minor,,
Ruokolahti,3209711.947432891,8691172.866540391,Finland,FI,Etelä-Karjala,minor,,
Jomala,2222679.2032788596,8433209.721803233,Finland,FI,Åland,minor,,
Loimaa,2558492.92629224,8595272.020350939,Finland,FI,Varsinais-Suomi,minor,,
Muhos,2892451.398672061,9555886.732036727,Finland,FI,Pohjois-Pohjanmaa,minor,,
Rautalampi,2987072.965846344,9010902.65826748,Finland,FI,Pohjois-Savo,minor,,
Rautavaara,3150341.589449642,9219758.712208616,Finland,FI,Pohjois-Savo,minor,,
Lohja,2680944.366164841,8455609.203427529,Finland,FI,Uusimaa,minor,,
Taipalsaari,3122511.7167513235,8660347.060161244,Finland,FI,Etelä-Karjala,minor,,
Imatra,3202290.7222596663,8664193.24038562,Finland,FI,Etelä-Karjala,minor,,
