city,x,y,country,iso2,admin,capital,population,population_proper
Paris,259745.44141114142,6252267.7815196,France,FR,Île-de-France,primary,9904000,11177
Lyon,539533.4005421577,5740130.50200465,France,FR,Auvergne-Rhône-Alpes,admin,1423000,472317
Marseille,598460.2616740862,5355516.010873479,France,FR,Provence-Alpes-Côte d’Azur,admin,1400000,794811
Lille,340480.1247479446,6556625.546369491,France,FR,Hauts-de-France,admin,1044000,228328
Nice,808126.0698035854,5421234.345143285,France,FR,Provence-Alpes-Côte d’Azur,,927000,338620
Toulouse,159541.75837103016,5403674.091487339,France,FR,Occitanie,admin,847000,433055
Bordeaux,-64620.9644054953,5596436.752580487,France,FR,Nouvelle-Aquitaine,admin,803000,231844
Rouen,120596.07791954944,6348711.370991308,France,FR,Normandie,admin,532559,110276
Strasbourg,866884.3932264529,6207324.442645185,France,FR,Grand Est,admin,439972,274845
Nantes,-172810.03979817123,5977485.733455606,France,FR,Pays de la Loire,admin,438537,277269
Metz,687495.2602029084,6294475.466650232,France,FR,Grand Est,minor,409186,123914
Grenoble,637013.2069620484,5648568.443514215,France,FR,Auvergne-Rhône-Alpes,,388574,158552
Toulon,661428.3542802831,5329904.943501781,France,FR,Provence-Alpes-Côte d’Azur,,357693,168701
Montpellier,431611.2692884041,5405427.263156811,France,FR,Occitanie,minor,327254,248252
Nancy,688817.8470730233,6222779.465393266,France,FR,Grand Est,,268976,105334
Saint-Étienne,488809.5613672947,5690325.884304294,France,FR,Auvergne-Rhône-Alpes,,265684,176280
Melun,295393.1706283806,6198124.6579801105,France,FR,Île-de-France,,249432,38953
Le Havre,14842.561665939545,6360130.740921419,France,FR,Normandie,,242124,185972
Tours,78366.36117017634,6006761.1809877055,France,FR,Centre-Val de Loire,,236096,141621
Clermont-Ferrand,343563.22936495516,5745109.135973979,France,FR,Auvergne-Rhône-Alpes,minor,233050,138681
Orléans,211939.73136793327,6090714.535748386,France,FR,Centre-Val de Loire,admin,217301,124149
Mulhouse,817968.0486236002,6063391.100109569,France,FR,Grand Est,,215454,111430
Rennes,-186381.2215597608,6125504.74340224,France,FR,Bretagne,admin,209375,199284
Reims,448988.57575970644,6317388.117930809,France,FR,Grand Est,,196565,159313
Caen,-36381.658620039256,6308386.546515237,France,FR,Normandie,minor,190099,110624
Angers,-60974.13788710767,6019757.113534081,France,FR,Pays de la Loire,,188380,168279
Dijon,558452.8159194194,5993916.2337604,France,FR,Bourgogne-Franche-Comté,admin,169946,149782
Nîmes,485311.01241064374,5439754.875741787,France,FR,Occitanie,,169547,148236
Limoges,140018.21211723346,5753393.4030037355,France,FR,Nouvelle-Aquitaine,minor,152199,141176
Aix-en-Provence,606556.6395589719,5392793.994517278,France,FR,Provence-Alpes-Côte d’Azur,,146821,143797
Perpignan,322503.4741382113,5265839.877499774,France,FR,Occitanie,,146620,110706
Biarritz,-173166.4848076913,5385338.739691579,France,FR,Nouvelle-Aquitaine,,145348,33188
Brest,-499397.60341460607,6172110.665449115,France,FR,Bretagne,,144899,140929
Le Mans,22788.10164080024,6106919.051771565,France,FR,Pays de la Loire,,144515,142270
Amiens,256034.82882452922,6428975.579877882,France,FR,Hauts-de-France,minor,143086,94731
Besançon,669937.6161565209,5982775.934161082,France,FR,Bourgogne-Franche-Comté,minor,128426,119960
Annecy,682021.0129236585,5765331.384662982,France,FR,Auvergne-Rhône-Alpes,,105749,49232
Calais,206941.82018978763,6612673.347939551,France,FR,Hauts-de-France,,92201,74433
Poitiers,37106.45982459426,5874326.638790939,France,FR,Nouvelle-Aquitaine,minor,85960,84807
Versailles,237582.06475267303,6241600.7075110385,France,FR,Île-de-France,,85416,85416
Kerbrient,-379689.1871146423,6062102.0821202835,France,FR,Bretagne,,84952,58112
Béziers,358713.0328254841,5364676.6002685465,France,FR,Occitanie,,81438,74081
La Rochelle,-128017.41441226461,5807098.068838284,France,FR,Nouvelle-Aquitaine,,76997,76810
Roanne,452909.24822544557,5787289.349400772,France,FR,Auvergne-Rhône-Alpes,,73315,39840
Bourges,267166.77790385653,5955686.762404906,France,FR,Centre-Val de Loire,,72340,67987
Arras,309502.24816948327,6496964.488588032,France,FR,Hauts-de-France,,64165,47052
Troyes,454767.28184627614,6157031.712233595,France,FR,Grand Est,,61703,60785
Cherbourg,-179837.1939739874,6384157.054898984,France,FR,Normandie,,60991,60991
Agen,69757.35703018773,5496431.325541212,France,FR,Nouvelle-Aquitaine,,58223,34367
Tarbes,9276.587126275866,5347555.368592932,France,FR,Occitanie,,54854,52106
Ajaccio,972333.3393532524,5150084.4776540445,France,FR,Corsica,admin,54364,39446
Saint-Brieuc,-307901.58521136676,6192208.653266953,France,FR,Bretagne,,53223,52774
Nevers,351444.98327159125,5940638.2963170195,France,FR,Bourgogne-Franche-Comté,,45929,43988
Vichy,381099.1597850298,5800927.494539845,France,FR,Auvergne-Rhône-Alpes,,43158,27019
Dieppe,120953.30216550504,6432502.4369665,France,FR,Normandie,,42461,35707
Auxerre,397447.3175639484,6073579.934441803,France,FR,Bourgogne-Franche-Comté,,41516,34552
Bastia,1051969.1879964352,5266840.497632167,France,FR,Corsica,,41001,40116
Châlons-en-Champagne,486158.7103330345,6267047.2130889315,France,FR,Grand Est,minor,,
