city,x,y,country,iso2,admin,capital,population,population_proper
Athens,2641982.5443871957,4577071.592236208,Greece,GR,Attikí,primary,3242000,729137
Thessaloníki,2552652.1039298084,4959916.226026993,Greece,GR,Kentrikí Makedonía,admin,828000,354290
Piraeus,2631469.0863987156,4573972.808489155,Greece,GR,Attikí,minor,466065,175697
Pátra,2419467.2387549197,4614015.336477611,Greece,GR,Dytikí Elláda,admin,163360,155799
Irákleio,2797795.9903725777,4209920.58050317,Greece,GR,Kríti,admin,137154,131654
Lárisa,2495517.0413216883,4813315.432031787,Greece,GR,Thessalía,admin,128758,111487
Áno Vólos,2558322.941429799,4776158.380169487,Greece,GR,Thessalía,,110632,84425
Ioánnina,2321221.6655578623,4817359.644274039,Greece,GR,Ípeiros,admin,86304,64012
Chaniá,2674919.421364637,4233574.943729569,Greece,GR,Kríti,minor,78728,54565
Agrínio,2383325.584957031,4667654.230535154,Greece,GR,Dytikí Elláda,minor,75233,43525
Chalkída,2627432.864301533,4644820.02893995,Greece,GR,Stereá Elláda,minor,71842,54558
Kalámi,2456884.502597809,4447792.212085923,Greece,GR,Peloponnísos,,71823,51108
Kavála,2716960.117618643,5003434.692413484,Greece,GR,Anatolikí Makedonía kai Thráki,minor,59240,52950
Ródos,3141656.999375405,4360721.010629636,Greece,GR,Notío Aigaío,minor,56969,56128
Sérres,2621303.501818965,5024885.911041076,Greece,GR,Kentrikí Makedonía,minor,55886,45935
Kateríni,2505365.1427136967,4905191.235213154,Greece,GR,Kentrikí Makedonía,minor,53293,48408
Alexandroúpoli,2880551.567745242,4990234.30518511,Greece,GR,Anatolikí Makedonía kai Thráki,minor,52979,44444
Xánthi,2770519.264224011,5032256.244290559,Greece,GR,Anatolikí Makedonía kai Thráki,minor,50570,48221
Lamía,2497267.2063559406,4707357.536267922,Greece,GR,Stereá Elláda,admin,47246,47246
Komotiní,2828110.625424892,5029935.725023712,Greece,GR,Anatolikí Makedonía kai Thráki,admin,45631,45631
Kérkyra,2217456.4267293112,4810974.694642697,Greece,GR,Ionía Nísia,admin,38517,27003
Mytilíni,2956058.1311969394,4737440.399301178,Greece,GR,Voreío Aigaío,admin,29328,28322
Trípoli,2491268.3103165813,4510278.728671825,Greece,GR,Peloponnísos,admin,28970,26561
Chíos,2909040.5631485474,4631631.273830682,Greece,GR,Voreío Aigaío,minor,26891,23953
Pýrgos,2386612.6268811747,4533213.022913304,Greece,GR,Dytikí Elláda,minor,22399,22223
Kos,3037638.8426637715,4424148.140804187,Greece,GR,Notío Aigaío,minor,19244,18691
Spárti,2496906.3085667887,4449490.499676765,Greece,GR,Peloponnísos,minor,16187,15497
Ermoúpoli,2775565.9333391245,4502017.982717163,Greece,GR,Notío Aigaío,admin,12260,12260
Siteía,2905775.3398445994,4192252.6379302447,Greece,GR,Kríti,minor,8833,8707
Polýgyros,2609479.5907848664,4920884.93219493,Greece,GR,Kentrikí Makedonía,minor,5258,5258
Megalópoli,2464267.32254671,4495208.381970866,Greece,GR,Peloponnísos,minor,,
Cholargós,2649491.8232776374,4579560.016877796,Greece,GR,Attikí,minor,,
Náousa,2456640.1563155176,4957919.128569239,Greece,GR,Kentrikí Makedonía,minor,,
Ágios Nikólaos,2862607.867704783,4189876.3876851858,Greece,GR,Kríti,minor,,
Agía Kyriakí,2324749.8254990648,4796814.037943278,Greece,GR,Ípeiros,minor,,
Póros,2610993.647179146,4509042.057033273,Greece,GR,Attikí,minor,,
Palaió Fáliro,2638561.585115628,4569569.818711429,Greece,GR,Attikí,minor,,
Palaióchora,2636187.0290575163,4195362.301118187,Greece,GR,Kríti,minor,,
Melíssia,2653434.0917245904,4586655.245354899,Greece,GR,Attikí,minor,,
Agía Marína,2989585.446753548,4460643.219325645,Greece,GR,Notío Aigaío,minor,,
Íos,2814430.573201307,4400604.485000656,Greece,GR,Notío Aigaío,minor,,
Níkiti,2635098.213118067,4899339.961051924,Greece,GR,Kentrikí Makedonía,minor,,
Ílion,2638512.4932201877,4583994.247484388,Greece,GR,Attikí,minor,,
Kastrí,2681288.4547108836,4141417.106512257,Greece,GR,Kríti,minor,,
Kárystos,2718545.641126012,4581804.024202588,Greece,GR,Stereá Elláda,minor,,
Pezá,2804463.693912622,4193554.254176581,Greece,GR,Kríti,minor,,
