city,x,y,country,iso2,admin,capital,population,population_proper
Guatemala,-10076275.401316304,1646989.6823616868,Guatemala,GT,Guatemala,minor,1024000,994938
Quetzaltenango,-10187743.392310295,1670159.773426303,Guatemala,GT,Quetzaltenango,admin,575263,224703
San Luis,-9956446.20336883,1827766.743762856,Guatemala,GT,Petén,minor,132470,6776
Escuintla,-10106139.971667342,1609231.8077435726,Guatemala,GT,Escuintla,admin,107638,103165
Huehuetenango,-10182486.551996564,1726074.720567123,Guatemala,GT,Huehuetenango,admin,85992,79426
Chimaltenango,-10109974.260208225,1650175.085269833,Guatemala,GT,Chimaltenango,admin,82370,82370
Totonicapán,-10170272.354827745,1679022.1759050053,Guatemala,GT,Totonicapán,admin,69734,69734
Cobán,-10060035.112123962,1743522.3956383106,Guatemala,GT,Alta Verapaz,admin,65194,53375
Mazatenango,-10186104.435447345,1635572.3580403351,Guatemala,GT,Suchitepéquez,admin,64652,44132
Puerto Barrios,-9862288.39319319,1773219.269720662,Guatemala,GT,Izabal,admin,56605,53150
Jutiapa,-10007158.353997158,1607700.1383152576,Guatemala,GT,Jutiapa,admin,50681,34332
Jalapa,-10017517.300532417,1647138.789595694,Guatemala,GT,Jalapa,admin,45834,45834
Sololá,-10150482.198393498,1662963.443612828,Guatemala,GT,Sololá,admin,45373,45373
Chiquimula,-9968196.532219512,1666161.5819088097,Guatemala,GT,Chiquimula,admin,41521,41521
Salamá,-10054160.003358368,1701047.7897543944,Guatemala,GT,Baja Verapaz,admin,40000,40000
Antigua Guatemala,-10100512.103490796,1638671.0987694273,Guatemala,GT,Sacatepéquez,admin,39368,39368
Flores,-10007096.57167977,1911708.5213741392,Guatemala,GT,Petén,admin,38035,20464
Retalhuleu,-10205523.564018779,1635795.9184259598,Guatemala,GT,Retalhuleu,admin,36656,36656
Zacapa,-9966495.904358665,1685999.03242235,Guatemala,GT,Zacapa,admin,36088,36088
San Marcos,-10218510.763731666,1685038.8273238172,Guatemala,GT,San Marcos,admin,25088,25088
Santa Cruz del Quiché,-10146647.909852615,1692721.8609293867,Guatemala,GT,Quiché,admin,23618,23618
San José,-10109665.0146628,1564657.7007300016,Guatemala,GT,Escuintla,minor,18655,9841
Cuilapa,-10052026.342678333,1605945.1426451514,Guatemala,GT,Santa Rosa,admin,16484,16484
Lívingston,-9879604.807903029,1785429.8116475204,Guatemala,GT,Izabal,minor,14350,10255
La Libertad,-10031776.102788636,1896218.675504536,Guatemala,GT,Petén,minor,8646,8523
Quezaltepeque,-9957528.451458322,1646978.9825708894,Guatemala,GT,Chiquimula,minor,,
Mixco,-10086257.086097263,1646978.9825708894,Guatemala,GT,Guatemala,minor,,
Huité,-9987213.686109692,1681518.2024311568,Guatemala,GT,Zacapa,minor,,
Huitán,-10201255.686061254,1694871.0317210262,Guatemala,GT,Quetzaltenango,minor,,
Magdalena Milpas Altas,-10093925.774498522,1636850.1517534275,Guatemala,GT,Sacatepéquez,minor,,
Tecpán Guatemala,-10129424.335598098,1662355.8228593727,Guatemala,GT,Chimaltenango,minor,,
Tectitán,-10245103.76556778,1727645.7640974747,Guatemala,GT,Huehuetenango,minor,,
San Jorge,-9972371.013124261,1681518.2024311568,Guatemala,GT,Zacapa,minor,,
Concepción Las Minas,-9957528.451458322,1633559.9430643837,Guatemala,GT,Chiquimula,minor,,
San Sebastián Huehuetenango,-10198568.433553506,1733919.878591336,Guatemala,GT,Huehuetenango,minor,,
Lanquín,-10015043.55880801,1754594.2358064526,Guatemala,GT,Alta Verapaz,minor,,
El Rodeo,-10237682.540394558,1679598.1774272015,Guatemala,GT,San Marcos,minor,,
San José Chacayá,-10154192.922299601,1662323.9341140597,Guatemala,GT,Sololá,minor,,
San Juan Ostuncalco,-10206851.048946487,1674601.0032079702,Guatemala,GT,Quetzaltenango,minor,,
Zunilito,-10187588.769537583,1645061.6072285182,Guatemala,GT,Suchitepéquez,minor,,
Zunil,-10183878.045631481,1664242.626797173,Guatemala,GT,Quetzaltenango,minor,,
San Andrés Villa Seca,-10195009.994710807,1639310.1230880718,Guatemala,GT,Retalhuleu,minor,,
San Andrés Semetabaj,-10144916.223853834,1660405.2734221872,Guatemala,GT,Sololá,minor,,
San Andrés Sajcabajá,-10120797.07506162,1714182.9538798546,Guatemala,GT,Quiché,minor,,
San Andrés Itzapa,-10112726.411979107,1645445.0476467703,Guatemala,GT,Chimaltenango,minor,,
Ixtahuacán,-10215418.642235901,1737266.7885670245,Guatemala,GT,Huehuetenango,minor,,
Patulul,-10148626.947759937,1622063.475499426,Guatemala,GT,Suchitepéquez,minor,,
El Asintal,-10211707.9183298,1643144.2622949244,Guatemala,GT,Retalhuleu,minor,,
Esquipulas Palo Gordo,-10220984.616775565,1681518.2024311568,Guatemala,GT,San Marcos,minor,,
Los Amates,-9918566.629680675,1719951.8461279478,Guatemala,GT,Izabal,minor,,
San Bernardino,-10180167.433044868,1635476.4484777066,Guatemala,GT,Suchitepéquez,minor,,
Usumatlán,-9994634.911282916,1683438.4916111599,Guatemala,GT,Zacapa,minor,,
El Chal,-9977936.987663923,1882057.3698134741,Guatemala,GT,Petén,minor,,
Poptún,-9953848.674370658,1843099.2946916432,Guatemala,GT,Petén,minor,,
Sansare,-10031277.614108864,1660085.491745493,Guatemala,GT,El Progreso,minor,,
Casillas,-10045934.717503143,1622701.9686300324,Guatemala,GT,Santa Rosa,minor,,
San José,-10007622.222315295,1918884.9899186366,Guatemala,GT,Petén,minor,,
San Agustín Acasaguastlán,-10015043.55880801,1683438.4916111599,Guatemala,GT,El Progreso,minor,,
Jocotán,-9950107.114965605,1668080.684512242,Guatemala,GT,Chiquimula,minor,,
Chiquimulilla,-10060684.55003325,1584065.7869441858,Guatemala,GT,Santa Rosa,minor,,
Santa Ana,-10000200.885822577,1897556.2324093368,Guatemala,GT,Petén,minor,,
San Rafael Pie de La Cuesta,-10232116.565854894,1681518.2024311568,Guatemala,GT,San Marcos,minor,,
Ciudad Vieja,-10103326.037579069,1634677.9061685281,Guatemala,GT,Sacatepéquez,minor,,
Coatepeque,-10226550.59131523,1654650.287315491,Guatemala,GT,Quetzaltenango,minor,,
Jerez,-9990924.298696304,1585691.7893914063,Guatemala,GT,Jutiapa,minor,,
Taxisco,-10070301.32952339,1582344.2877502262,Guatemala,GT,Santa Rosa,minor,,
San José La Máquina,-10193199.383193057,1608862.0068878832,Guatemala,GT,Suchitepéquez,minor,,
Pajapita,-10245312.823571492,1657127.071561258,Guatemala,GT,San Marcos,minor,,
Ostuncalco,-10198720.71861691,1673838.7639496697,Guatemala,GT,Quetzaltenango,minor,,
Unión,-10216480.964136543,1795519.5537214936,Guatemala,GT,Huehuetenango,minor,,
Almolonga,-10185733.407584531,1668080.684512242,Guatemala,GT,Quetzaltenango,minor,,
Alotenango,-10108644.66021019,1629375.8941330179,Guatemala,GT,Sacatepéquez,minor,,
Samayac,-10182022.79499792,1641227.0626373072,Guatemala,GT,Suchitepéquez,minor,,
Gualán,-9948251.864332044,1704571.0967686581,Guatemala,GT,Zacapa,minor,,
Guanagazapa,-10090369.67336513,1600074.847268361,Guatemala,GT,Escuintla,minor,,
Parramos,-10108149.956393104,1644039.0128431425,Guatemala,GT,Chimaltenango,minor,,
El Chol,-10072249.420612274,1685070.8604453017,Guatemala,GT,Baja Verapaz,minor,,
Sibilia,-10198720.71861691,1689200.1396078924,Guatemala,GT,Quetzaltenango,minor,,
Sibinal,-10246838.568512304,1706450.4015603454,Guatemala,GT,San Marcos,minor,,
San Francisco La Unión,-10189444.020171145,1679598.1774272015,Guatemala,GT,Quetzaltenango,minor,,
San Francisco El Alto,-10180167.433044868,1683438.4916111599,Guatemala,GT,Totonicapán,minor,,
San José Poaquil,-10119652.933335247,1668432.4649938035,Guatemala,GT,Chimaltenango,minor,,
San José Pinula,-10064549.785392575,1636945.9514961843,Guatemala,GT,Guatemala,minor,,
