city,x,y,country,iso2,admin,capital,population,population_proper
Conakry,-1526437.5706843233,1063448.9805722646,Guinea,GN,Conakry,primary,1494000,1494000
Guéckédou,-1127944.7404628445,956741.0202790695,Guinea,GN,N’Zérékoré,admin,221715,221715
Nzérékoré,-982270.8302963679,865056.8072055083,Guinea,GN,N’Zérékoré,admin,168121,132728
Labé,-1367374.3748042136,1268037.2840126124,Guinea,GN,Labé,admin,140575,58649
Kindia,-1430455.4566935655,1126426.5722852696,Guinea,GN,Kindia,admin,117062,69960
Boké,-1591868.718343812,1224547.4156390107,Guinea,GN,Boké,admin,116270,116270
Kankan,-1035271.2643774443,1162246.6028386767,Guinea,GN,Kankan,admin,114009,106906
Mamou,-1345110.4766455586,1162246.6028386767,Guinea,GN,Mamou,admin,71153,41619
Kissidougou,-1124326.857012063,1026689.2668968296,Guinea,GN,Faranah,admin,66815,47099
Siguiri,-1020428.7027115047,1279391.9449389735,Guinea,GN,Kankan,admin,50159,43601
Macenta,-1054133.6841754194,954896.0807837199,Guinea,GN,N’Zérékoré,admin,43102,41233
Kamsar,-1625264.5655817944,1194326.9765030826,Guinea,GN,Boké,,34973,34973
Télimélé,-1450863.9928991687,1220768.4169744146,Guinea,GN,Kindia,admin,30311,30311
Tougué,-1300582.6803282492,1283177.6816823962,Guinea,GN,Labé,admin,25531,25531
Fria,-1506523.7382958054,1169792.301042874,Guinea,GN,Boké,admin,23729,23729
Pita,-1380361.6858365922,1241558.3555112018,Guinea,GN,Mamou,admin,20052,20052
Faranah,-1194829.1640746393,1122658.023107353,Guinea,GN,Faranah,admin,19469,9350
Kérouané,-1003730.7790925136,1036087.519349431,Guinea,GN,Kankan,admin,15406,7228
Kouroussa,-1100207.596900357,1192439.0430787434,Guinea,GN,Kankan,admin,14223,14223
Koundara,-1480549.2275505385,1400764.8419767097,Guinea,GN,Boké,admin,13990,13990
Beyla,-961058.2334087649,970345.8734768986,Guinea,GN,N’Zérékoré,admin,13204,13204
Dabola,-1237501.709758388,1203767.972065101,Guinea,GN,Faranah,admin,13057,13057
Forécariah,-1456955.729393849,1054577.140428192,Guinea,GN,Kindia,admin,12358,12358
Gaoual,-1469417.278471211,1317269.8952363494,Guinea,GN,Boké,admin,7461,7461
Dalaba,-1363663.7622176013,1198103.0405602609,Guinea,GN,Mamou,admin,6349,6349
Dinguiraye,-1192973.9134410785,1266145.1892046672,Guinea,GN,Faranah,admin,6062,6062
Mali,-1369029.3616738368,1354700.437313463,Guinea,GN,Labé,admin,5479,5479
Yomou,-1031406.0290181203,844059.2199310334,Guinea,GN,N’Zérékoré,admin,3614,1601
Boffa,-1562183.4836924423,1137734.3345394027,Guinea,GN,Boké,admin,2332,2332
Koubia,-1324701.9404399556,1298325.2173095532,Guinea,GN,Labé,admin,,
Coyah,-1489114.5944501362,1085621.8993741947,Guinea,GN,Kindia,admin,,
Mandiana,-966624.2079484285,1190551.2129255487,Guinea,GN,Kankan,admin,,
Lola,-949926.2843294377,870986.5201294142,Guinea,GN,N’Zérékoré,admin,,
Lélouma,-1439732.043819841,1252903.822187484,Guinea,GN,Labé,admin,,
Dubréka,-1505410.5433878724,1095285.3703550145,Guinea,GN,Kindia,admin,,
