city,x,y,country,iso2,admin,capital,population,population_proper
Budapest,2124346.9121984737,6024072.119373783,Hungary,HU,Budapest,primary,1679000,1679000
Miskolc,2313590.046547039,6123507.424977484,Hungary,HU,Miskolc,admin,247757,172637
Debrecen,2408211.6137213213,6029566.265337852,Hungary,HU,Debrecen,admin,231286,204124
Szeged,2244943.1014375137,5820502.805563706,Hungary,HU,Szeged,admin,187765,164883
Pécs,2029671.0211126842,5792434.429618752,Hungary,HU,Pécs,admin,186262,156649
Nyíregyháza,2417488.312167088,6098540.643777697,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,176880,116298
Székesfehérvár,2049347.2977078494,5974043.726029752,Hungary,HU,Fejér,admin,144319,101600
Győr,1963410.4319272947,6054986.326026993,Hungary,HU,Győr,admin,136081,128265
Kecskemét,2202270.555753765,5925766.774835779,Hungary,HU,Bács-Kiskun,admin,113895,109847
Szombathely,1849758.909121393,5980243.468966004,Hungary,HU,Vas,admin,109518,79534
Szolnok,2248653.714024126,5972050.1938787075,Hungary,HU,Jász-Nagykun-Szolnok,admin,109261,75474
Kaposvár,1981486.9361202696,5839303.827435805,Hungary,HU,Somogy,admin,108528,67746
Horváttanya,2051989.2431828459,6032314.730406034,Hungary,HU,Komárom-Esztergom,,70541,70541
Békéscsaba,2348841.2557380726,5890538.268345122,Hungary,HU,Békés,admin,65206,65206
Veszprém,1993949.8210315213,5957478.040116082,Hungary,HU,Veszprém,admin,62023,62023
Zalaegerszeg,1875053.146458422,5915996.992188123,Hungary,HU,Zala,admin,61898,61898
Eger,2269062.2502297293,6090234.492705669,Hungary,HU,Heves,admin,56647,56647
Salgótarján,2204708.897880101,6124068.014140499,Hungary,HU,Nógrád,admin,39640,39640
Vác,2129653.8462830614,6070450.85000041,Hungary,HU,Pest,minor,35293,35108
Szekszárd,2082682.0305453853,5836637.560397068,Hungary,HU,Tolna,admin,34174,34174
Szeghalom,2356262.5922307875,5947516.56462731,Hungary,HU,Békés,minor,,
Nagyatád,1932614.117438317,5816972.584887916,Hungary,HU,Somogy,minor,,
Sarkad,2380381.741023003,5901362.752209635,Hungary,HU,Békés,minor,,
Kemecse,2427460.980069294,6119394.392300793,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Edelény,2308024.072007375,6156910.055358622,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Jánoshalma,2151341.8887158423,5828331.655297443,Hungary,HU,Bács-Kiskun,minor,,
Tolna,2090855.6641568816,5849004.360391377,Hungary,HU,Tolna,minor,,
Pilisvörösvár,2105171.907270351,6043501.804877997,Hungary,HU,Pest,minor,,
Sásd,2015746.2886483353,5821339.45615112,Hungary,HU,Baranya,minor,,
Dombóvár,2018997.3743769526,5840901.231958941,Hungary,HU,Tolna,minor,,
Tokaj,2384092.464929106,6126286.05981555,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Bélapátfalva,2267206.9995961688,6115177.087951665,Hungary,HU,Heves,minor,,
Tiszakécske,2237909.936009195,5931082.052917966,Hungary,HU,Bács-Kiskun,minor,,
Fehérgyarmat,2506543.9048017072,6104082.487723376,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Barcs,1943483.6864778448,5773941.507603398,Hungary,HU,Somogy,minor,,
Békés,2352551.8683246844,5904071.005232352,Hungary,HU,Békés,minor,,
Bicske,2075444.8164904423,6021467.274749232,Hungary,HU,Fejér,minor,,
Csenger,2524832.472624643,6079584.797417044,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Nyíradony,2439987.6510487706,6056669.238824877,Hungary,HU,Hajdú-Bihar,minor,,
Nyírbátor,2463871.359117958,6079172.038303543,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Tiszafüred,2311734.7959134784,6043317.17526741,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
Nagykáta,2197903.046851982,6010101.365159719,Hungary,HU,Pest,minor,,
Szentes,2255422.050383848,5886484.17327657,Hungary,HU,Csongrád,minor,,
Kunszentmárton,2258537.7716116607,5915860.292709184,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
Pápa,1944461.850843445,5996113.030667957,Hungary,HU,Veszprém,minor,,
Enying,2030692.2661212217,5930731.5670305425,Hungary,HU,Fejér,minor,,
Nagykálló,2431814.3513957467,6086105.0047443565,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Baja,2110215.4594397214,5808430.667007011,Hungary,HU,Bács-Kiskun,minor,,
Mátészalka,2485038.203694845,6099418.076072175,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Szigetvár,1982103.2008213012,5788148.847293312,Hungary,HU,Baranya,minor,,
Tét,1948983.8711984495,6027240.473730096,Hungary,HU,Győr-Moson-Sopron,minor,,
Püspökladány,2350696.617691124,5993916.2337604,Hungary,HU,Hajdú-Bihar,minor,,
Érd,2105452.8776651127,6006769.403220373,Hungary,HU,Pest,minor,,
Bóly,2061451.399900274,5775098.077755966,Hungary,HU,Baranya,minor,,
Martonvásár,2091743.3257764673,5993808.682672657,Hungary,HU,Fejér,minor,,
Sátoraljaújhely,2411036.791078164,6172808.571020489,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Csongrád,2242243.3811467956,5895405.333906436,Hungary,HU,Csongrád,minor,,
Kiskunmajsa,2197446.7482592203,5859267.7457516575,Hungary,HU,Bács-Kiskun,minor,,
Kiskunhalas,2169037.4576113224,5850176.934590383,Hungary,HU,Bács-Kiskun,minor,,
Jászberény,2217113.2287391955,6024072.119373783,Hungary,HU,Jász-Nagykun-Szolnok,minor,,
Tapolca,1941542.1632389193,5922756.191928561,Hungary,HU,Veszprém,minor,,
Kazincbarcika,2296892.1229280476,6148547.16096017,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Nagykanizsa,1889277.328353005,5863131.19081349,Hungary,HU,Zala,admin,,
Siklós,2036870.9431382117,5757141.95926047,Hungary,HU,Baranya,minor,,
Heves,2257930.301150402,6040565.208780057,Hungary,HU,Heves,minor,,
Hajdúhadház,2411922.3376274244,6054333.491894965,Hungary,HU,Hajdú-Bihar,minor,,
Kőszeg,1841335.8085310291,6005838.202740382,Hungary,HU,Vas,minor,,
Szentgotthárd,1816239.2746096484,5933347.998426822,Hungary,HU,Vas,minor,,
Dunaújváros,2107575.62903505,5938916.394825249,Hungary,HU,Fejér,admin,,
Szarvas,2287615.535801772,5920337.823829031,Hungary,HU,Békés,minor,,
Letenye,1861911.1013338405,5850013.475484702,Hungary,HU,Zala,minor,,
Kistelek,2224132.4792311653,5856393.7024468025,Hungary,HU,Csongrád,minor,,
Ibrány,2416693.491002824,6127391.128949961,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
