city,x,y,country,iso2,admin,capital,population,population_proper
Mumbai,8108116.191231259,2153500.4394963807,India,IN,Mahārāshtra,admin,18978000,12691836
Delhi,8597370.696603253,3331421.4662959683,India,IN,Delhi,admin,15926000,7633213
Kolkata,9836529.063023627,2579210.769127503,India,IN,West Bengal,admin,14787000,4631392
Chennai,8933206.23823683,1469401.7887257873,India,IN,Tamil Nādu ,admin,7163000,4328063
Bengalūru,8636957.132043742,1457111.8945360438,India,IN,Karnātaka,admin,6787000,5104047
Hyderabad,8733721.488096304,1965577.155361335,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmadābād,8080377.377876408,2635138.1627880563,India,IN,Gujarāt,minor,5375000,3719710
Hāora,9831577.794712124,2580929.2411761372,India,IN,West Bengal,,4841638,1027672
Pune,8220927.919798615,2097714.4224402374,India,IN,Mahārāshtra,,4672000,2935744
Sūrat,8107424.340595978,2415258.211248199,India,IN,Gujarāt,,3842000,2894504
Mardānpur,8935301.15973407,3052444.7012797464,India,IN,Uttar Pradesh,,3162000,2823249
Rāmpura,8436830.291080317,3109071.6616434194,India,IN,Rājasthān,,2917000,2711758
Lucknow,9008321.958956353,3103406.3435090804,India,IN,Uttar Pradesh,admin,2695000,2472011
Nāra,8804178.8220846,2416112.157496007,India,IN,Mahārāshtra,,2454000,2228018
Patna,9473402.991624625,2951521.4438693863,India,IN,Bihār,admin,2158000,1599920
Indore,8444539.611095715,2597919.0848898063,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,8149490.529013375,2547510.5442868248,India,IN,Gujarāt,,1756000,1409476
Bhopal,8616450.523366747,2662848.0388782867,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,8567829.50937297,1232735.8543894256,India,IN,Tamil Nādu ,,1696000,959823
Ludhiāna,8444005.166220417,3621331.3834053674,India,IN,Punjab,,1649000,1545368
Āgra,8683359.325947028,3146971.42882579,India,IN,Uttar Pradesh,,1592000,1430055
Kalyān,8141410.737732619,2183649.1122826408,India,IN,Mahārāshtra,,1576614,1576614
Vishākhapatnam,9272653.429429704,2002937.2344703563,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,8488534.409691105,1112983.4863015758,India,IN,Kerala,,1519000,604696
Nāsik,8212805.493152886,2273026.5438302783,India,IN,Mahārāshtra,,1473000,1289497
Meerut,8650231.98132084,3373103.0198069015,India,IN,Uttar Pradesh,,1398000,1223184
Farīdābād,8606461.82545787,3300920.8732350715,India,IN,Haryāna,,1394000,1394000
Vārānasi,9240164.613402706,2914822.5733049423,India,IN,Uttar Pradesh,,1352000,1164404
Ghāziābād,8620486.52282495,3333121.529283384,India,IN,Uttar Pradesh,,1341000,1199191
Āsansol,9682940.33706175,2714868.0596668953,India,IN,West Bengal,,1328000,1328000
Jamshedpur,9594120.185150158,2608185.091697624,India,IN,Jharkhand,,1300000,616338
Madurai,8696236.542003011,1109548.3312247042,India,IN,Tamil Nādu ,,1294000,909908
Jabalpur,8898424.01806051,2653134.54040032,India,IN,Madhya Pradesh,,1285000,1030168
Rājkot,7880664.868057718,2546572.2134795873,India,IN,Gujarāt,,1260000,1099882
Dhanbād,9622817.904598702,2729297.9815089083,India,IN,Jharkhand,,1246000,219636
Amritsar,8335084.165175776,3713837.946174361,India,IN,Punjab,,1212000,1092450
Warangal,8861054.732918153,2035023.1493319012,India,IN,Andhra Pradesh,,1203853,865527
Allahābād,9110745.241323391,2930475.4955045683,India,IN,Uttar Pradesh,,1201000,1073438
Srīnagar,8327316.0684692385,4040308.803640529,India,IN,Jammu and Kashmīr,admin,1140000,975857
Aurangābād,8387560.618413687,2258932.311579124,India,IN,Mahārāshtra,,1113000,1016441
Bhilai,9064578.822101604,2416839.5727351527,India,IN,Chhattīsgarh,,1097000,1097000
Solāpur,8450311.192734875,1999136.445185642,India,IN,Mahārāshtra,,1057000,961112
Ranchi,9499845.489509188,2674129.824750978,India,IN,Jharkhand,admin,1044000,846454
Jodhpur,8126984.399642755,3032362.829529507,India,IN,Rājasthān,,995000,921476
Guwāhāti,10215002.86393779,3020905.1040017423,India,IN,Assam,,983000,17516
Chandigarh,8548045.364191227,3598548.7879037955,India,IN,Chandīgarh,admin,979000,914371
Gwalior,8702219.630674677,3027573.7107958486,India,IN,Madhya Pradesh,,978000,882458
Thiruvananthapuram,8565949.991090417,948073.4530566062,India,IN,Kerala,admin,954000,784153
Tiruchchirāppalli,8760455.754366232,1211190.339946901,India,IN,Tamil Nādu ,,951000,775484
Hubli,8364392.805989791,1729564.4897516188,India,IN,Karnātaka,,890000,792804
Mysore,8531363.5818984,1379033.6940725106,India,IN,Karnātaka,,887000,868313
Raipur,9087381.061317734,2419722.9016992087,India,IN,Chhattīsgarh,admin,875000,679995
Salem,8700583.568118488,1306034.1617556775,India,IN,Tamil Nādu ,,873000,778396
Bhubaneshwar,9554980.808784697,2305329.825714886,India,IN,Odisha,admin,844000,762243
Kota,8442366.098037977,2898182.751430728,India,IN,Rājasthān,,827000,763088
Jhānsi,8747479.241324462,2932212.822700717,India,IN,Uttar Pradesh,,826494,412927
Bareilly,8841209.250696981,3292796.319671919,India,IN,Uttar Pradesh,,817000,745435
Alīgarh,8691229.168668149,3234035.9297494455,India,IN,Uttar Pradesh,,805000,753207
Bhiwandi,8132869.861120995,2190315.103241621,India,IN,Mahārāshtra,,795000,707035
Jammu,8334391.423984568,3860273.0234298985,India,IN,Jammu and Kashmīr,,791000,465567
Morādābād,8769397.492464203,3355161.489414165,India,IN,Uttar Pradesh,,787000,721139
Mangalore,8331421.419970203,1444355.3811852841,India,IN,Karnātaka,,776632,417387
Kolhāpur,8263431.59381483,1885423.5074515543,India,IN,Mahārāshtra,,750000,561841
Amrāvati,8655259.614803025,2383923.7631153706,India,IN,Mahārāshtra,,734451,603837
Dehra Dūn,8686696.461642029,3545320.4470427358,India,IN,Uttarakhand,admin,714223,578420
Mālegaon Camp,8295018.05404946,2340675.825065997,India,IN,Mahārāshtra,,690844,435362
Nellore,8904108.436538378,1625885.5916938467,India,IN,Andhra Pradesh,,678004,404158
Gopālpur,9281890.386817258,3090450.820616711,India,IN,Uttar Pradesh,,674246,674246
Shimoga,8412698.34054666,1566464.8683212586,India,IN,Karnātaka,,654055,319550
Tiruppūr,8610162.085331835,1243913.694498753,India,IN,Tamil Nādu ,,650000,444543
Raurkela,9447033.18536755,2538556.36436312,India,IN,Odisha,,625831,483629
Nānded,8606663.202416712,2173809.160632992,India,IN,Mahārāshtra,,623708,550564
Belgaum,8294252.064633311,1788821.5055794579,India,IN,Karnātaka,,608756,610189
Sāngli,8301004.927583813,1904159.3920108424,India,IN,Mahārāshtra,,601214,601214
Chānda,8827104.51461602,2267198.4475658964,India,IN,Mahārāshtra,,595118,328351
Ajmer,8308738.403928711,3055184.446244462,India,IN,Rājasthān,,589985,517911
Cuttack,9549890.947707156,2335082.1982910624,India,IN,Odisha,,580000,580000
Bīkaner,8161383.458131765,3251195.8284994587,India,IN,Rājasthān,,576015,395908
Bhāvnagar,8031979.114183708,2484467.3065518495,India,IN,Gujarāt,,554978,464602
Hisar,8429439.56744757,3395253.520677389,India,IN,Haryāna,,544829,301249
Bilāspur,9145500.744821921,2521138.429236949,India,IN,Chhattīsgarh,,543454,330106
Tirunelveli,8647801.097600386,975058.6503575449,India,IN,Tamil Nādu ,,542200,435844
Guntūr,8956464.887365215,1839460.20990707,India,IN,Andhra Pradesh,,530577,530577
Shiliguri,9843816.927446881,3087290.9282467994,India,IN,West Bengal,,515574,515574
Ujjain,8435393.935690612,2654090.2123096064,India,IN,Madhya Pradesh,,513350,457346
Davangere,8451793.189115804,1628106.5230727836,India,IN,Karnātaka,,503564,435125
Akola,8571389.61800803,2357281.2950533694,India,IN,Mahārāshtra,,503502,428857
Sahāranpur,8632294.515171863,3499423.840775184,India,IN,Uttar Pradesh,,484873,484873
Gulbarga,8553519.166192513,1959952.5681748001,India,IN,Karnātaka,,483615,481478
Bhātpāra,9840768.66583049,2615873.6986100557,India,IN,West Bengal,,483129,483129
Dhūlia,8324179.085218684,2380113.431992692,India,IN,Mahārāshtra,,479073,366980
Udaipur,8203189.826857652,2824184.613990494,India,IN,Rājasthān,,469737,422784
Bellary,8563138.28339196,1705576.2346777385,India,IN,Karnātaka,,445388,336681
Tuticorin,8699827.931414982,984053.3374034208,India,IN,Tamil Nādu ,,436094,436094
Kurnool,8686930.121253204,1784912.8269664028,India,IN,Andhra Pradesh,,424920,278124
Gaya,9462585.520106789,2850813.7579487315,India,IN,Bihār,,423692,423692
Sīkar,8364398.594603312,3200492.350274998,India,IN,Rājasthān,,400000,237579
Tumkūr,8582977.97699961,1498758.698402166,India,IN,Karnātaka,,399606,307359
Kollam,8525369.138638673,992625.8732726416,India,IN,Kerala,,394163,394163
Ahmadnagar,8319844.192927703,2166073.288134903,India,IN,Mahārāshtra,,391760,367140
Bhīlwāra,8308977.184236462,2918435.0594877047,India,IN,Rājasthān,,389911,326431
Nizāmābād,8694061.13651393,2116492.2773709935,India,IN,Andhra Pradesh,,388505,305438
Parbhani,8546087.143028682,2186579.3367146915,India,IN,Mahārāshtra,,378326,289629
Shillong,10229905.760767737,2946412.367034842,India,IN,Meghālaya,admin,375527,354325
Lātūr,8525319.935423745,2084361.220392115,India,IN,Mahārāshtra,,374394,348967
Rājapālaiyam,8633507.89762151,1056896.730230442,India,IN,Tamil Nādu ,,369991,307959
Bhāgalpur,9681660.051598135,2905801.2740667094,India,IN,Bihār,,361548,361548
Muzaffarnagar,8649894.460624753,3435720.4619759633,India,IN,Uttar Pradesh,,349706,349706
