city,x,y,country,iso2,admin,capital,population,population_proper
Jakarta Pusat,11891404.041366307,-689493.8445267385,Indonesia,ID,Jakarta,,9125000,8540121
Surabaya,12551365.316077426,-809135.2105826533,Indonesia,ID,Jawa Timur,admin,2845000,2374658
Tanjung,11976369.310631217,-773300.7428177914,Indonesia,ID,Jawa Barat,,2394000,1699719
Bekasijaya,11912700.68446946,-694984.3528749874,Indonesia,ID,Jawa Barat,,2378211,1520119
Merdeka,10982703.038020816,397712.5921218915,Indonesia,ID,Sumatera Utara,,2115000,1750971
Palembang,11660716.660595406,-331479.2282253983,Indonesia,ID,Sumatera Selatan,admin,1749000,1441500
Semarangindah,12288658.776211184,-778266.2528237716,Indonesia,ID,Jawa Tengah,,1396000,1288084
Ujungtanah,13294274.528241301,-570112.3305317409,Indonesia,ID,Sulawesi Selatan,,1262000,1262000
Cilacap,12134875.79773787,-862716.3831865756,Indonesia,ID,Jawa Tengah,minor,1174964,1174964
Bogor,11887715.692677855,-735716.2609352589,Indonesia,ID,Jawa Barat,,918000,800000
Tanjung Gintung,11719196.685291292,-605306.1898124265,Indonesia,ID,Lampung,,881801,881801
Bandar Lampung,11717613.276854247,-605278.569988069,Indonesia,ID,Lampung,admin,865000,726514
Pampangan,11174494.38683313,-108995.65773999822,Indonesia,ID,Sumatera Barat,,855000,840352
Gadang,12537725.004912054,-894846.4578232592,Indonesia,ID,Jawa Timur,minor,805000,746716
Pekanbaru,11292434.715660824,57515.88684892644,Indonesia,ID,Riau,admin,799000,611436
Wanasari,12825619.472001616,-965792.948332643,Indonesia,ID,Bali,,732344,405923
Yogyakarta,12285744.654581197,-871142.5871155318,Indonesia,ID,Yogyakarta,admin,636660,636660
Palu,13343960.090525534,-101119.40284844344,Indonesia,ID,Sulawesi Tengah,admin,612445,335297
Pontianak Barat,12169299.680473328,-2108.502513520197,Indonesia,ID,Kalimantan Barat,minor,607311,550304
Banjarmasin,12755976.774046946,-370190.3527001979,Indonesia,ID,Kalimantan Selatan,admin,603576,572837
Samarinda,13040614.478113864,-54732.79181159896,Indonesia,ID,Kalimantan Timur,admin,592228,355160
Pekan Binjai,10963745.328738721,401951.0473094536,Indonesia,ID,Sumatera Utara,,564979,246010
Surakarta,12337724.734209662,-843591.2860990412,Indonesia,ID,Jawa Tengah,,555308,555308
Lampaseh Aceh,10609882.931405062,619686.3731315435,Indonesia,ID,Aceh,,513698,174433
Bukittinggi,11173198.739279788,-34405.459235786104,Indonesia,ID,Sumatera Barat,,506964,98746
Pasuruan,12568805.406741535,-853607.7668865323,Indonesia,ID,Jawa Timur,,500000,186322
