city,x,y,country,iso2,admin,capital,population,population_proper
Tehran,5724226.327775396,4260105.381380569,Iran,IR,Tehrān,primary,7873000,7153309
Mashhad,6631075.420072052,4344133.550430952,Iran,IR,Khorāsān-e Raẕavī,admin,2469000,2167253
Eşfahān,5752725.0079744,3849893.2730941926,Iran,IR,Eşfahān,admin,1628000,1517766
Karaj,5676352.824162295,4277620.558076286,Iran,IR,Alborz,admin,1423000,1423000
Tabrīz,5153190.73585314,4590733.302147817,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1413000,1196426
Shīrāz,5847739.198992711,3453556.27846992,Iran,IR,Fārs,admin,1240000,1240000
Ahvāz,5418718.334255067,3673384.560073596,Iran,IR,Khūzestān,admin,996000,841145
Qom,5663534.941394903,4115079.0958819143,Iran,IR,Qom,admin,973000,893956
Kermānshāh,5239251.834185421,4071065.3941799263,Iran,IR,Kermānshāh,admin,828313,828313
Zāhedān,6775227.036201931,3438966.8351361835,Iran,IR,Sīstān va Balūchestān,admin,598887,551980
Rasht,5520179.927541141,4477662.879298855,Iran,IR,Gīlān,admin,594590,494885
Kermān,6353981.837896195,3540005.9123316314,Iran,IR,Kermān,admin,577514,535522
Orūmīyeh,5017436.616830744,4516793.696658054,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,577307,577307
Hamadān,5400615.669981754,4136628.7665625666,Iran,IR,Hamadān,admin,528256,330
Arāk,5531372.43442346,4041127.2631650697,Iran,IR,Markazī,admin,503647,423251
Yazd,6052162.415703301,3749826.965810313,Iran,IR,Yazd,admin,477905,425942
Qazvīn,5566520.005168566,4339176.226722146,Iran,IR,Qazvīn,admin,464551,333635
Bandar ‘Abbās,6265149.997438071,3146791.844589884,Iran,IR,Hormozgān,admin,461499,367508
Khomeynī Shahr,5736971.630234791,3853647.1211493495,Iran,IR,Eşfahān,minor,437138,437138
Ārdsālem,5374838.973971629,4617198.746305581,Iran,IR,Ardabīl,,414603,410753
Khorramābād,5382946.7064445745,3960228.7581352103,Iran,IR,Lorestān,admin,375198,329825
Ābādān,5377210.0791255245,3547225.7809955846,Iran,IR,Khūzestān,minor,370180,260078
Zanjān,5398581.417606999,4394099.509767515,Iran,IR,Zanjān,admin,357471,352554
Sanandaj,5231885.934799121,4206764.115789191,Iran,IR,Kordestān,admin,349176,314420
Bīrjand,6592467.037677675,3877567.8931230763,Iran,IR,Khorāsān-e Jonūbī,admin,324703,196982
Dezfūl,5388514.573415581,3813503.420270843,Iran,IR,Khūzestān,minor,315482,315482
Gorgān,6060668.004036343,4417203.817043675,Iran,IR,Golestān,admin,281023,244937
Sārī,5906621.866286795,4378412.624444995,Iran,IR,Māzandarān,admin,271467,255396
Borūjerd,5427003.287357356,4015020.24752139,Iran,IR,Lorestān,minor,251958,251958
Kāshān,5726449.934603992,4028437.3395222705,Iran,IR,Eşfahān,minor,250000,248789
Zābol,6845580.954383279,3636723.773834143,Iran,IR,Sīstān va Balūchestān,minor,233968,121989
Sabzevār,6420579.502499707,4330124.093029363,Iran,IR,Khorāsān-e Raẕavī,minor,226183,205638
Nīshābūr,6545113.507406069,4330009.299236555,Iran,IR,Khorāsān-e Raẕavī,minor,221700,220929
Āmol,5827655.938339205,4365433.153105785,Iran,IR,Māzandarān,minor,221650,199382
Bojnūrd,6381838.538591796,4505486.229042928,Iran,IR,Khorāsān-e Shomālī,admin,208582,192041
Khvoy,5004044.882088314,4657459.092930123,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,202728,175370
Varāmīn,5749173.025662169,4208026.374985735,Iran,IR,Tehrān,minor,179603,164827
Malāyer,5434801.885604369,4069368.9603054672,Iran,IR,Hamadān,minor,176573,176573
Sāveh,5605671.07008056,4166776.105854079,Iran,IR,Markazī,minor,175533,115236
Sīrjān,6198294.739532864,3431390.5442290423,Iran,IR,Kermān,minor,175000,167014
Bandar-e Būshehr,5659315.932693839,3371624.677451155,Iran,IR,Būshehr,admin,169060,165377
Mahābād,5089849.945591768,4404303.170839925,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,162434,144423
Gonbad-e Kāvūs,6141185.503046608,4474016.961857811,Iran,IR,Golestān,minor,159982,131416
Kāshmar,6508358.037935945,4196313.865724808,Iran,IR,Khorāsān-e Raẕavī,minor,157135,96151
Masjed Soleymān,5488485.04212248,3754965.031139856,Iran,IR,Khūzestān,minor,153663,111510
Īlām,5167751.325248901,3980217.0043786126,Iran,IR,Īlām,admin,152894,140940
Marāgheh,5147312.287502821,4493897.123989133,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,151385,151385
Qūchān,6513252.978585107,4453891.718564954,Iran,IR,Khorāsān-e Raẕavī,minor,145531,111752
Shāhrūd,6119931.717947411,4358317.158679781,Iran,IR,Semnān,minor,131889,118719
Shahr-e Kord,5662204.005562979,3806121.1866453732,Iran,IR,Chahār Maḩāl va Bakhtīārī,admin,129153,129153
Semnān,5943575.37313104,4242560.609348449,Iran,IR,Semnān,admin,124826,110950
Fasā,5972090.3059757,3367795.348810755,Iran,IR,Fārs,minor,124458,98061
Torbat-e Jām,6748465.830615228,4197089.406485336,Iran,IR,Khorāsān-e Raẕavī,minor,104578,58928
Ahar,5239797.299690307,4647087.67912802,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,103639,94348
Bam,6496271.524223066,3389144.38989811,Iran,IR,Kermān,minor,99268,99268
Yāsūj,5742745.772222238,3589737.941263799,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,admin,96786,96786
Behbahān,5592880.460588413,3580379.5199937015,Iran,IR,Khūzestān,minor,85707,79327
Chābahār,6750747.880176489,2911640.7730601686,Iran,IR,Sīstān va Balūchestān,minor,65801,47287
Bījār,5299130.5882831225,4283119.1964836465,Iran,IR,Kordestān,minor,53871,43741
Qaşr-e Shīrīn,5073842.202815696,4098246.419878809,Iran,IR,Kermānshāh,minor,11202,11202
Chādegān,5635964.777068606,3864583.0082696364,Iran,IR,Eşfahān,minor,,
Dehdasht,5628822.74117829,3606141.681614508,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Zehak,6866230.719925431,3618990.663447442,Iran,IR,Sīstān va Balūchestān,minor,,
Dārān,5611912.753929338,3893805.102437889,Iran,IR,Eşfahān,minor,,
Bandar-e Māhshahr,5475640.887955262,3575291.1279708142,Iran,IR,Khūzestān,minor,,
Bandar-e Lengeh,6109288.127474194,3068347.1859758194,Iran,IR,Hormozgān,minor,,
Ārān Bīdgol,5731051.548394913,4036527.2336954144,Iran,IR,Eşfahān,minor,,
Bastak,6052080.1505996045,3148365.756895147,Iran,IR,Hormozgān,minor,,
Takāb,5244628.565590736,4355925.738687771,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Gomīshān,6019773.230620562,4449120.20984487,Iran,IR,Golestān,minor,,
Rābor,6335537.3114666585,3412761.7359186397,Iran,IR,Kermān,minor,,
Bandar-e Ganāveh,5623526.716403801,3449560.997731238,Iran,IR,Būshehr,minor,,
Marīvān,5141065.594276955,4234539.251631167,Iran,IR,Kordestān,minor,,
Dīvāndarreh,5234676.603113816,4288780.603046367,Iran,IR,Kordestān,minor,,
Āz̄arshahr,5118280.94354037,4545436.314425997,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Rūdsar,5598034.664331633,4458305.522736081,Iran,IR,Gīlān,minor,,
Tīrān,5694403.836191879,3855895.293250366,Iran,IR,Eşfahān,minor,,
Rāmshīr,5500058.706941276,3618879.749022602,Iran,IR,Khūzestān,minor,,
Sarvābād,5161539.697662637,4206443.798880725,Iran,IR,Kordestān,minor,,
Arakvāz-e Malekshāhī,5187299.0278322,3946225.1879606396,Iran,IR,Īlām,minor,,
Mohr,5886975.423315163,3193009.5492479387,Iran,IR,Fārs,minor,,
Esfarāyen,6401993.488997372,4449768.016264528,Iran,IR,Khorāsān-e Shomālī,minor,,
Chenārān,6581345.441310991,4389803.307016788,Iran,IR,Khorāsān-e Raẕavī,minor,,
Narmāshīr,6534201.63696004,3369558.3556007817,Iran,IR,Kermān,minor,,
Jūybār,5890186.211388113,4389205.342181456,Iran,IR,Māzandarān,minor,,
Khorramshahr,5363849.847798988,3560336.055851076,Iran,IR,Khūzestān,minor,,
Ashkez̄ar,6035102.815058722,3764178.1923631122,Iran,IR,Yazd,minor,,
Sarāb,5291761.237992608,4571066.210558976,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Maḩallāt,5616420.970667484,4016868.8851965456,Iran,IR,Markazī,minor,,
Eshtehārd,5606739.737192175,4262916.035868008,Iran,IR,Alborz,minor,,
‘Alīābād-e Katūl,6107807.244288171,4426584.536695945,Iran,IR,Golestān,minor,,
Nīr,5343179.710790021,4584314.786149255,Iran,IR,Ardabīl,minor,,
Borāzjān,5701651.069000993,3410042.8018550645,Iran,IR,Būshehr,minor,,
Mīnūdasht,6163995.200668622,4471235.04647981,Iran,IR,Golestān,minor,,
Kahnūj,6423090.090975567,3242910.8324689893,Iran,IR,Kermān,minor,,
Nekā,5933222.883126246,4390541.999336166,Iran,IR,Māzandarān,minor,,
Dehgolān,5278592.142231763,4201724.703884776,Iran,IR,Kordestān,minor,,
Oshnavīyeh,5020319.79164229,4444641.900879507,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Ābādeh,5861037.981960329,3653649.739164898,Iran,IR,Fārs,minor,,
