city,x,y,country,iso2,admin,capital,population,population_proper
Baghdad,4942682.9070952805,3940598.2747612614,Iraq,IQ,Baghdād,primary,5054000,5054000
Mosul,4799972.767051686,4346815.304130966,Iraq,IQ,Nīnawá,admin,1316000,1140934
Dihok,4785451.918714139,4420596.864677558,Iraq,IQ,Dahūk,admin,986000,255000
Erbil,4899239.807896262,4327151.575540379,Iraq,IQ,Arbīl,admin,926000,665740
Al Başrah,5320789.576328807,3572249.732634957,Iraq,IQ,Al Başrah,admin,870000,870000
An Najaf,4936601.523313245,3766716.662300386,Iraq,IQ,An Najaf,admin,665552,560000
Kirkuk,4941719.548221956,4227671.412476884,Iraq,IQ,Kirkūk,admin,601433,508672
Al Ḩillah,4944770.592825619,3824329.8612028915,Iraq,IQ,Bābil,admin,594605,364700
Karbalā’,4899892.362751292,3842052.996193396,Iraq,IQ,Karbalā’,admin,510692,434450
An Nāşirīyah,5149334.851331043,3640282.9308124855,Iraq,IQ,Dhī Qār,admin,451547,400249
Ad Dīwānīyah,5001086.121342518,3762376.8403185257,Iraq,IQ,Al Qādisīyah,admin,358408,318801
Al ‘Amārah,5248138.69177443,3741751.4381895214,Iraq,IQ,Maysān,admin,345007,323302
Al Kūt,5100455.464799134,3830812.90509586,Iraq,IQ,Wāsiţ,admin,321521,315162
Ba‘qūbah,4969709.832306507,3994826.4676958043,Iraq,IQ,Diyālá,admin,299479,152550
Ar Ramādī,4820999.905667626,3951260.24353409,Iraq,IQ,Al Anbār,admin,295121,274539
Az Zubayr,5310133.963350584,3554054.9989441335,Iraq,IQ,Al Başrah,minor,262219,122676
Al Fallūjah,4874233.665401406,3941737.0851858538,Iraq,IQ,Al Anbār,minor,231819,190159
As Samāwah,5040533.630058495,3672540.650121817,Iraq,IQ,Al Muthanná,admin,174978,152890
Ash Shaţrah,5139921.897828546,3685988.4895377085,Iraq,IQ,Dhī Qār,minor,161949,82732
Sāmarrā’,4885331.55071655,4055136.5016112565,Iraq,IQ,Şalāḩ ad Dīn,minor,158508,158508
Tall ‘Afar,4725296.980959778,4352915.815017734,Iraq,IQ,Nīnawá,minor,144465,144465
Zaxo,4751773.6539280135,4459855.78276055,Iraq,IQ,Dahūk,minor,134863,95052
Al Musayyib,4930346.035847608,3865969.9720459194,Iraq,IQ,Bābil,minor,76454,42901
Tikrīt,4862280.1784800235,4111792.6474484955,Iraq,IQ,Şalāḩ ad Dīn,admin,56591,42477
Mandalī,5071162.5200333195,3995028.3567367992,Iraq,IQ,Diyālá,,29785,3056
Ar Ruţbah,4484601.64400809,3900240.4253823557,Iraq,IQ,Al Anbār,minor,22370,12029
Qūshtabah,4902317.4578582235,4300886.940317657,Iraq,IQ,Arbīl,minor,,
Zummār,4742394.318911735,4391359.004787997,Iraq,IQ,Nīnawá,minor,,
Al Maymūnah,5228618.596424847,3721247.099791387,Iraq,IQ,Maysān,minor,,
Aş Şuwayrah,4984422.929404655,3885426.9311105954,Iraq,IQ,Wāsiţ,minor,,
Dukan,5005238.449668598,4290886.79368133,Iraq,IQ,As Sulaymānīyah,minor,,
Al Jabāyish,5232233.696888359,3628318.674377754,Iraq,IQ,Dhī Qār,minor,,
Kasnazān,4912821.565009477,4328268.501625665,Iraq,IQ,Arbīl,minor,,
Hīt,4767555.863415739,3980114.852304845,Iraq,IQ,Al Anbār,minor,,
Amêdî,4841027.283936753,4451957.289981576,Iraq,IQ,Dahūk,minor,,
Ar Rumaythah,5032060.880975238,3701570.809770379,Iraq,IQ,Al Muthanná,minor,,
Zawîte,4802683.953249956,4425967.658917219,Iraq,IQ,Dahūk,minor,,
‘Afak,5036921.3125822535,3771754.4893557946,Iraq,IQ,Al Qādisīyah,minor,,
Al Kaḩlā’,5264799.434683495,3719795.0687198048,Iraq,IQ,Maysān,minor,,
Dibis,4905924.209359925,4255968.179246116,Iraq,IQ,Kirkūk,minor,,
Qeładizê,5023553.177571871,4326156.412660125,Iraq,IQ,As Sulaymānīyah,minor,,
Al Ḩayy,5125533.853643515,3786197.684520678,Iraq,IQ,Wāsiţ,minor,,
Al Hāshimīyah,4971540.815291076,3811121.593171078,Iraq,IQ,Bābil,minor,,
Dāqūq,4948047.5046761,4182818.623436617,Iraq,IQ,Kirkūk,minor,,
Al ‘Azīzīyah,5016455.446838892,3883286.0851416513,Iraq,IQ,Wāsiţ,minor,,
Aţ Ţārmīyah,4942121.522903211,3985171.130834879,Iraq,IQ,Baghdād,minor,,
Al Ḩaqlānīyah,4715686.880639086,4040353.9659097106,Iraq,IQ,Al Anbār,minor,,
Balad,4914280.963533776,4030795.655457802,Iraq,IQ,Şalāḩ ad Dīn,minor,,
Al Kūfah,4942187.090083289,3766581.5525763854,Iraq,IQ,An Najaf,minor,,
‘Aqrah,4884659.069672667,4401986.324046738,Iraq,IQ,Nīnawá,minor,,
Shaqlāwah,4934306.338052069,4356385.059173922,Iraq,IQ,Arbīl,minor,,
Choman,4996931.677946114,4388581.052647131,Iraq,IQ,Arbīl,minor,,
Kifrī,5004987.869494823,4121782.143120264,Iraq,IQ,Diyālá,minor,,
‘Aynkāwah,4897436.543464902,4332398.834783652,Iraq,IQ,Arbīl,minor,,
Al Manādhirah,4952213.191341075,3751099.147252372,Iraq,IQ,An Najaf,minor,,
Al Qurnah,5280286.424881636,3634759.029829531,Iraq,IQ,Al Başrah,minor,,
Ash Shaykhān,4825924.457301339,4396810.174755802,Iraq,IQ,Nīnawá,minor,,
Seyid Sadiq,5105871.046706736,4211926.484304887,Iraq,IQ,As Sulaymānīyah,minor,,
‘Alī al Gharbī,5197277.484347927,3824091.189504989,Iraq,IQ,Maysān,minor,,
Al Khāliş,4955995.604999249,4008837.1341483095,Iraq,IQ,Diyālá,minor,,
Ash Sharqāt,4812125.181903115,4234393.594815962,Iraq,IQ,Şalāḩ ad Dīn,minor,,
‘Ayn Tamr,4841079.158819463,3837953.313339614,Iraq,IQ,Karbalā’,minor,,
‘Anah,4673407.960674782,4078400.3987608715,Iraq,IQ,Al Anbār,minor,,
Al Majar al Kabīr,5250806.908649254,3708790.725936959,Iraq,IQ,Maysān,minor,,
Al Madīnah,5262070.103408225,3627976.4667150946,Iraq,IQ,Al Başrah,minor,,
Al Maḩāwīl,4943535.725714249,3850443.725831461,Iraq,IQ,Bābil,minor,,
Al Maḩmūdīyah,4938760.56483718,3903564.6130331955,Iraq,IQ,Baghdād,minor,,
Slêmanî,5057567.8498591725,4240925.023008596,Iraq,IQ,As Sulaymānīyah,admin,,
Al Ba‘āj,4643839.834127727,4306484.23766021,Iraq,IQ,Nīnawá,minor,,
Qeredagh,5052858.590120654,4205692.973201402,Iraq,IQ,As Sulaymānīyah,minor,,
Nāḩiyat Baḩār,5387613.108179137,3526256.7352520903,Iraq,IQ,Al Başrah,minor,,
Nāḩiyat ‘Atbah,5344920.970265009,3565550.6624854845,Iraq,IQ,Al Başrah,minor,,
Al Ḩamzah,5006810.503517581,3727193.7235422884,Iraq,IQ,Al Qādisīyah,minor,,
Tallkayf,4800124.829476109,4368406.986324996,Iraq,IQ,Nīnawá,minor,,
Ar Rifā‘ī,5132694.479888793,3726714.996812119,Iraq,IQ,Dhī Qār,minor,,
Atrūsh,4823974.807739586,4416507.227766706,Iraq,IQ,Nīnawá,minor,,
Mêrgasur,4931558.527741329,4417257.092422455,Iraq,IQ,Arbīl,minor,,
Khānaqīn,5052863.933456212,4075653.292960128,Iraq,IQ,Diyālá,minor,,
Al ‘Awjah,4868372.360252667,4100642.422175022,Iraq,IQ,Şalāḩ ad Dīn,minor,,
Sêmêl,4769839.694088854,4419363.700727474,Iraq,IQ,Dahūk,minor,,
Al Qayyārah,4819518.243245168,4273044.092711771,Iraq,IQ,Nīnawá,minor,,
Khabāt,4861394.520611272,4338939.129019781,Iraq,IQ,Arbīl,minor,,
Sinjār,4661677.55801295,4344867.170093615,Iraq,IQ,Nīnawá,minor,,
Al Ḩawījah,4872751.335062002,4208261.188591952,Iraq,IQ,Kirkūk,minor,,
Baḩirkah,4901990.623833254,4344129.129522327,Iraq,IQ,Arbīl,minor,,
