city,x,y,country,iso2,admin,capital,population,population_proper
Dublin,-695623.1415036885,7044843.461442534,Ireland,IE,Dublin,primary,1059000,968976
Cork,-945751.8034246897,6781813.743023845,Ireland,IE,Cork,admin,188907,136797
Limerick,-959914.2030018824,6921219.772077722,Ireland,IE,Limerick,admin,90054,78078
Galway,-1007317.7157248546,7033459.475169742,Ireland,IE,Galway,admin,75594,70686
Waterford,-791697.9846302773,6846970.834544935,Ireland,IE,Waterford,admin,49275,49275
Drogheda,-706631.4146287445,7117095.979199855,Ireland,IE,Louth,,36533,33441
Tralee,-1081654.422647805,6848486.633216456,Ireland,IE,Kerry,admin,26384,22941
Kilkenny,-807313.6601597761,6919282.628061997,Ireland,IE,Kilkenny,admin,21589,21213
Sligo,-944360.3097897739,7220822.472010632,Ireland,IE,Sligo,admin,20228,14200
Killarney,-1059390.5244891506,6809171.149591517,Ireland,IE,Kerry,,11902,7300
Shannon,-986754.5567465394,6928412.1273183925,Ireland,IE,Clare,,8781,7506
Monaghan,-775525.8229663029,7217646.198160249,Ireland,IE,Monaghan,,5937,5937
Ros Comáin,-910964.4625517918,7101017.5320985485,Ireland,IE,Roscommon,admin,4860,4860
Donegal,-903543.2373785675,7294232.423071694,Ireland,IE,Donegal,,2513,1945
Lifford,-833071.7658149408,7329317.9473087555,Ireland,IE,Donegal,admin,,
Carlow,-771011.1496976907,6953610.431065018,Ireland,IE,Carlow,admin,,
Mullingar,-818198.2573305606,7082265.911742517,Ireland,IE,Westmeath,admin,,
An Cabhán,-819373.3458753744,7168420.365054989,Ireland,IE,Cavan,admin,,
Wicklow,-673421.0256624242,6978374.935183625,Ireland,IE,Wicklow,admin,,
Dún Dealgan,-714300.1030300024,7170156.293999948,Ireland,IE,Louth,admin,,
Clonmel,-857593.0006079016,6864570.296797722,Ireland,IE,Tipperary,admin,,
Naas,-742160.8112272705,7023021.400222613,Ireland,IE,Kildare,admin,,
Ennis,-1000360.2475502751,6954122.416848484,Ireland,IE,Clare,admin,,
Port Laoise,-812632.2827908972,6988960.343761521,Ireland,IE,Laois,admin,,
Swords,-692190.8276440594,7068490.934131044,Ireland,IE,Fingal,admin,,
Tallaght,-705889.2475836257,7036407.480555599,Ireland,IE,South Dublin,admin,,
Wexford,-718845.6117975641,6860774.132840358,Ireland,IE,Wexford,admin,,
Trim,-756044.91207748,7086325.062657682,Ireland,IE,Meath,admin,,
Tullamore,-833659.3100873479,7033821.540276215,Ireland,IE,Offaly,admin,,
Castlebar,-1035271.2643774443,7141799.117110346,Ireland,IE,Mayo,admin,,
Nenagh,-912448.7966420293,6957502.012923618,Ireland,IE,Tipperary,admin,,
Dunleary,-682233.8557900551,7037286.843317336,Ireland,IE,Dún Laoghaire-Rathdown,admin,,
Longford,-868292.0281875338,7119813.650217877,Ireland,IE,Longford,admin,,
Carrick on Shannon,-900574.680517583,7160114.519188282,Ireland,IE,Leitrim,admin,,
