city,x,y,country,iso2,admin,capital,population,population_proper
Rome,1389638.2729628682,5146011.679282784,Italy,IT,Lazio,primary,3339000,35452
Milan,1024139.3152981169,5695290.300058594,Italy,IT,Lombardy,admin,2945000,1306661
Naples,1586302.7438041484,4987789.313969567,Italy,IT,Campania,admin,2250000,988972
Turin,853449.4665215943,5629396.400453145,Italy,IT,Piedmont,admin,1652000,865263
Florence,1252344.2714243277,5429404.08182205,Italy,IT,Tuscany,admin,1500000,371517
Salerno,1645673.1017873974,4965744.96292154,Italy,IT,Campania,minor,954265,139579
Palermo,1487970.5640432537,4595920.082154575,Italy,IT,Sicilia,admin,863000,672175
Catania,1680924.3109784308,4509031.393076654,Italy,IT,Sicilia,minor,674542,291274
Genoa,996309.4425997984,5530150.412425582,Italy,IT,Liguria,admin,647497,601951
Bari,1875733.41986666,5032028.187509152,Italy,IT,Puglia,admin,500577,316532
Bologna,1261620.8585506035,5540546.298605668,Italy,IT,Emilia-Romagna,admin,488172,371217
Verona,1224514.3987260093,5692645.178123244,Italy,IT,Veneto,minor,347459,253208
Pescara,1582592.131217536,5231142.266053386,Italy,IT,Abruzzo,minor,314789,116286
Cagliari,1014862.728171841,4752754.952115453,Italy,IT,Sardegna,admin,291511,164249
Venice,1372198.2936182492,5690838.146165627,Italy,IT,Veneto,admin,270816,270816
Messina,1732873.4437884556,4605357.088043585,Italy,IT,Sicilia,minor,252026,196069
Como,1011152.004265738,5745695.904597267,Italy,IT,Lombardy,minor,250000,84876
Caserta,1595579.3309304244,5022180.009764822,Italy,IT,Campania,minor,250000,79488
Trieste,1533982.5831313098,5724216.590817413,Italy,IT,Friuli-Venezia Giulia,admin,216035,211184
Pisa,1155867.3422969936,5421699.931884443,Italy,IT,Tuscany,minor,203336,89694
Taranto,1918003.8795496628,4935372.572481761,Italy,IT,Puglia,minor,202033,95581
Bergamo,1081654.422647805,5729747.519737468,Italy,IT,Lombardy,minor,200000,121316
Reggio di Calabria,1742150.0309147313,4593562.106521996,Italy,IT,Calabria,minor,180353,177716
Treviso,1363107.1647636348,5727092.334909341,Italy,IT,Veneto,minor,177309,80144
Modena,1215237.8115997335,5569196.791774941,Italy,IT,Emilia-Romagna,minor,175502,174567
Parma,1150301.36775733,5590090.3415273065,Italy,IT,Emilia-Romagna,minor,166011,163457
Lecce,2024159.3704845274,4921804.554332569,Italy,IT,Puglia,minor,162582,83303
Livorno,1148446.1171237694,5396065.69676217,Italy,IT,Tuscany,minor,156274,133759
Foggia,1732873.4437884556,5078944.868733779,Italy,IT,Puglia,minor,155203,138853
Perugia,1376651.07324998,5332288.559632295,Italy,IT,Umbria,admin,149125,134871
Ravenna,1358221.4636322088,5530280.2371562505,Italy,IT,Emilia-Romagna,minor,134631,113974
Ferrara,1289450.731248922,5595321.229543714,Italy,IT,Emilia-Romagna,minor,130992,112516
Siracusa,1703188.2091370858,4448403.385647221,Italy,IT,Sicilia,minor,123657,122563
Sassari,952925.7880088623,4972189.847851161,Italy,IT,Sardegna,minor,120729,84916
Udine,1474117.4100114848,5790281.352357143,Italy,IT,Friuli-Venezia Giulia,minor,119009,95030
Barletta,1812652.3379773076,5059162.77772887,Italy,IT,Puglia,minor,107830,92094
Trento,1239356.960391949,5791039.097562064,Italy,IT,Trentino-Alto Adige,admin,107808,104946
Brindisi,1996329.4977862095,4958407.8766475255,Italy,IT,Puglia,minor,104437,89081
Novara,961058.2334087649,5695290.300058594,Italy,IT,Piedmont,minor,100910,77022
Ancona,1502813.125709193,5408873.8509041015,Italy,IT,Marche,admin,100507,90691
Soprabolzano,1269042.1950433187,5866232.037398939,Italy,IT,Trentino-Alto Adige,,95895,94989
Catanzaro,1846048.18521529,4707357.536267922,Italy,IT,Calabria,admin,95251,85831
Arezzo,1322846.578486904,5375609.396884064,Italy,IT,Tuscany,minor,91589,73637
Marsala,1384072.2984232043,4551210.919691888,Italy,IT,Sicilia,,77784,43179
Asti,912819.8245048431,5605792.247207348,Italy,IT,Piedmont,minor,71276,55545
Potenza,1758847.9545337225,4958407.8766475255,Italy,IT,Basilicata,admin,69060,69060
Ragusa,1640107.1272477338,4427497.598280226,Italy,IT,Sicilia,minor,68956,65766
L’Aquila,1487970.5640432537,5216063.614176546,Italy,IT,Abruzzo,admin,68503,55900
Benevento,1641962.4892007853,5032028.187509152,Italy,IT,Campania,minor,61791,56769
Civitavecchia,1313569.9913606283,5175970.74920631,Italy,IT,Lazio,,61316,50032
Crotone,1907273.9051515905,4733615.348958399,Italy,IT,Calabria,minor,60010,58617
Siena,1263476.220503655,5360296.677587755,Italy,IT,Tuscany,minor,52625,44837
Campobasso,1630830.540121458,5096287.667511863,Italy,IT,Molise,admin,50762,50762
Olbia,1059390.5244891506,5000057.824765922,Italy,IT,Sardegna,minor,45366,43316
Aosta,816342.8953775093,5737718.142542499,Italy,IT,Valle d’Aosta,admin,34062,34062
Vibo Valentia,1792243.8017717046,4674036.332002191,Italy,IT,Calabria,minor,33957,30379
Padova,1322846.578486904,5687357.436705704,Italy,IT,Veneto,minor,,
Savona,946215.6717428254,5509393.824487316,Italy,IT,Liguria,minor,,
Caltanissetta,1565894.2075985454,4506693.021449088,Italy,IT,Sicilia,minor,,
Vicenza,1285740.1186623098,5708527.338604557,Italy,IT,Veneto,minor,,
Gorizia,1513697.722879978,5771539.808070064,Italy,IT,Friuli-Venezia Giulia,minor,,
Rieti,1430455.4566935655,5221087.110313787,Italy,IT,Lazio,minor,,
Grosseto,1239356.960391949,5276523.354327684,Italy,IT,Tuscany,minor,,
Bolzano,1265331.5824567066,5863535.601099283,Italy,IT,Trentino-Alto Adige,minor,,
Massa,1129892.8315517267,5468021.80233577,Italy,IT,Tuscany,minor,,
Sanluri,990681.5744232538,4802367.601979842,Italy,IT,Sardegna,minor,,
Latina,1432310.8186466168,5081420.541805887,Italy,IT,Lazio,minor,,
Vercelli,936939.0846165495,5671512.754706324,Italy,IT,Piedmont,minor,,
Belluno,1360478.800266515,5803616.097192824,Italy,IT,Veneto,minor,,
Cremona,1116905.520519348,5639907.055225185,Italy,IT,Lombardy,minor,,
Oristano,956450.831004322,4851864.625917798,Italy,IT,Sardegna,minor,,
Mantova,1202250.5005673547,5645166.908574268,Italy,IT,Lombardy,minor,,
Prato,1235646.3478053366,5447405.411491384,Italy,IT,Tuscany,minor,,
Enna,1588158.1057572,4518389.963540979,Italy,IT,Sicilia,minor,,
Lucca,1166999.291376321,5439686.203325693,Italy,IT,Tuscany,minor,,
Viterbo,1346965.8385986101,5223599.934494143,Italy,IT,Lazio,minor,,
Villacidro,972994.243170092,4787458.092509038,Italy,IT,Sardegna,minor,,
Trani,1827495.0109627382,5054223.470934183,Italy,IT,Puglia,minor,,
Pavia,1020428.7027115047,5647798.067729447,Italy,IT,Lombardy,minor,,
Piacenza,1076088.4481081415,5624145.745975452,Italy,IT,Emilia-Romagna,minor,,
Monza,1031560.651790832,5713827.616636054,Italy,IT,Lombardy,minor,,
Verbania,949926.2843294377,5769671.735265137,Italy,IT,Piedmont,minor,,
Rimini,1400491.9233152124,5475248.347621978,Italy,IT,Emilia-Romagna,minor,,
Andria,1812652.3379773076,5044352.716337325,Italy,IT,Puglia,minor,,
Fermo,1526932.3858208992,5334831.3175768005,Italy,IT,Marche,minor,,
Nuoro,1040837.2389171079,4912066.7363896845,Italy,IT,Sardegna,minor,,
Alessandria,959202.9827752041,5605792.247207348,Italy,IT,Piedmont,minor,,
Matera,1847903.5471683415,4963298.7542298995,Italy,IT,Basilicata,minor,,
Pistoia,1213382.449646682,5452555.253043513,Italy,IT,Tuscany,minor,,
Reggio Emilia,1179986.6024087,5577026.249122395,Italy,IT,Emilia-Romagna,minor,,
Frosinone,1482404.58950359,5106211.771820394,Italy,IT,Lazio,minor,,
Imperia,896121.9008858523,5447405.411491384,Italy,IT,Liguria,minor,,
Tortolì,1075037.0355175992,4855130.170068363,Italy,IT,Sardegna,minor,,
Iglesias,950111.8539205899,4766374.035041655,Italy,IT,Sardegna,minor,,
Tempio Pausania,1013007.3662187895,4997602.857167657,Italy,IT,Sardegna,minor,,
Trapani,1389638.2729628682,4581780.568611646,Italy,IT,Sicilia,minor,,
Rovigo,1311714.6294075768,5632022.954003648,Italy,IT,Veneto,minor,,
Teramo,1525077.0238678479,5258849.10939568,Italy,IT,Abruzzo,minor,,
Sondrio,1098352.346266796,5807098.068838284,Italy,IT,Lombardy,minor,,
Lanusei,1062173.5117589824,4847915.041039439,Italy,IT,Sardegna,minor,,
Biella,896121.9008858523,5711177.163981381,Italy,IT,Piedmont,minor,,
Cosenza,1808941.7253906955,4764735.556168864,Italy,IT,Calabria,minor,,
Cuneo,838606.7935361639,5524956.758189964,Italy,IT,Piedmont,minor,,
Ascoli Piceno,1510234.4622019085,5289168.115681344,Italy,IT,Marche,minor,,
Avellino,1645673.1017873974,4997602.857167657,Italy,IT,Campania,minor,,
Chieti,1577026.1566778726,5213552.790380159,Italy,IT,Abruzzo,minor,,
Terni,1404480.9459482986,5246245.02434367,Italy,IT,Umbria,minor,,
Varese,983322.1315674195,5748356.801602935,Italy,IT,Lombardy,minor,,
Forlì,1341709.10960437,5500111.962202213,Italy,IT,Emilia-Romagna,minor,,
Lecco,1044547.85150372,5756344.112095583,Italy,IT,Lombardy,minor,,
Carbonia,948689.4134672334,4745653.073618699,Italy,IT,Sardegna,minor,,
Macerata,1497247.1511695294,5357746.958178199,Italy,IT,Marche,minor,,
La Spezia,1094641.622360693,5483514.456868251,Italy,IT,Liguria,minor,,
Pesaro,1437876.7931862806,5449979.971864045,Italy,IT,Marche,minor,,
Pordenone,1409026.4547158603,5774564.294368964,Italy,IT,Friuli-Venezia Giulia,minor,,
Lodi,1057535.162536099,5671512.754706324,Italy,IT,Lombardy,minor,,
Brescia,1141024.7806310542,5708527.338604557,Italy,IT,Lombardy,minor,,
Agrigento,1510234.4622019085,4483338.48093407,Italy,IT,Sicilia,minor,,
