city,x,y,country,iso2,admin,capital,population,population_proper
Tokyo,15557053.46113269,4257363.97588296,Japan,JP,Tōkyō,primary,35676000,8336599
Ōsaka,15085646.364441622,4120930.201011047,Japan,JP,Ōsaka,admin,11294000,2592413
Yokohama,15545766.889280656,4222926.413799784,Japan,JP,Kanagawa,admin,3697894,3697894
Nagoya,15239638.289599152,4188823.3609977867,Japan,JP,Aichi,admin,3230000,2191279
Fukuoka,14517916.961395923,3975217.4292608085,Japan,JP,Fukuoka,admin,2792000,1392289
Sapporo,15735010.023629216,5322124.755553872,Japan,JP,Hokkaidō,admin,2544000,1861786
Sendai,15681205.640185636,4617165.710683346,Japan,JP,Miyagi,admin,2250000,1037562
Hiroshima,14744266.555569082,4082639.5501405983,Japan,JP,Hiroshima,admin,2045000,1143841
Kyōto,15111620.875186887,4166146.353525254,Japan,JP,Kyōto,admin,1805000,1459640
Kōbe,15048539.793297537,4120930.201011047,Japan,JP,Hyōgo,admin,1528478,1528478
Shinkawasaki,15548029.680570006,4238903.834979729,Japan,JP,Kanagawa,,1437266,1306785
Hamamatsu,15332404.49482038,4123186.709668859,Japan,JP,Shizuoka,,977023,797462
Zahana,14211788.361714423,3019738.0513435337,Japan,JP,Okinawa,,905238,317906
Okayama,14909390.429805944,4116418.681205983,Japan,JP,Okayama,admin,866092,639652
Kumamoto,14553168.059267465,3866580.22957788,Japan,JP,Kumamoto,admin,718232,680423
Shizuoka,15404762.16383601,4161616.395948244,Japan,JP,Shizuoka,admin,701561,671332
Utsunomiya,15571741.400025921,4378876.651073695,Japan,JP,Tochigi,admin,667752,449865
Nagano,15382498.265677355,4390432.940495119,Japan,JP,Nagano,admin,594311,360176
Hachiōji,15509464.378818572,4253367.278768189,Japan,JP,Tōkyō,,579399,579399
Niigata,15473409.220265027,4565308.7823645435,Japan,JP,Niigata,admin,569797,505272
Kagoshima,14532759.523061866,3706562.385850745,Japan,JP,Kagoshima,admin,555352,516833
Kanazawa,15208097.80431422,4383497.640944776,Japan,JP,Ishikawa,admin,551249,458937
Ōtsu,15124608.186219266,4163881.144064294,Japan,JP,Shiga,admin,536976,338629
