city,x,y,country,iso2,admin,capital,population,population_proper
Amman,4000080.332065133,3756749.138173069,Jordan,JO,Al ‘Āşimah,primary,1060000,1060000
Az Zarqā’,4017293.3309680247,3772864.5135684004,Jordan,JO,Az Zarqā’,admin,894691,792665
Irbid,3990803.744938858,3836458.957119759,Jordan,JO,Irbid,admin,650000,292040
As Salţ,3977136.160498241,3768453.0033051427,Jordan,JO,Al Balqā’,admin,140689,80189
Al Karak,3974631.4719553925,3656762.1192521416,Jordan,JO,Al Karak,admin,80062,21678
Al Mafraq,4030661.1320199347,3808405.03835152,Jordan,JO,Al Mafraq,admin,57118,57118
Ma‘ān,3977896.472620359,3528799.044481916,Jordan,JO,Ma‘ān,admin,50350,50350
Aţ Ţafīlah,3963466.4609872997,3611665.6919323066,Jordan,JO,Aţ Ţafīlah,admin,25429,25429
Ar Ruwayshid,4252855.0582822915,3829324.5959739005,Jordan,JO,Al Mafraq,minor,,
Ar Ruşayfah,4011142.706462715,3765578.059139351,Jordan,JO,Az Zarqā’,minor,,
Al Jīzah,4002525.687319389,3723855.4626139714,Jordan,JO,Al ‘Āşimah,minor,,
Al Jubayhah,3996148.7502892967,3764716.169348134,Jordan,JO,Al ‘Āşimah,minor,,
Al Quwayrah,3930908.6268760096,3478256.9995777053,Jordan,JO,Al ‘Aqabah,minor,,
Yarqā,3973703.4013606487,3760138.225816665,Jordan,JO,Al Balqā’,minor,,
Al Qaşr,3978996.531828379,3673604.3744607456,Jordan,JO,Al Karak,minor,,
Ar Rīshah,3920306.1132948943,3532420.5355721912,Jordan,JO,Al ‘Aqabah,minor,,
Al Mughayyir,3981990.469533263,3685632.8069492085,Jordan,JO,Al Karak,minor,,
‘Ajlūn,3979982.8225168064,3807136.7780278334,Jordan,JO,‘Ajlūn,admin,,
Al Juwayyidah,3999945.19020331,3748528.3041559174,Jordan,JO,Al ‘Āşimah,minor,,
Bal‘amā,4017309.694933172,3794393.9360798807,Jordan,JO,Al Mafraq,minor,,
Ad Dīsah,3953092.3750012917,3459003.9019808876,Jordan,JO,Al ‘Aqabah,minor,,
Al Murayghah,3954417.410900205,3515800.3859451003,Jordan,JO,Ma‘ān,minor,,
Ma’dabā,3984560.83657568,3726087.759899929,Jordan,JO,Ma’dabā,admin,,
Ash Shūnah al Janūbīyah,3964955.2478571683,3749076.334136637,Jordan,JO,Al Balqā’,minor,,
Aţ Ţayyibah,3976176.586487603,3834916.4571387195,Jordan,JO,Irbid,minor,,
Mārkā,4007113.9427714157,3761517.6734097605,Jordan,JO,Al ‘Āşimah,minor,,
‘Ayn al Bāshā,3988698.2480899934,3770828.84699369,Jordan,JO,Al Balqā’,minor,,
Muthallath Şabḩā,4059577.482948396,3797502.2180665913,Jordan,JO,Al Mafraq,minor,,
Al Ḩasā,4004718.124690563,3609564.0056161988,Jordan,JO,Aţ Ţafīlah,minor,,
Al Hāshimīyah,4021004.2775131096,3780257.1332606976,Jordan,JO,Az Zarqā’,minor,,
Ḩisbān,3986335.4918979057,3736849.6384868333,Jordan,JO,Al ‘Āşimah,minor,,
Juraynah,3984643.54695734,3731848.6183393467,Jordan,JO,Ma’dabā,minor,,
Adhruḩ,3962594.0501379524,3546129.4662782387,Jordan,JO,Ma‘ān,minor,,
Saḩāb,4008034.777599258,3746299.4681627047,Jordan,JO,Al ‘Āşimah,minor,,
Mulayḩ,3986034.9292727644,3708979.6845118003,Jordan,JO,Ma’dabā,minor,,
Al Ḩişn,3994662.189809243,3826837.721148863,Jordan,JO,Irbid,minor,,
Al Maşţabah,3991458.4148642127,3787532.777766297,Jordan,JO,Jarash,minor,,
‘Irjān,3977753.42707469,3815289.147426208,Jordan,JO,‘Ajlūn,minor,,
Samā as Sirḩān,4034622.992697268,3824978.4813661915,Jordan,JO,Al Mafraq,minor,,
Al Muwaqqar,4019786.442283831,3739267.342462503,Jordan,JO,Al ‘Āşimah,minor,,
Irḩāb,4017617.270686234,3805838.090645376,Jordan,JO,Al Mafraq,minor,,
Ḩawshā,4018525.7490505967,3822716.116972977,Jordan,JO,Al Mafraq,minor,,
