city,x,y,country,iso2,admin,capital,population,population_proper
Almaty,8563653.803953825,5351121.14023545,Kazakhstan,KZ,Almaty,admin,1209000,983512
Shymkent,7747836.55921184,5206024.46129235,Kazakhstan,KZ,Ongtüstik Qazaqstan,admin,465392,414032
Qaraghandy,8137454.776988298,6411711.138972005,Kazakhstan,KZ,Qaraghandy,admin,451800,304747
Taraz,7944501.030053121,5296763.192592259,Kazakhstan,KZ,Zhambyl,admin,358153,307294
Astana,7953777.6171793975,6650828.12804902,Kazakhstan,KZ,Astana,primary,345604,325021
Pavlodar,8567890.067175962,6851518.721626914,Kazakhstan,KZ,Pavlodar,admin,329002,303506
Öskemen,9194989.939524397,6440504.9794725925,Kazakhstan,KZ,Shyghys Qazaqstan,admin,319067,249634
Semey,8935247.503739506,6520511.901911779,Kazakhstan,KZ,Shyghys Qazaqstan,,311353,292780
Qyzylorda,7291426.646959418,5597937.886631572,Kazakhstan,KZ,Qyzylorda,admin,300000,126519
Aqtöbe,6365619.511422196,6498393.571947581,Kazakhstan,KZ,Aqtöbe,admin,262457,258529
Qostanay,7083630.227038811,7023176.259408908,Kazakhstan,KZ,Qostanay,admin,236901,210000
Petropavl,7697742.788354869,7336031.585469927,Kazakhstan,KZ,Soltüstik Qazaqstan,admin,228238,200920
Oral,5718111.214187649,6662671.876828446,Kazakhstan,KZ,Batys Qazaqstan,admin,209788,200000
Atyraū,5775626.2102178475,5961137.930789562,Kazakhstan,KZ,Atyraū,admin,182753,158413
Temirtaū,8122386.9046729915,6455795.576493789,Kazakhstan,KZ,Qaraghandy,,170600,163787
Kökshetaū,7725572.661053186,7035579.791403281,Kazakhstan,KZ,Aqmola,admin,128873,124444
Ekibastuz,8384903.42216845,6750322.743160142,Kazakhstan,KZ,Pavlodar,,127868,121470
Rudnyy,7026126.919555147,6977987.280778598,Kazakhstan,KZ,Qostanay,,124000,84471
Zhezqazghan,7543750.863197335,6070884.562532598,Kazakhstan,KZ,Qaraghandy,,104357,104357
Türkistan,7594537.597884498,5357628.874476375,Kazakhstan,KZ,Ongtüstik Qazaqstan,,97360,76127
Taldyqorghan,8725592.716239596,5624145.588500103,Kazakhstan,KZ,Almaty,admin,88380,88380
Balkhash,8348405.212041552,5917308.113834079,Kazakhstan,KZ,Qaraghandy,,81364,79808
Sarqan,8896147.089195823,5686499.839301054,Kazakhstan,KZ,Almaty,,76919,45739
Kentaū,7625900.639901103,5390955.714508823,Kazakhstan,KZ,Ongtüstik Qazaqstan,,57408,54321
Ridder,9296609.94044587,6506087.601312614,Kazakhstan,KZ,Shyghys Qazaqstan,,56756,52664
Arqalyq,7449530.046189909,6489535.864865866,Kazakhstan,KZ,Qostanay,,55521,42000
Zyryanovsk,9381247.707768869,6399051.385979937,Kazakhstan,KZ,Shyghys Qazaqstan,,49658,44929
Zhitiqara,6812634.392610138,6834587.57040318,Kazakhstan,KZ,Qostanay,,46740,43104
Ayagöz,8953913.333316742,6100946.441759286,Kazakhstan,KZ,Shyghys Qazaqstan,,45861,33479
Arys,7659749.557466613,5225633.961140602,Kazakhstan,KZ,Ongtüstik Qazaqstan,,42648,36285
Shū,8210835.694763298,5404261.929622651,Kazakhstan,KZ,Zhambyl,,42439,39785
Qapshaghay,8578923.498505937,5444127.662498811,Kazakhstan,KZ,Almaty,,42167,38472
Qarataū,7844426.366302839,5339209.500223537,Kazakhstan,KZ,Zhambyl,,37881,33605
