city,x,y,country,iso2,admin,capital,population,population_proper
Nairobi,4098412.623145519,-142871.9227589036,Kenya,KE,Nairobi City,primary,3010000,2750547
Mombasa,4415330.419194195,-451739.33768880134,Kenya,KE,Mombasa,admin,882000,799668
Kisumu,3869656.3015814084,-11377.971188674397,Kenya,KE,Kisumu,admin,395615,216479
Nakuru,4014923.005050564,-31540.613833968593,Kenya,KE,Nakuru,admin,364727,259903
Eldoret,3926230.0913169496,57926.56126705854,Kenya,KE,Uasin Gishu,,353381,218446
Kitale,3896874.251038837,113075.91272479414,Kenya,KE,Trans Nzoia,,150495,75123
Machakos,4148506.3940024916,-168854.31880520337,Kenya,KE,Machakos,,144925,31971
Thika,4128097.746477398,-116892.00836515245,Kenya,KE,Kiambu,,99322,87821
Kericho,3927700.844429311,-40937.35589322835,Kenya,KE,Kericho,,98852,35748
Malindi,4466037.783084421,-358356.4052742031,Kenya,KE,Kilifi,,94016,68304
Kendu Bay,3857135.5305349445,-39954.71899006591,Kenya,KE,Homa Bay,,91248,91248
Kilifi,4436072.245955234,-404410.88248785975,Kenya,KE,Kilifi,,80339,46118
Sotik,3909396.803197154,-76070.08498254829,Kenya,KE,Kericho,,71285,2600
Garissa,4412716.63755037,-50489.259702412324,Kenya,KE,Garissa,admin,67861,64035
Kakamega,3868606.6701027197,31639.24411253291,Kenya,KE,Kakamega,admin,63426,63426
Embu,4168982.2785000256,-59124.2980919888,Kenya,KE,Embu,admin,58620,34922
Bungoma,3847263.161493943,62729.98963112549,Kenya,KE,Bungoma,,55962,55962
Nyeri,4112987.35011661,-46769.29942541293,Kenya,KE,Nyeri,admin,51084,51084
Meru,4191832.051138724,5149.194925477188,Kenya,KE,Meru,,47226,47226
Wajir,4459159.90834576,194516.65105606493,Kenya,KE,Wajir,,45771,34709
Naivasha,4056027.3930675075,-79781.08589425811,Kenya,KE,Nakuru,,43983,38366
Voi,4292817.530962678,-378097.1573417178,Kenya,KE,Taita/Taveta,,36487,19624
Nanyuki,4126928.5578655964,1855.3619792180227,Kenya,KE,Laikipia,,36142,32542
Kisii,3870829.052416916,-75024.38765436171,Kenya,KE,Kisii,,28547,28547
Moyale,4347963.314270321,391723.2843341228,Kenya,KE,Marsabit,,24837,16243
Lamu,4552872.329238732,-252677.59980945007,Kenya,KE,Lamu,,24525,10345
Maralal,4085202.0052146087,122101.56166408544,Kenya,KE,Samburu,,20841,20841
Lodwar,3962575.7937414623,347475.3198402401,Kenya,KE,Turkana,,20219,13960
Eldama Ravine,3977531.7899685204,5741.6374716105765,Kenya,KE,Baringo,,17581,12524
Marsabit,4229011.42522979,259267.0057225906,Kenya,KE,Marsabit,,16460,15361
Namanga,4095503.2882536366,-283208.8734447368,Kenya,KE,Kajiado,,13193,2136
Mwingi,4236825.05160806,-104016.08789046899,Kenya,KE,Kitui,,11219,7874
Witu,4501560.945791463,-266003.2006083326,Kenya,KE,Lamu,,5380,2510
Karungu,3802093.6083122105,-94225.24608094663,Kenya,KE,Migori,,2376,2376
Konza,4133227.4599326425,-194015.70371216533,Kenya,KE,Machakos,,2004,2004
Tsavo,4281556.45127403,-333228.6487149235,Kenya,KE,Taita/Taveta,,414,414
