city,x,y,country,iso2,admin,capital,population,population_proper
P’yŏngch’ŏn,13994560.731894827,4720676.952965968,"Korea, North",KP,P’yŏngyang,,3300000,2498797
Namp’o,13960329.988475896,4684140.146887469,"Korea, North",KP,P’yŏngnam,minor,1127000,455000
Hasu-dong,14201645.931588758,4854847.839552312,"Korea, North",KP,Hamnam,,773000,418341
Hŭngnam,14206438.792264862,4841510.654188773,"Korea, North",KP,Hamnam,,751322,346082
Ch’ŏngjin,14446579.64683291,5130403.750675419,"Korea, North",KP,Hambuk,admin,672614,327000
Sunch’ŏn,14018772.721142365,4783694.144510897,"Korea, North",KP,P’yŏngnam,,400629,400629
Kaesŏng,14087976.263705855,4575306.312961701,"Korea, North",KP,Hwangnam,minor,338155,272512
Wŏnsan,14186957.88137604,4743579.397166158,"Korea, North",KP,Kangwŏn,admin,329207,315643
Kanggye,14091403.456868906,5007838.801055216,"Korea, North",KP,Chagang,admin,299514,209530
Sinŭiju,13847928.24959313,4880565.581021291,"Korea, North",KP,P’yŏngbuk,admin,288112,46356
Hyesan,14268684.977973262,5071769.20408344,"Korea, North",KP,Yanggang,admin,227461,227461
Haeju,13994498.838257944,4585156.600733328,"Korea, North",KP,Hwangnam,admin,224231,222396
Kimch’aek-si,14381334.068764571,4963624.860493496,"Korea, North",KP,Hambuk,minor,187270,187270
Manp’o,14058476.598645637,5035189.979217127,"Korea, North",KP,Chagang,,186827,186827
Sa-ri,13999198.969798222,4655558.161421578,"Korea, North",KP,Hwangbuk,,154942,154942
Chŏngju,13938344.389044225,4821477.828526973,"Korea, North",KP,P’yŏngbuk,,141769,29065
Kilju,14396702.392385527,5007057.74036956,"Korea, North",KP,Hambuk,,101165,63652
Musan-ŭp,14383341.604461536,5194906.424611754,"Korea, North",KP,Hambuk,,80146,21739
Tunjŏn,14162529.487038398,4774850.361217299,"Korea, North",KP,Kangwŏn,,73619,73619
Ongjin,13955227.770934876,4570208.320582593,"Korea, North",KP,Hwangnam,,69195,64247
P’yŏnghwa-ri,14073721.246312322,4624178.444936929,"Korea, North",KP,Hwangbuk,,66260,66260
Sŏnbong,14515690.57158006,5212381.290411433,"Korea, North",KP,Nasŏn,,60864,27331
Changyŏn,13925635.376738828,4614920.954441392,"Korea, North",KP,Hwangnam,,48984,39368
Sinhŭng-ni,13966019.63896983,4786096.415710846,"Korea, North",KP,P’yŏngnam,,19463,19463
Ch’osan-ŭp,14004362.969656628,4987666.756817712,"Korea, North",KP,Chagang,,7786,7786
Kŭmbanhyŏng,14261263.641480546,4990977.665177196,"Korea, North",KP,Yanggang,,3839,3839
Taep’yŏng-ni,13962711.001064472,4952297.931898472,"Korea, North",KP,P’yŏngbuk,,1884,1884
Yongsŏng il-tong,14002765.534963747,4739659.324757248,"Korea, North",KP,P’yŏngyang,minor,,
Rajin,14504960.597181985,5198335.028859974,"Korea, North",KP,Nasŏn,admin,,
Pyongyang,13998951.617889678,4724457.141565564,"Korea, North",KP,P’yŏngyang,primary,,
Sariwŏn,13999075.29384395,4651329.157580711,"Korea, North",KP,Hwangbuk,admin,,
Chaeryŏng-ŭp,13983459.72963394,4635969.204598031,"Korea, North",KP,Hwangnam,minor,,
Ŭijin-dong,14081452.162308933,5008681.555965714,"Korea, North",KP,Chagang,minor,,
Hamhŭng,14197285.881092858,4854081.740905549,"Korea, North",KP,Hamnam,admin,,
P’yŏngsŏng,14012000.711239448,4757026.385853423,"Korea, North",KP,P’yŏngnam,admin,,
Hŭngju-dong,14087209.383733783,5011794.455094522,"Korea, North",KP,Chagang,minor,,
