city,x,y,country,iso2,admin,capital,population,population_proper
Seoul,14135159.69779553,4522861.565939911,"Korea, South",KR,Seoul,primary,9796000,9796000
Busan,14364698.03878246,4177857.0502289995,"Korea, South",KR,Busan,admin,3480000,3480000
Incheon,14107704.637822712,4502524.334074365,"Korea, South",KR,Incheon,admin,2550000,2550000
Daegu,14314696.99706132,4282786.474382383,"Korea, South",KR,Daegu,admin,2460000,2460000
Yejŏng,14180247.76511,4346584.947471912,"Korea, South",KR,Daejeon,,1468000,1448330
Gwangju,14128175.067665197,4184927.1751136747,"Korea, South",KR,Gwangju,admin,1440000,1416938
Kumasan,14313831.154061932,4191093.6702733617,"Korea, South",KR,Gyeongnam,,1081499,1081499
Suwŏn,14138564.849699404,4479761.9593502395,"Korea, South",KR,Gyeonggi,,1078000,1078000
Ulsan,14395465.521523323,4237129.256780991,"Korea, South",KR,Ulsan,admin,1061000,962865
Song-mal,14152356.110094292,4497617.499117214,"Korea, South",KR,Gyeonggi,,942000,1031935
Goyang,14119207.614764852,4530998.17782527,"Korea, South",KR,Gyeonggi,minor,903000,903000
Bucheon,14113425.235135088,4508875.504107734,"Korea, South",KR,Gyeonggi,minor,866000,866000
Cheongju,14189651.701733746,4388399.876778089,"Korea, South",KR,Chungbuk,admin,775096,663745
Ansan,14117754.227493057,4484310.492760951,"Korea, South",KR,Gyeonggi,,739493,650728
Jeonju,14154149.578410462,4276148.856355911,"Korea, South",KR,Jeonbuk,admin,711424,648473
Pohang,14400824.998407567,4304635.586443575,"Korea, South",KR,Gyeongbuk,minor,435266,435266
Jeju,14084358.380255073,3963158.127595891,"Korea, South",KR,Jeju,admin,408364,314152
Yŏsu,14219704.402024224,4129168.582472934,"Korea, South",KR,Jeonnam,,341994,262290
Iksan,14132504.060023166,4292903.329183909,"Korea, South",KR,Jeonbuk,,283501,239589
Tŏkho,14069454.036271743,4131915.9218902257,"Korea, South",KR,Jeonnam,,268402,260018
Kunsan,14105447.301188406,4297678.677608513,"Korea, South",KR,Jeonbuk,,244080,243406
Wŏnju,14242803.19636383,4488199.71868318,"Korea, South",KR,Gangwon,,243387,238409
Sinchon,14215912.08093137,4563510.804909358,"Korea, South",KR,Gangwon,,226509,209746
Kangnŭng,14348649.441753266,4544951.393348153,"Korea, South",KR,Gangwon,,180611,166983
Kyŏngju,14383776.97499003,4279009.376562229,"Korea, South",KR,Gyeongbuk,,155237,142468
Andong,14329350.4269124,4378833.407599013,"Korea, South",KR,Gyeongbuk,minor,129319,118522
Seongcheon,14309697.082132341,4611511.516494233,"Korea, South",KR,Gangwon,,85430,85430
Eumseong,14214354.832574664,4430089.210639724,"Korea, South",KR,Chungbuk,,10077,10077
Oepo,14328672.37989398,4155779.528618356,"Korea, South",KR,Gyeongnam,minor,,
Onam,14160483.212158637,4536897.879084686,"Korea, South",KR,Gyeonggi,minor,,
Chuncheon,14219302.42734297,4561743.318153983,"Korea, South",KR,Gangwon,admin,,
Gampo,14415996.28652982,4273874.349860024,"Korea, South",KR,Gyeongbuk,minor,,
Gijang,14384024.326898571,4197112.169224198,"Korea, South",KR,Busan,minor,,
Haean,14264227.745561901,4619955.963784479,"Korea, South",KR,Gangwon,minor,,
Songhae,14078105.564457215,4546084.037493104,"Korea, South",KR,Gyeonggi,minor,,
Sokcho,14314775.032024367,4608710.657310428,"Korea, South",KR,Gangwon,minor,,
Hyeonpung,14298551.774714118,4258813.134243358,"Korea, South",KR,Daegu,minor,,
Cheorwon,14161787.319993282,4609016.379833154,"Korea, South",KR,Gangwon,minor,,
Hongcheon,14236349.89416305,4536085.005751853,"Korea, South",KR,Gangwon,minor,,
Guryongpo,14421860.152026843,4299237.907739646,"Korea, South",KR,Gyeongbuk,minor,,
Yeonsan,14159843.570364539,4330074.146541618,"Korea, South",KR,Chungnam,minor,,
Sinseo,14149618.986454668,4605680.272749984,"Korea, South",KR,Gyeonggi,minor,,
