city,x,y,country,iso2,admin,capital,population,population_proper
Gjakovë,2274349.9260424096,5218114.556704962,Kosovo,XK,Gjakovë,admin,,
Graçanicë,2359509.336499264,5251452.622293393,Kosovo,XK,Graçanicë,admin,,
Kllokot,2379392.222069341,5216775.087639407,Kosovo,XK,Kllokot,admin,,
Ferizaj,2354994.7745501427,5216649.573928834,Kosovo,XK,Ferizaj,admin,,
Podujevë,2358853.5533790006,5298449.830898878,Kosovo,XK,Podujevë,admin,,
Suharekë,2318228.395769922,5214849.923505569,Kosovo,XK,Suharekë,admin,,
Viti,2377598.753753171,5209244.197655923,Kosovo,XK,Viti,admin,,
Hani i Elezit,2370734.126033913,5183475.266894332,Kosovo,XK,Hani i Elezit,admin,,
Novobërdë,2384432.5459734793,5253973.544192498,Kosovo,XK,Novobërdë,admin,,
Mamushë,2307312.851780697,5210666.173450085,Kosovo,XK,Mamushë,admin,,
Rahovec,2299273.1355166254,5221003.29568173,Kosovo,XK,Rahovec,admin,,
Kaçanik,2366590.480628115,5195787.101161767,Kosovo,XK,Kaçanik,admin,,
Istog,2280658.0676271925,5278671.66996821,Kosovo,XK,Istog,admin,,
Fushë Kosovë,2348408.3342383774,5260959.782533103,Kosovo,XK,Fushë Kosovë,admin,,
Zveçan,2319929.134950262,5297902.985179169,Kosovo,XK,Zveçan,admin,,
Prizren,2308735.2922340534,5193073.021385775,Kosovo,XK,Prizren,admin,,
Malishevë,2309415.565642291,5233489.913754157,Kosovo,XK,Malishevë,admin,,
Zubin Potok,2303169.3176943897,5298958.404788686,Kosovo,XK,Zubin Potok,admin,,
Pristina,2356900.898190996,5261357.17605285,Kosovo,XK,Prishtinë,primary,,
Ranillug,2404377.325180438,5234999.477983868,Kosovo,XK,Ranillug,admin,,
Gjilan,2389287.300286465,5231477.587016107,Kosovo,XK,Gjilan,admin,,
Lipjan,2351716.9721437353,5239445.7920745,Kosovo,XK,Lipjan,admin,,
Partesh,2385978.662381107,5221380.165872597,Kosovo,XK,Partesh,admin,,
Gllogovc,2325897.08417118,5255570.361069331,Kosovo,XK,Gllogovc,admin,,
Klinë,2290707.768617027,5254561.861424965,Kosovo,XK,Klinë,admin,,
Skenderaj,2314177.5908194454,5273491.1316515375,Kosovo,XK,Skenderaj ,admin,,
Pejë,2258919.820104063,5260362.739774411,Kosovo,XK,Pejë,admin,,
Mitrovicë,2322866.7449928056,5294230.7658074275,Kosovo,XK,,admin,,
Kamenicë,2402305.558137284,5247966.612072418,Kosovo,XK,Kamenicë,admin,,
Junik,2257250.027742164,5232525.5794837475,Kosovo,XK,Junik,admin,,
Shtërpcë,2340739.6458371193,5196914.751061749,Kosovo,XK,Shtërpcë,admin,,
Deçan,2258796.1441497924,5241879.505167029,Kosovo,XK,Deçan,admin,,
Shtime,2342131.1394720357,5226071.496925776,Kosovo,XK,Shtime,admin,,
Dragash,2299118.512743913,5164949.842462533,Kosovo,XK,Dragash,admin,,
Leposaviq,2315754.654045514,5327798.20444972,Kosovo,XK,Leposaviq,admin,,
Obiliq,2345532.6178327147,5264442.277515973,Kosovo,XK,Obiliq,admin,,
Vushtrri,2334091.423207964,5285077.829915083,Kosovo,XK,Vushtrri,admin,,
