city,x,y,country,iso2,admin,capital,population,population_proper
Bishkek,8304464.95999665,5292669.593011852,Kyrgyzstan,KG,Bishkek,primary,837000,804212
Osh,8104978.8740222305,4941074.4220903125,Kyrgyzstan,KG,Osh,admin,391277,200000
Jalal-Abad,8126322.82790897,5002513.264058614,Kyrgyzstan,KG,Jalal-Abad,admin,248899,75700
Tokmok,8382523.188816309,5287944.213078752,Kyrgyzstan,KG,Chüy,,112860,63047
Kara-Balta,8220736.227635469,5283738.521393299,Kyrgyzstan,KG,Chüy,minor,74133,62796
Karakol,8726737.748521896,5234766.234547898,Kyrgyzstan,KG,Ysyk-Köl,admin,70171,56652
Naryn,8459291.224737676,5075776.0086441925,Kyrgyzstan,KG,Naryn,admin,52300,35707
Balykchy,8481107.952501813,5230161.42247434,Kyrgyzstan,KG,Ysyk-Köl,,40527,40000
Talas,8042025.58690831,5239611.786073501,Kyrgyzstan,KG,Talas,admin,35172,22120
Toktogul,8119665.365762079,5141644.020315798,Kyrgyzstan,KG,Jalal-Abad,minor,26115,19336
Tash-Kömür,8039168.015579646,5063529.26321476,Kyrgyzstan,KG,Jalal-Abad,,23594,16355
Cholpon-Ata,8580757.041838793,5258764.807338962,Kyrgyzstan,KG,Ysyk-Köl,minor,18595,9578
At-Bashy,8439194.605745275,5037474.342479587,Kyrgyzstan,KG,Naryn,minor,15601,15226
Kök-Janggak,8148156.253596728,5016806.032026138,Kyrgyzstan,KG,Jalal-Abad,,15000,14046
Uch-Korgon,8021597.347152837,4899248.831234939,Kyrgyzstan,KG,Batken,minor,,
Ormosh,7932723.20528821,4858085.323742508,Kyrgyzstan,KG,Batken,minor,,
Kara-Dzhygach,8025324.323704596,4883699.66809117,Kyrgyzstan,KG,Batken,minor,,
Kazarman,8240790.767860351,5072192.472465503,Kyrgyzstan,KG,Jalal-Abad,minor,,
Baetov,8344173.1789600635,5051757.281419992,Kyrgyzstan,KG,Naryn,minor,,
Üch-Terek,8148619.342678428,5125422.359746245,Kyrgyzstan,KG,Jalal-Abad,minor,,
Kochkor,8433185.023034802,5193317.564913101,Kyrgyzstan,KG,Naryn,minor,,
Toguz-Bulak,7760476.664752435,4843198.137836881,Kyrgyzstan,KG,Batken,minor,,
Chaek,8295193.382247459,5150153.005762628,Kyrgyzstan,KG,Naryn,minor,,
Ala-Buka,7957816.510944358,5073080.3278612215,Kyrgyzstan,KG,Jalal-Abad,minor,,
Suzak,8115726.882177813,4997338.499348457,Kyrgyzstan,KG,Jalal-Abad,minor,,
Ak-Suu,7722411.521473129,4851242.552546486,Kyrgyzstan,KG,Batken,minor,,
Kara-Döbö,8019984.995648188,4901504.7237209,Kyrgyzstan,KG,Batken,minor,,
Lebedinovka,8313138.529441298,5294413.529804609,Kyrgyzstan,KG,Chüy,minor,,
Boz-Adyr,7911852.136598362,4865738.982718421,Kyrgyzstan,KG,Batken,minor,,
Bazar-Korgon,8098032.092518767,5017888.79540652,Kyrgyzstan,KG,Jalal-Abad,minor,,
Markaz,8003852.686361916,4900907.817212747,Kyrgyzstan,KG,Batken,minor,,
Chüy,8380391.086609147,5284573.650776801,Kyrgyzstan,KG,Chüy,minor,,
Tüp,8723525.624615055,5270601.879101578,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Bökönbaev,8570856.842925094,5178624.420253955,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Kerben,7988093.074730823,5085479.960905208,Kyrgyzstan,KG,Jalal-Abad,minor,,
Khalmion,7974120.6975244135,4896823.920531523,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Suu,8683637.51335452,5212363.819922249,Kyrgyzstan,KG,Ysyk-Köl,minor,,
