city,x,y,country,iso2,admin,capital,population,population_proper
Vientiane,11421379.755389867,2033647.344274805,Laos,LA,Viangchan,primary,754000,570348
Louangphabang,11369619.42043623,2259531.6510262154,Laos,LA,Louangphabang,admin,107142,47378
Pakxé,11777488.468728244,1703059.0855930983,Laos,LA,Champasak,admin,102775,88332
Savannakhét,11661020.896763744,1870251.9035439754,Laos,LA,Savannakhét,admin,84898,66553
Thakhèk,11667416.758107271,1967119.2915383247,Laos,LA,Khammouan,admin,76928,26200
Xam Nua,11582612.790784523,2322367.4063731683,Laos,LA,Houaphan,admin,38992,38992
Xaignabouli,11322341.364779381,2185283.497802565,Laos,LA,Xaignabouli,admin,16200,16200
Champasak,11786270.908634888,1676760.8081269758,Laos,LA,Champasak,,12994,12994
Ban Houaynon,11175120.558968842,2309859.440089741,Laos,LA,Bokèo,,6347,6347
Phôngsali,11366316.348505411,2473594.3747531315,Laos,LA,Phôngsali,admin,6000,6000
Salavan,11846335.343643233,1771917.787905562,Laos,LA,Salavan,,5521,5521
Xiangkhoang,11506724.735437876,2194220.056555494,Laos,LA,Xiangkhouang,,5189,5189
Attapu,11892466.140627965,1667394.4101938428,Laos,LA,Attapu,admin,4297,4297
Louang Namtha,11288005.869719613,2385750.5029663267,Laos,LA,Louangnamtha,admin,3225,3225
Muang Khamkeut,11658623.186251547,2063985.665646907,Laos,LA,Bolikhamxai,minor,,
Ban Houayxay,11177926.589373266,2305817.0929319826,Laos,LA,Bokèo,admin,,
Muang Xai,11352887.210414072,2355223.6229909225,Laos,LA,Oudômxai,admin,,
Muang Hinboun,11644450.433961712,1989730.9586615385,Laos,LA,Khammouan,minor,,
Muang Sanakham,11318240.46605805,2027024.1395335475,Laos,LA,Viangchan,minor,,
Không,11783022.38325456,1587748.9126972088,Laos,LA,Champasak,minor,,
Muang Long,11223313.215562047,2387710.7077589626,Laos,LA,Louangnamtha,minor,,
Borikhan,11546804.093583595,2103536.280383707,Laos,LA,Bolikhamxai,minor,,
Xaisomboun,11476261.043587388,2142964.8626705026,Laos,LA,Xaisômboun,minor,,
Ban Namnga,11435363.264545357,2412391.60865273,Laos,LA,Phôngsali,minor,,
Muang Nalè,11293003.892217249,2336176.0132842087,Laos,LA,Louangnamtha,minor,,
Ban Xiang-Ngeun,11374883.941794826,2244454.3018523273,Laos,LA,Louangphabang,minor,,
Lamam,11877189.655586915,1737311.1308084328,Laos,LA,Xékong,admin,,
Muang Pakxan,11539219.674036866,2082381.829845002,Laos,LA,Bolikhamxai,admin,,
Muang Kènthao,11287590.648018954,2006307.6825079075,Laos,LA,Xaignabouli,minor,,
Muang Kasi,11382773.042787854,2181945.7769189123,Laos,LA,Viangchan,minor,,
Phônthong,11761367.736669015,1700860.8858889958,Laos,LA,Champasak,minor,,
Muang Phônsavan,11490026.811818885,2207988.4374187915,Laos,LA,Xiangkhouang,admin,,
Muang Phôn-Hông,11400698.15247335,2095646.3873531998,Laos,LA,Viangchan,admin,,
Muang Phin,11802538.805060945,1866645.1282066791,Laos,LA,Savannakhét,minor,,
Khoa,11410925.185412018,2401221.654546233,Laos,LA,Phôngsali,minor,,
Ban Pakla,11367003.523722079,2376312.3714019125,Laos,LA,Oudômxai,minor,,
Muang Sing,11259731.386975067,2414795.07732271,Laos,LA,Louangnamtha,minor,,
Muang Mok,11577924.013832306,2144339.4388519623,Laos,LA,Xiangkhouang,minor,,
Pakxong,11825512.031014934,1710130.5494368444,Laos,LA,Champasak,minor,,
Pakkading,11576534.301309245,2075576.094654803,Laos,LA,Bolikhamxai,minor,,
Ban Fangdèng,11903876.277114786,1667681.8140536777,Laos,LA,Attapu,minor,,
Ban Hatgnao,11864667.548706561,1652383.414997803,Laos,LA,Attapu,minor,,
Ban Dônghén,11719950.763521925,1886276.220894596,Laos,LA,Savannakhét,minor,,
Viangxai,11602139.008706097,2321281.7831474952,Laos,LA,Houaphan,minor,,
