city,x,y,country,iso2,admin,capital,population,population_proper
Riga,2682799.7281178934,7749905.9659611825,Latvia,LV,Rīga,primary,742572,705033
Daugavpils,2953677.1186083616,7535225.526082756,Latvia,LV,Daugavpils Novads,admin,111564,108375
Liepāja,2339564.6686117966,7661964.578642906,Latvia,LV,Liepāja,admin,85132,82807
Jelgava,2639694.37225394,7688915.632550976,Latvia,LV,Jelgavas Novads,admin,67207,61791
Ventspils,2401481.7939054137,7840228.027616376,Latvia,LV,Ventspils,admin,42884,42644
Rēzekne,3040877.46060942,7658602.292988298,Latvia,LV,Rēzeknes Novads,admin,38340,38098
Inčukalns,2748076.2530046697,7780186.932712564,Latvia,LV,Inčukalna Novads,admin,,
Ķekava,2698075.2112835273,7725338.108839246,Latvia,LV,Ķekavas Novads,admin,,
Valka,2894306.760625113,7918460.457161921,Latvia,LV,Valkas Novads,admin,,
Loja,2743406.956963346,7791751.420134811,Latvia,LV,Sējas Novads,admin,,
Mārupe,2676863.950229814,7740361.110161059,Latvia,LV,Mārupes Novads,admin,,
Drabeši,2814527.75511677,7807960.2092020465,Latvia,LV,Amatas Novads,admin,,
Iecava,2694179.029105763,7678516.937008946,Latvia,LV,Iecavas Novads,admin,,
Salacgrīva,2711526.390634042,7915736.027811191,Latvia,LV,Salacgrīvas Novads,admin,,
Ķegums,2751353.9440915873,7708007.401695937,Latvia,LV,Ķeguma Novads,admin,,
Sigulda,2767928.1917563067,7791238.327501353,Latvia,LV,Siguldas Novads,admin,,
Jaunpils,2561863.4578344794,7705639.396336283,Latvia,LV,Jaunpils Novads,admin,,
Alsunga,2400494.5013415683,7756053.598549443,Latvia,LV,Alsungas Novads,admin,,
Tērvete,2603391.8617918547,7654177.714547649,Latvia,LV,Tērvetes Novads,admin,,
Talsi,2514437.6812133486,7810670.770801446,Latvia,LV,Talsu Novads,admin,,
Cesvaine,2929557.9698161464,7753308.746554021,Latvia,LV,Cesvaines Novads,admin,,
Cēsis,2810817.1425301577,7821684.88075155,Latvia,LV,Cēsu Novads,admin,,
Kocēni,2820093.7296564337,7866462.423300146,Latvia,LV,Kocēnu Novads,admin,,
Koknese,2831225.678735761,7688915.632550976,Latvia,LV,Kokneses Novads,admin,,
Dundaga,2488036.0375819085,7864040.35413635,Latvia,LV,Dundagas Novads,admin,,
Priekuļi,2823804.4535625367,7825119.986168824,Latvia,LV,Priekuļu Novads,admin,,
Roja,2539064.669522563,7863311.626252412,Latvia,LV,Rojas Novads,admin,,
Rauna,2851634.326260855,7828556.443187716,Latvia,LV,Raunas Novads,admin,,
Aloja,2769907.2296636296,7918518.270134642,Latvia,LV,Alojas Novads,admin,,
Rucava,2354407.2302777357,7591666.138414509,Latvia,LV,Rucavas Novads,admin,,
Lielvārde,2761279.9691271507,7703610.320332086,Latvia,LV,Lielvārdes Novads,admin,,
Murmuiža,2836791.653275424,7859556.175540647,Latvia,LV,Beverīnas Novads,admin,,
Vecvārkava,2950868.9731336106,7598009.2903850265,Latvia,LV,Vārkavas Novads,admin,,
Bauska,2693311.4049945204,7640058.323188703,Latvia,LV,Bauskas Novads,admin,,
Ērgļi,2853489.5768944155,7739706.947352509,Latvia,LV,Ērgļu Novads,admin,,
Varakļāni,2975941.0167670166,7682169.001728067,Latvia,LV,Varakļānu Novads,admin,,
Ulbroka,2705494.76666439,7747109.463145727,Latvia,LV,Stopiņu Novads,admin,,
Mazsalaca,2788553.244371503,7939360.435601916,Latvia,LV,Mazsalacas Novads,admin,,
Lubāna,2974085.766133456,7739706.947352509,Latvia,LV,Lubānas Novads,admin,,
Ikšķile,2727327.5244352026,7726129.404313131,Latvia,LV,Ikšķiles Novads,admin,,
Ragana,2751199.3213188755,7797340.834538657,Latvia,LV,Krimuldas Novads,admin,,
Jaunjelgava,2792244.7100056987,7681464.9898797115,Latvia,LV,Jaunjelgavas Novads,admin,,
Ludza,3085655.0578640695,7666590.111369364,Latvia,LV,Ludzas Novads,admin,,
Viļāni,3000060.2768787225,7668693.386464843,Latvia,LV,Viļānu Novads,admin,,
Grobiņa,2356262.5922307875,7668693.386464843,Latvia,LV,Grobiņas Novads,admin,,
Rūjiena,2818238.479022873,7946339.929620607,Latvia,LV,Rūjienas Novads,admin,,
Alūksne,3010816.1887181504,7846787.30484854,Latvia,LV,Alūksnes Novads,admin,,
Aglona,3007481.6133714383,7585004.402094411,Latvia,LV,Aglonas Novads,admin,,
Burtnieki,2812672.504483209,7904559.1871327795,Latvia,LV,Burtnieku Novads,admin,,
Pāvilosta,2357940.176957042,7737622.318518773,Latvia,LV,Pāvilostas Novads,admin,,
Kārsava,3080567.4231763445,7716782.350489319,Latvia,LV,Kārsavas Novads,admin,,
Jūrmala,2640868.7928818087,7751270.6111845765,Latvia,LV,Jūrmala,admin,,
Dagda,3064934.270486791,7577576.867952196,Latvia,LV,Dagdas Novads,admin,,
Stalbe,2788553.244371503,7835434.44987655,Latvia,LV,Pārgaujas Novads,admin,,
Smārde,2598046.6338024344,7750584.889746691,Latvia,LV,Engures Novads,admin,,
Mērsrags,2574092.460495575,7829191.490257445,Latvia,LV,Mērsraga Novads,admin,,
Līvāni,2914715.296830716,7631757.663658818,Latvia,LV,Līvānu Novads,admin,,
Vecpiebalga,2875753.4750530706,7763526.026263435,Latvia,LV,Vecpiebalgas Novads,admin,,
Jaunpiebalga,2899872.7351647764,7797683.030618795,Latvia,LV,Jaunpiebalgas Novads,admin,,
Saldus,2504688.5428486555,7692291.2858945215,Latvia,LV,Saldus Novads,admin,,
Limbaži,2751168.4858199256,7865138.240586664,Latvia,LV,Limbažu Novads,admin,,
Baltinava,3077317.228003653,7748668.300479524,Latvia,LV,Baltinavas Novads,admin,,
Preiļi,2974989.5690792063,7617162.943951142,Latvia,LV,Preiļu Novads,admin,,
Aizkraukle,2812358.0269217184,7679350.3099913765,Latvia,LV,Aizkraukles Novads,admin,,
Gulbene,2977796.378720068,7797683.030618795,Latvia,LV,Gulbenes Novads,admin,,
Cibla,3103999.1741129113,7668652.995548859,Latvia,LV,Ciblas Novads,admin,,
Rugāji,3020468.8130843258,7760118.6729024565,Latvia,LV,Rugāju Novads,admin,,
Smiltene,2883174.811545785,7849208.818950529,Latvia,LV,Smiltenes Novads,admin,,
Riebiņi,2983362.3532597315,7625061.034313162,Latvia,LV,Riebiņu Novads,admin,,
Aizpute,2404501.0011347095,7702427.009453866,Latvia,LV,Aizputes Novads,admin,,
Tukums,2577633.75613669,7753365.312494964,Latvia,LV,Tukuma Novads,admin,,
Baldone,2715577.0842650277,7707725.4432441285,Latvia,LV,Baldones Novads,admin,,
Viesīte,2844212.98976814,7628408.617374398,Latvia,LV,Viesītes Novads,admin,,
Garkalne,2718367.0846627792,7769292.995497475,Latvia,LV,Garkalnes Novads,admin,,
Lieģi,2374815.7664833395,7675428.122476601,Latvia,LV,Durbes Novads,admin,,
Balvi,3033456.124116705,7787419.750186925,Latvia,LV,Balvu Novads,admin,,
Madona,2918426.020736819,7729521.5726857195,Latvia,LV,Madonas Novads,admin,,
Zilupe,3130502.3411199558,7635645.6553498795,Latvia,LV,Zilupes Novads,admin,,
Kuldīga,2445470.692567793,7753782.320605111,Latvia,LV,Kuldīgas Novads,admin,,
Strenči,2858890.464629233,7889093.919748338,Latvia,LV,Strenču Novads,admin,,
Sala,2868332.249879846,7661964.578642906,Latvia,LV,Salas Novads,admin,,
Olaine,2664772.204500867,7716357.405614738,Latvia,LV,Olaines Novads,admin,,
Aknīste,2866476.8879267946,7591666.138414509,Latvia,LV,Aknīstes Novads,admin,,
Nīca,2345130.6431514597,7628408.617374398,Latvia,LV,Nīcas Novads,admin,,
Jēkabpils,2877608.837006122,7655241.484709905,Latvia,LV,Jēkabpils Novads,admin,,
Auce,2547360.9772129133,7651882.3537375275,Latvia,LV,Auces Novads,admin,,
Viļaka,3080417.475822246,7797881.453900457,Latvia,LV,Viļakas Novads,admin,,
Vaiņode,2434186.235786079,7645168.109659862,Latvia,LV,Vaiņodes Novads,admin,,
Mālpils,2778874.6825639727,7762390.004007921,Latvia,LV,Mālpils Novads,admin,,
Ogre,2738459.4735145303,7722738.948840937,Latvia,LV,Ogres Novads,admin,,
Ilūkste,2927454.254079135,7554008.276435195,Latvia,LV,Ilūkstes Novads,admin,,
Kandava,2535006.8514441666,7768082.657517245,Latvia,LV,Kandavas Novads,admin,,
Ozolnieki,2648043.334063436,7696287.6132391505,Latvia,LV,Ozolnieku Novads,admin,,
Carnikava,2703308.45186521,7786601.953155713,Latvia,LV,Carnikavas Novads,admin,,
Krāslava,3024773.0925153387,7537915.105842705,Latvia,LV,Krāslavas Novads,admin,,
Valmiera,2827515.066149148,7873374.777482226,Latvia,LV,Valmiera,admin,,
Ādaži,2709196.4736917387,7774531.6940396475,Latvia,LV,Ādažu Novads,admin,,
Naukšēni,2833081.0406888123,7942849.269323495,Latvia,LV,Naukšēnu Novads,admin,,
Pilsrundāle,2671667.7790385657,7641813.396249399,Latvia,LV,Rundāles Novads,admin,,
Dobele,2591363.1228946974,7683855.05018503,Latvia,LV,Dobeles Novads,admin,,
Ape,2968519.791593792,7869917.706648301,Latvia,LV,Apes Novads,admin,,
Salaspils,2710567.7071793303,7731783.7898127455,Latvia,LV,Salaspils Novads,admin,,
Ropaži,2742201.0329195824,7754783.682685652,Latvia,LV,Ropažu Novads,admin,,
Brocēni,2508399.1554352674,7699046.871402185,Latvia,LV,Brocēnu Novads,admin,,
Skrīveri,2797829.8314977787,7688915.632550976,Latvia,LV,Skrīveru Novads,admin,,
Skrunda,2450884.1594050704,7695668.2298925035,Latvia,LV,Skrundas Novads,admin,,
Priekule,2402645.6391816577,7645168.109659862,Latvia,LV,Priekules Novads,admin,,
Saulkrasti,2718296.5081056166,7813425.320108099,Latvia,LV,Saulkrastu Novads,admin,,
Līgatne,2788553.244371503,7807960.2092020465,Latvia,LV,Līgatnes Novads,admin,,
Pļaviņas,2862766.2753401822,7682169.001728067,Latvia,LV,Pļaviņu Novads,admin,,
Nereta,2817235.379091335,7599219.591003206,Latvia,LV,Neretas Novads,admin,,
Vecumnieki,2729801.2661596104,7680089.926289656,Latvia,LV,Vecumnieku Novads,admin,,
Piņķi,2662055.7862865296,7748250.960324742,Latvia,LV,Babītes Novads,admin,,
