city,x,y,country,iso2,admin,capital,population,population_proper
Beirut,3952924.1712507037,4011620.167518916,Lebanon,LB,Beyrouth,primary,1846000,1712125
Sidon,3937997.7860081973,3969863.6051224135,Lebanon,LB,Liban-Sud,admin,173894,173894
Nabatîyé el Faouqa,3951007.0269802622,3943704.3483604854,Lebanon,LB,Nabatîyé,,80000,40000
Zahlé,3996833.587796657,4008641.1676044962,Lebanon,LB,Béqaa,admin,78145,44239
Bsaba,3956573.0015199254,4002387.8156095613,Lebanon,LB,Mont-Liban,,9000,9000
Baabda,3956758.571111079,4006519.1263699937,Lebanon,LB,Mont-Liban,admin,,
Aaley,3962973.872240539,4002685.4913926776,Lebanon,LB,Mont-Liban,minor,,
Halba,4016376.2810028694,4101918.795885289,Lebanon,LB,Aakkâr,admin,,
Hâsbaïya,3972436.028957967,3948222.147074056,Lebanon,LB,Nabatîyé,minor,,
Jezzîne,3961242.1862417585,3967423.8883710355,Lebanon,LB,Liban-Sud,minor,,
Jdaidet el Matn,3959232.3128354866,4014115.8209174103,Lebanon,LB,Mont-Liban,minor,,
Joubb Jannîne,3983475.2489014636,3978819.0436609536,Lebanon,LB,Béqaa,minor,,
Nabatîyé,3949963.1841150937,3945677.5442431397,Lebanon,LB,Nabatîyé,admin,,
Beït ed Dîne,3960840.2115605045,3987809.6818624735,Lebanon,LB,Mont-Liban,minor,,
Batroûn,3969436.6365980334,4063131.3478851365,Lebanon,LB,Liban-Nord,minor,,
Amioûn,3986227.289352855,4069156.1828074576,Lebanon,LB,Liban-Nord,minor,,
Baalbek,4031775.551442266,4029585.282415592,Lebanon,LB,Baalbek-Hermel,admin,,
Marjayoûn,3961984.3532868773,3943223.0637340527,Lebanon,LB,Nabatîyé,minor,,
Joünié,3964952.910147862,4026228.65659668,Lebanon,LB,Mont-Liban,minor,,
Bcharré,4008676.7571026627,4062532.703750622,Lebanon,LB,Liban-Nord,minor,,
Jbaïl,3968323.441690101,4045075.890674934,Lebanon,LB,Mont-Liban,minor,,
Tripoli,3990772.7981204167,4087587.531973727,Lebanon,LB,Liban-Nord,admin,,
Sîr ed Danniyé,4010964.929235918,4080653.5186234456,Lebanon,LB,Liban-Nord,minor,,
Zghartā,3995805.1070212177,4082287.9693259243,Lebanon,LB,Liban-Nord,minor,,
El Hermel,4050328.725694818,4081852.623297325,Lebanon,LB,Baalbek-Hermel,minor,,
Bent Jbaïl,3944420.586668496,3911168.9096599747,Lebanon,LB,Nabatîyé,minor,,
Tyre,3917765.802514992,3931640.8010417586,Lebanon,LB,Liban-Sud,minor,,
Râchaïya el Ouadi,3990102.098188387,3961978.494517955,Lebanon,LB,Béqaa,minor,,
