city,x,y,country,iso2,admin,capital,population,population_proper
Tripoli,1467190.8886553457,3881043.813796648,Libya,LY,Ţarābulus,primary,2189000,229398
Benghazi,2240780.643037772,3778765.78495479,Libya,LY,Banghāzī,admin,1180000,582374
Mişrātah,1680094.2015355856,3812682.8876263876,Libya,LY,Mişrātah,admin,386120,216200
Tobruk,2669039.414541446,3774290.8810684364,Libya,LY,Al Buţnān,admin,263527,121052
Al Khums,1587628.4476200053,3848755.5580873247,Libya,LY,Al Marqab,admin,201943,183061
Ḩārat az Zāwiyah,1415427.3254364734,3863895.6770222452,Libya,LY,,,200000,186123
Zuwārah,1344961.197208405,3886175.868534445,Libya,LY,An Nuqāţ al Khams,admin,180310,67386
Al Marj,2318979.1344158323,3827536.8917181697,Libya,LY,Al Marj,admin,169540,85315
Gharyān,1449410.7169468624,3785938.732331694,Libya,LY,Al Jabal al Gharbī,admin,146810,85219
Ajdābiyā,2251576.4072549036,3601030.748324553,Libya,LY,Al Wāḩāt,admin,143833,134358
Surt,1846641.2954622363,3659911.729319677,Libya,LY,Surt,admin,128123,93390
Darnah,2519904.358767225,3864423.2187118074,Libya,LY,Darnah,admin,127974,78782
Sabhā,1606153.7919998586,3128177.9067978575,Libya,LY,Sabhā,admin,100249,100249
Nālūt,1222421.8149380772,3746058.937873071,Libya,LY,Nālūt,admin,66609,66228
Banī Walīd,1557829.333129554,3731405.3177518523,Libya,LY,,,65392,46350
Murzuq,1547031.6764810788,2987250.7291069524,Libya,LY,Murzuq,admin,55071,43732
Birāk,1588683.3111147627,3192301.143170168,Libya,LY,,,45421,39444
Shaḩḩāt,2432336.4398075673,3872812.1217887867,Libya,LY,,,45000,43376
Mizdah,1444941.5733499848,3690694.724930179,Libya,LY,,,26107,6652
Ghāt,1132428.4669130158,2871412.1385873724,Libya,LY,Ghāt,admin,24347,19665
Al Jawf,2591826.211976397,2775626.4739582613,Libya,LY,,,24132,24132
Hūn,1775292.1810331955,3391799.723863468,Libya,LY,Al Jufrah,admin,18878,15826
Ghadāmis,1057615.6465279425,3520742.3148915377,Libya,LY,,,6623,6623
Awjilah,2369651.76662493,3389406.3443246777,Libya,LY,,,6610,6610
Qamīnis,2228121.5018642517,3718798.9823801774,Libya,LY,,,5348,5348
Marādah,2139189.585183904,3405377.7502630632,Libya,LY,,,2500,2229
Al Jaghbūb,2729301.6642849306,3470478.2475097347,Libya,LY,,,1744,1744
Tajarhī,1610885.7609144996,2798559.473946176,Libya,LY,,,1500,1496
Dirj,1164183.2422177235,3524779.310828367,Libya,LY,,,931,931
Tmassah,1757153.1152863947,3048064.708792264,Libya,LY,,,500,200
Umm al Aḩrār,1669792.3618991035,3188172.0933543006,Libya,LY,,,300,298
Zillah,1954376.4099714574,3317791.8944297135,Libya,LY,,,10,10
Idrī,1476838.6149639264,3186080.233365009,Libya,LY,Wādī ash Shāţi’,admin,,
Al Bayḑā’,2421762.5353355864,3863851.594933798,Libya,LY,Al Jabal al Akhḑar,admin,,
Az Zāwīyah,1416834.2924806096,3863107.5194542813,Libya,LY,Az Zāwiyah,admin,,
Al ‘Azīzīyah,1449101.4714014386,3833340.884381314,Libya,LY,Al Jafārah,admin,,
Awbārī,1422717.4162495434,3072596.5840043686,Libya,LY,,admin,,
Al Kufrah,2590362.0267139934,2773730.400255446,Libya,LY,Al Kufrah,admin,,
