city,x,y,country,iso2,admin,capital,population,population_proper
Vilnius,2818238.479022873,7300648.479376879,Lithuania,LT,Vilniaus Miestas,primary,542366,507029
Kaunas,2661605.944224234,7343008.11831368,Lithuania,LT,Kauno Miestas,admin,374643,353046
Klaipėda,2353641.463500569,7500678.840910613,Lithuania,LT,Klaipėdos Miestas,admin,192307,190361
Vijoliai,2591748.844930296,7549440.568150171,Lithuania,LT,,,133528,130587
Paežerys I,2717292.962896115,7510689.893824991,Lithuania,LT,Panevėžys,,127405,117395
Šalčininkai,2826041.864007991,7228826.688465336,Lithuania,LT,Šalčininkai,admin,,
Skuodas,2396939.8473615577,7612468.5288289795,Lithuania,LT,Skuodas,admin,,
Telšiai,2475116.2974804407,7555045.910899025,Lithuania,LT,Telšiai,admin,,
Panevėžys,2711723.6487717275,7505220.700312306,Lithuania,LT,Panevėžio Miestas,admin,,
Ignalina,2912172.203063544,7428257.70212416,Lithuania,LT,Ignalina,admin,,
Palanga,2345614.5489779385,7542568.555481855,Lithuania,LT,Palangos Miestas,admin,,
Širvintos,2777918.0028600954,7370410.10864685,Lithuania,LT,Širvintos,admin,,
Visaginas,2943269.7480946076,7478560.178418321,Lithuania,LT,Visaginas,admin,,
Varėna,2735718.7876511994,7211068.474608167,Lithuania,LT,Varėna,admin,,
Rietavas,2440504.8414029963,7504276.137128314,Lithuania,LT,Rietavo,admin,,
Raseiniai,2574135.986416475,7435915.896581897,Lithuania,LT,Raseiniai,admin,,
Rokiškis,2849184.740865949,7550192.01996964,Lithuania,LT,Rokiškis,admin,,
Šiauliai,2595599.4974363255,7545155.572855046,Lithuania,LT,Šiaulių Miestas,admin,,
Kazlų Rūda,2615453.7738972693,7313432.186487767,Lithuania,LT,Kazlų Rūdos,admin,,
Mažeikiai,2485375.61307144,7620821.562699208,Lithuania,LT,Mažeikiai,admin,,
Kelmė,2553101.0554361776,7485125.734286966,Lithuania,LT,Kelmė,admin,,
Joniškis,2628855.082115908,7606220.58584863,Lithuania,LT,Joniškis,admin,,
Biržai,2755388.941674371,7598050.911311603,Lithuania,LT,Biržai,admin,,
Birštonas,2675134.379301359,7285544.984266778,Lithuania,LT,Birštono,admin,,
Marijampolė,2599768.7463250062,7276918.4389566,Lithuania,LT,Marijampolė,admin,,
Kupiškis,2780797.7267674264,7526659.432507289,Lithuania,LT,Kupiškis,admin,,
Radviliškis,2620588.051451637,7520911.263249131,Lithuania,LT,Radviliškis,admin,,
Kretinga,2364924.918406866,7536311.448246742,Lithuania,LT,Kretinga,admin,,
Jurbarkas,2534095.25613406,7376544.794121658,Lithuania,LT,Jurbarkas,admin,,
Tauragė,2481280.5029636277,7410971.942075044,Lithuania,LT,Tauragė,admin,,
Kalvarija,2585762.0827154336,7249567.142907114,Lithuania,LT,Kalvarijos,admin,,
Pagėgiai,2439431.053594804,7388682.63601706,Lithuania,LT,Pagégiai,admin,,
Prienai,2665639.717292619,7291539.606310685,Lithuania,LT,Prienai,admin,,
Švenčionys,2912065.6703108544,7387713.62164934,Lithuania,LT,Švenčionys,admin,,
Zarasai,2922264.7620573347,7505297.211432793,Lithuania,LT,Zarasai,admin,,
Pasvalys,2716157.058812061,7570869.108146961,Lithuania,LT,Pasvalys,admin,,
Lazdijai,2617640.088696449,7214457.875520919,Lithuania,LT,Lazdijai,admin,,
Plungė,2431835.947376961,7540071.775446948,Lithuania,LT,Plungė,admin,,
Kėdainiai,2668634.100275467,7417927.876832143,Lithuania,LT,Kėdainiai,admin,,
Šilutė,2390399.9385969434,7429178.345620421,Lithuania,LT,Šilutė,admin,,
Druskininkai,2670223.7426039954,7173135.551821191,Lithuania,LT,Druskininkai,admin,,
Nida,2337321.135594349,7421990.913251037,Lithuania,LT,Neringa,admin,,
Jonava,2702329.174304702,7377435.018859863,Lithuania,LT,Jonava,admin,,
Anykščiai,2794854.929425819,7464344.990168014,Lithuania,LT,Anykščiai,admin,,
Šilalė,2469837.193268551,7457512.725295569,Lithuania,LT,Šilalė,admin,,
Kaišiadorys,2723782.4439314,7335763.872908882,Lithuania,LT,Kaišiadorys,admin,,
Elektrėnai,2745428.1849576794,7320509.962793679,Lithuania,LT,Elektrénai,admin,,
Molėtai,2829394.4731122116,7405597.326348882,Lithuania,LT,Molėtai,admin,,
Pakruojis,2655535.3584328047,7554214.598356586,Lithuania,LT,Pakruojis,admin,,
Utena,2849688.127603316,7459053.522223086,Lithuania,LT,Utena,admin,,
Alytus,2676278.18706926,7245581.247216329,Lithuania,LT,Alytaus Miestas,admin,,
Šakiai,2565668.135390812,7352824.536801613,Lithuania,LT,Šakiai,admin,,
Akmenė,2532518.4155469737,7608345.413537652,Lithuania,LT,Akmenė,admin,,
Trakai,2775862.0431846343,7292296.686979112,Lithuania,LT,Trakai,admin,,
Vilkaviškis,2563739.4138933276,7293851.278728804,Lithuania,LT,Vilkaviškis,admin,,
Ukmergė,2756676.351585395,7410420.017388918,Lithuania,LT,Ukmergė,admin,,
