city,x,y,country,iso2,admin,capital,population,population_proper
Luxembourg,682388.478562767,6379293.052914929,Luxembourg,LU,Luxembourg,primary,107260,76684
Diekirch,685264.1949684296,6423408.729936523,Luxembourg,LU,Diekirch,admin,6242,6242
Grevenmacher,717113.9257987839,6390132.832827442,Luxembourg,LU,Grevenmacher,admin,3958,3958
Dippach,666061.5828065899,6375285.261977748,Luxembourg,LU,Capellen,minor,,
Differdange,655826.4235450932,6364274.140444955,Luxembourg,LU,Esch-sur-Alzette,minor,,
Pétange,654620.4995013297,6370135.350848096,Luxembourg,LU,Esch-sur-Alzette,minor,,
Vichten,667916.9447596414,6412238.211631855,Luxembourg,LU,Redange,minor,,
Gœsdorf,664391.7904446909,6432720.980755374,Luxembourg,LU,Wiltz,minor,,
Useldange,665937.9068523187,6406490.845925588,Luxembourg,LU,Redange,minor,,
Vianden,691170.3618719575,6435026.586423133,Luxembourg,LU,Vianden,admin,,
Wormeldange,713094.0676667481,6378720.2957527,Luxembourg,LU,Grevenmacher,minor,,
Waldbillig,699828.5692268767,6409795.089325126,Luxembourg,LU,Echternach,minor,,
Mondorf-les-Bains,699210.0781360294,6360987.816238627,Luxembourg,LU,Remich,minor,,
Mondercange,666618.1802605563,6365798.662652656,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sanem,660000.904449841,6368371.890524004,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sandweiler,692283.5567798902,6379579.274382856,Luxembourg,LU,Luxembourg,minor,,
Boulaide,647477.4617355977,6426863.602507289,Luxembourg,LU,Wiltz,minor,,
Lintgen,682790.4532440215,6397207.791917297,Luxembourg,LU,Mersch,minor,,
Leudelange,675183.6584796447,6371851.636215632,Luxembourg,LU,Esch-sur-Alzette,minor,,
Lenningen,708888.7512630506,6377050.349869947,Luxembourg,LU,Remich,minor,,
Bascharage,657929.1374066874,6371708.656222553,Luxembourg,LU,Capellen,minor,,
Colmar-Berg,678294.7042888444,6413729.579771908,Luxembourg,LU,Mersch,minor,,
Capellen,666896.4789875395,6385021.577126644,Luxembourg,LU,Capellen,admin,,
Manternach,715382.3511194945,6394960.45530431,Luxembourg,LU,Grevenmacher,minor,,
Remich,708764.9639892884,6367847.574156101,Luxembourg,LU,Remich,admin,,
Reisdorf,697725.8553652826,6423552.596824252,Luxembourg,LU,Diekirch,minor,,
Redange-sur-Attert,655764.529908212,6405772.832439618,Luxembourg,LU,Redange,admin,,
Kopstal,676049.5014790349,6388364.984667161,Luxembourg,LU,Capellen,minor,,
Walferdange,683192.427925276,6387314.050582002,Luxembourg,LU,Luxembourg,minor,,
Waldbredimus,699921.2983627076,6369563.39102701,Luxembourg,LU,Remich,minor,,
Flaxweiler,706167.546310609,6387887.396065946,Luxembourg,LU,Grevenmacher,minor,,
Fischbach,688758.4024649397,6401321.69862333,Luxembourg,LU,Mersch,minor,,
Bissen,675647.4154782895,6409555.592472219,Luxembourg,LU,Mersch,minor,,
Biwer,709630.8069886785,6394960.45530431,Luxembourg,LU,Grevenmacher,minor,,
Wilwerwiltz,667824.2156238107,6444351.8338532075,Luxembourg,LU,Wiltz,minor,,
Schuttrange,697818.5845011135,6380820.310521655,Luxembourg,LU,Luxembourg,minor,,
Winseler,655702.7475908219,6440697.427107798,Luxembourg,LU,Wiltz,minor,,
Wincrange,658918.6563603487,6455517.3053040765,Luxembourg,LU,Clervaux,minor,,
Frisange,689253.2176015158,6362702.229674661,Luxembourg,LU,Esch-sur-Alzette,minor,,
Rumelange,671596.7218473039,6353419.954865502,Luxembourg,LU,Esch-sur-Alzette,minor,,
