city,x,y,country,iso2,admin,capital,population,population_proper
Skopje,2385733.314223399,5160448.734606452,Macedonia,MK,,primary,494087,474889
Tetovo,2334542.0445066947,5162437.661583955,Macedonia,MK,Tetovo,admin,119132,72944
Bitola,2374971.947728922,5016978.540012864,Macedonia,MK,Bitola,admin,86528,64574
Vinica,2505709.008620757,5143436.298270847,Macedonia,MK,Vinica,admin,,
Češinovo,2481267.923861168,5141747.768314239,Macedonia,MK,Češinovo-Obleševo,admin,,
Demir Kapija,2476448.4578267634,5072431.422497968,Macedonia,MK,Demir Kapija,admin,,
Radoviš,2500761.4138524504,5106956.500642491,Macedonia,MK,Radoviš,admin,,
Sopište,2385298.388972869,5154199.430385615,Macedonia,MK,Sopište,admin,,
Gradsko,2442658.873549846,5097899.603627826,Macedonia,MK,Gradsko,admin,,
Vasilevo,2520608.3432270014,5082522.002692203,Macedonia,MK,Vasilevo,admin,,
Kruševo,2365348.1551108626,5066981.568925269,Macedonia,MK,Kruševo,admin,,
Resen,2338925.3607761706,5025528.385448056,Macedonia,MK,Resen,admin,,
Zelenikovo,2403218.2666422985,5143639.049577159,Macedonia,MK,Zelenikovo,admin,,
Gevgelija,2504845.6146501647,5033258.693574007,Macedonia,MK,Gevgelija,admin,,
Makedonska Kamenica,2514440.4642006187,5164094.643670041,Macedonia,MK,Makedonska Kamenica,admin,,
Veles,2424043.805660413,5118465.885951037,Macedonia,MK,Veles,admin,,
Sveti Nikole,2442475.0850705463,5141030.076469294,Macedonia,MK,Sveti Nikole,admin,,
Novo Selo,2547172.4019955094,5073727.19876406,Macedonia,MK,Novo Selo,admin,,
Pehčevo,2548015.6471382687,5125433.1049383115,Macedonia,MK,Pehčevo,admin,,
Plasnica,2351407.837917802,5081502.991017468,Macedonia,MK,Plasnica,admin,,
Bogovinje,2328092.527168605,5149543.601660612,Macedonia,MK,Bogovinje,admin,,
Vevčani,2292439.343296317,5047888.63079113,Macedonia,MK,Vevčani,admin,,
Karbinci,2475221.1604407676,5133693.009057783,Macedonia,MK,Karbinci,admin,,
Konče,2491729.506966938,5085647.158891681,Macedonia,MK,Konče,admin,,
Kičevo,2333129.4001685283,5088257.161554588,Macedonia,MK,Kičevo,admin,,
Struga,2301847.064782747,5038630.702632333,Macedonia,MK,Struga,admin,,
Kočani,2494979.0342226843,5148463.138389692,Macedonia,MK,Kočani,admin,,
Rostuša,2293181.5103414357,5102737.183839084,Macedonia,MK,Mavrovo i Rostuša,admin,,
Rosoman,2443000.735706072,5088858.07224395,Macedonia,MK,Rosoman,admin,,
Tearce,2343620.3716198676,5172468.916418711,Macedonia,MK,Tearce,admin,,
Kavadarci,2450358.3974500536,5076428.70267783,Macedonia,MK,Kavadarci,admin,,
Staro Nagoričane,2429949.86124445,5190693.597529247,Macedonia,MK,Staro Nagoričane,admin,,
Lozovo,2438515.339463539,5128661.8350901995,Macedonia,MK,Lozovo,admin,,
Brvenica,2335575.64597871,5156070.722496352,Macedonia,MK,Brvenica,admin,,
Demir Hisar,2360309.8349575587,5044989.082647127,Macedonia,MK,Demir Hisar,admin,,
Prilep,2399495.742870171,5063383.800508148,Macedonia,MK,Prilep,admin,,
Bogdanci,2513099.398295032,5042338.670713524,Macedonia,MK,Bogdanci,admin,,
Strumica,2520644.2994225277,5077088.568417886,Macedonia,MK,Strumica,admin,,
Kratovo,2469144.340757854,5172728.378349842,Macedonia,MK,Kratovo,admin,,
Čučer-Sandevo,2380520.445108531,5176273.9669983,Macedonia,MK,Čučer-Sandevo,admin,,
Star Dojran,2529212.7832678673,5039885.418578924,Macedonia,MK,Dojran,admin,,
Kriva Palanka,2486036.2942492976,5191118.252342476,Macedonia,MK,Kriva Palanka,admin,,
Petrovec,2406170.793496608,5151829.703708947,Macedonia,MK,Petrovec,admin,,
Aračinovo,2400264.6265930803,5164933.208286326,Macedonia,MK,Aračinovo,admin,,
Bosilovo,2530044.6738225655,5077542.363695797,Macedonia,MK,Bosilovo,admin,,
Makedonski Brod,2361673.9439977393,5088396.904877991,Macedonia,MK,Makedonski Brod,admin,,
Probištip,2468261.1319179,5161264.059084432,Macedonia,MK,Probištip,admin,,
Rankovce,2462013.102858146,5186263.353407172,Macedonia,MK,Rankovce,admin,,
Valandovo,2511369.716047086,5059277.940785268,Macedonia,MK,Valandovo,admin,,
Vrapčište,2324977.251218755,5136204.6581582725,Macedonia,MK,Vrapčište,admin,,
Lipkovo,2402862.1555912504,5184434.62113815,Macedonia,MK,Lipkovo,admin,,
Dolneni,2388250.581868707,5075349.613662063,Macedonia,MK,Dolneni,admin,,
Berovo,2544516.207625691,5116601.937538866,Macedonia,MK,Berovo,admin,,
Krivogaštani,2374568.3032553056,5062167.693472995,Macedonia,MK,Krivogaštani,admin,,
Negotino,2459110.2244967297,5084078.584396377,Macedonia,MK,Negotino,admin,,
Ohrid,2315661.8135901922,5029647.2876039315,Macedonia,MK,Ohrid,admin,,
Čaška,2414769.2222849713,5108503.636034602,Macedonia,MK,Čaška,admin,,
Studeničani,2396770.530416061,5148379.961849994,Macedonia,MK,Studeničani,admin,,
Štip,2471062.486903713,5122450.582999749,Macedonia,MK,Štip,admin,,
Belčišta,2318815.940042329,5057104.451111424,Macedonia,MK,Debarca,admin,,
Novaci,2388767.4382644603,5018534.792001339,Macedonia,MK,Novaci,admin,,
Mogila,2379856.090387477,5028333.912335353,Macedonia,MK,Mogila,admin,,
Delčevo,2535442.33329215,5155796.442965104,Macedonia,MK,Delčevo,admin,,
Ilinden,2402277.171667132,5160157.7032759115,Macedonia,MK,Ilinden,admin,,
Gostivar,2327489.1755285054,5130472.137818207,Macedonia,MK,Gostivar,admin,,
Želino,2344656.756079153,5158354.495672317,Macedonia,MK,Želino,admin,,
Centar Župa,2288576.1116878274,5083219.43191957,Macedonia,MK,Centar Župa,admin,,
Kumanovo,2417240.8489390546,5180806.281958116,Macedonia,MK,Kumanovo,admin,,
Debar,2284744.1608562497,5090007.072761475,Macedonia,MK,Debar,admin,,
Zrnovci,2498504.0772181447,5139159.338125136,Macedonia,MK,Zrnovci,admin,,
Jegunovce,2351476.6333631123,5171827.640857059,Macedonia,MK,Jegunovce,admin,,
