city,x,y,country,iso2,admin,capital,population,population_proper
Ampamantanana,5291386.425267107,-2147088.5262636733,Madagascar,MG,Antananarivo,,1697000,1391433
Antsirabe,5236396.711885555,-2257277.7464005915,Madagascar,MG,Antananarivo,minor,307921,307921
Toamasina,5500088.874523281,-2055271.306053058,Madagascar,MG,Toamasina,admin,210226,206373
Fianarantsoa,5241856.821589474,-2445355.593036813,Madagascar,MG,Fianarantsoa,admin,184184,167227
Mahajanga,5155857.728213565,-1771618.3901931576,Madagascar,MG,Mahajanga,admin,154657,135660
Toliara,4861319.2686354965,-2674739.712249732,Madagascar,MG,Toliara,admin,115319,97237
Anjiamena,5493002.609697854,-1374793.8007598545,Madagascar,MG,Antsiranana,,82937,69687
Antanananivo,5595659.774315048,-1671919.2177689103,Madagascar,MG,Antsiranana,,47224,34112
Sambava,5583831.6331403,-1603806.9841195266,Madagascar,MG,Antsiranana,minor,43465,31522
Ambatondrazaka,5390825.120766486,-2017509.7549147892,Madagascar,MG,Toamasina,minor,43134,40552
Maroantsetra,5537342.721353685,-1739216.4234570358,Madagascar,MG,Toamasina,,38046,23859
Morondava,4929094.6934516,-2307538.88960031,Madagascar,MG,Toliara,minor,36803,3234
Marosakoa,5195102.858095281,-1815016.2402896099,Madagascar,MG,Mahajanga,,31253,1773
Ambanja,5393824.40180693,-1536756.0275559563,Madagascar,MG,Antsiranana,,30621,21842
Mananjary,5382282.5743625015,-2418982.589282631,Madagascar,MG,Fianarantsoa,,27686,11996
Farafangana,5324276.548058415,-2610021.913629217,Madagascar,MG,Fianarantsoa,minor,24764,5221
Andoany,5373871.607596634,-1505977.8117232302,Madagascar,MG,Antsiranana,,22680,18391
Antsohihy,5341944.621039669,-1675337.3499174044,Madagascar,MG,Mahajanga,minor,21290,9227
Miandrivazo,5060288.720853142,-2216718.242602091,Madagascar,MG,Toliara,,20631,3156
Ihosy,5134853.966690691,-2560075.0803590743,Madagascar,MG,Fianarantsoa,minor,16990,10814
Tôlan̈aro,5230868.140694798,-2879676.9668966318,Madagascar,MG,Toliara,minor,16818,16818
Morombe,4826771.93258475,-2480783.5483112535,Madagascar,MG,Toliara,,16727,16727
Mandritsara,5435259.742670002,-1786595.4990115527,Madagascar,MG,Mahajanga,,9705,9705
Maintirano,4900758.205750681,-2044559.0532369448,Madagascar,MG,Mahajanga,minor,5925,5925
Bekily,5044991.419067312,-2780472.339977821,Madagascar,MG,Toliara,,4286,4286
Manja,4935072.550107199,-2443818.5385409556,Madagascar,MG,Toliara,,1536,1536
Besalampy,4952631.196029004,-1891314.1403264278,Madagascar,MG,Mahajanga,,1022,1022
Androka,4906575.205742084,-2879028.282718777,Madagascar,MG,Toliara,,174,174
Ambositra,5259009.374008865,-2335846.7445153035,Madagascar,MG,Fianarantsoa,minor,,
Antsiran̈ana,5487077.184522418,-1378068.8227261475,Madagascar,MG,Antsiranana,admin,,
Tsiroanomandidy,5126186.408498545,-2127795.112269533,Madagascar,MG,Antananarivo,minor,,
Ambovombe,5130509.723562484,-2897304.725743031,Madagascar,MG,Toliara,minor,,
Manakara,5344222.440460281,-2529006.9592222874,Madagascar,MG,Fianarantsoa,minor,,
Miarinarivo,5221594.893153246,-2149893.6718833186,Madagascar,MG,Antananarivo,minor,,
Maevatanana,5212997.466240299,-1914655.3530566054,Madagascar,MG,Mahajanga,minor,,
Antananarivo,5289531.174633546,-2145127.257126409,Madagascar,MG,Antananarivo,primary,,
Fenoarivo Atsinanana,5500189.729981939,-1965324.3816411777,Madagascar,MG,Toamasina,minor,,
