city,x,y,country,iso2,admin,capital,population,population_proper
Lilongwe,3761179.13134656,-1570421.5244964496,Malawi,MW,Lilongwe,primary,646750,646750
Blantyre,3897725.956462896,-1780048.77792333,Malawi,MW,Blantyre,admin,584877,584877
Mzuzu,3787156.091120624,-1282529.0332893627,Malawi,MW,,,110201,110201
Mangochi,3924594.5853582146,-1627418.5758595197,Malawi,MW,Mangochi,admin,97711,40236
Zomba,3931670.9427489615,-1733720.8291548314,Malawi,MW,Zomba,admin,80932,80932
Simewa,3836811.819781326,-1547460.3708537703,Malawi,MW,Salima,,71181,30052
Nkhotakota,3817943.500050339,-1451648.573036811,Malawi,MW,Nkhotakota,admin,59854,24865
Karonga,3777441.3504785863,-1111354.9235320357,Malawi,MW,Karonga,admin,34207,32444
Chiromo,3913510.614979419,-1868126.996853121,Malawi,MW,Nsanje,,25235,25235
Nkhata Bay,3818057.3798894193,-1301177.4399608187,Malawi,MW,Nkhata Bay,admin,22108,11721
Nsanje,3925867.4124159445,-1911126.742361668,Malawi,MW,Nsanje,admin,21774,21774
Mzimba,3739566.7861675187,-1334194.4903268095,Malawi,MW,Mzimba,admin,19308,19308
Mchinji,3662305.7162214285,-1541458.9281584388,Malawi,MW,,,18305,18305
Mulanje,3952288.870916747,-1807668.9326479246,Malawi,MW,Mulanje,admin,16483,16483
Dedza,3821778.456508167,-1618167.5752359615,Malawi,MW,Dedza,admin,15608,15608
Chitipa,3704055.4233265007,-1085516.3044283907,Malawi,MW,Chitipa,admin,13412,8824
Mwanza,3843012.7606964745,-1759554.516160849,Malawi,MW,Mwanza,admin,11379,11379
Ntcheu,3856086.900931672,-1668183.166693504,Malawi,MW,Ntcheu,admin,10445,10445
Chiradzulu,3916782.4061333244,-1769727.4964912236,Malawi,MW,Chiradzulu,admin,1580,1580
Machinga,3949520.0212222463,-1691274.201444295,Malawi,MW,Machinga,admin,1418,1418
Chikwawa,3874132.3469867157,-1809585.4916685864,Malawi,MW,Chikwawa,admin,,
Phalombe,3968614.7647975064,-1782307.9441465691,Malawi,MW,Phalombe,admin,,
Ntchisi,3785265.997486445,-1502638.9714624123,Malawi,MW,Ntchisi,admin,,
Kasungu,3727221.5659580356,-1463890.0490035964,Malawi,MW,Kasungu,admin,,
Balaka,3891631.8822589093,-1687916.558433909,Malawi,MW,Balaka,admin,,
Mchinji,3661226.4737581876,-1550839.8031183658,Malawi,MW,Mchinji,admin,,
Rumphi,3768679.1707192664,-1234315.739020567,Malawi,MW,Rumphi,admin,,
Neno,3857602.1818403504,-1735117.3273645604,Malawi,MW,Neno,admin,,
Salima,3835889.537800104,-1549529.9989814188,Malawi,MW,Salima,admin,,
Dowa,3778021.5476646004,-1534459.4136477674,Malawi,MW,Dowa,admin,,
Thyolo,3912562.06159837,-1812864.0603853413,Malawi,MW,Thyolo,admin,,
