city,x,y,country,iso2,admin,capital,population,population_proper
George Town,11169288.53084618,603272.7523969414,Malaysia,MY,Pulau Pinang,admin,2500000,720202
Kuala Lumpur,11321192.213675924,352691.3610009926,Malaysia,MY,Kuala Lumpur ,primary,1448000,1448000
Johor Bahru,11550265.46183032,163156.5048740339,Malaysia,MY,Johor,admin,875000,802489
Butterworth,11172449.113828784,601916.7514390283,Malaysia,MY,Pulau Pinang,,821652,107591
Melaka,11381360.398449685,244517.47481184712,Malaysia,MY,Melaka,,788706,503127
Ipoh,11252496.955907393,510844.97421516146,Malaysia,MY,Perak,admin,673318,639136
Kuching,12282250.447084686,157718.72011953336,Malaysia,MY,,,570407,504963
Kota Kinabalu,12921120.463153167,666331.6116239792,Malaysia,MY,Sabah,admin,527671,457326
Kampong Baharu,11378707.32102561,682201.3124417822,Malaysia,MY,Kelantan,,505583,279316
Shah Alam,11302638.928103881,343400.8465420135,Malaysia,MY,,,481654,481654
Sandakan,13148824.481570808,651256.8144076833,Malaysia,MY,Sabah,,392288,291289
Seremban Garden,11350747.538481537,300896.81481866696,Malaysia,MY,Negeri Sembilan,,372917,300731
Kuantan,11502197.705705784,424183.57597524935,Malaysia,MY,Pahang,admin,366229,274695
Kampung Sungai Pasir,11184051.165117731,626090.8363986324,Malaysia,MY,Kedah,,358499,228843
Kuala Terengganu,11481581.336010871,594212.871153866,Malaysia,MY,Terengganu,admin,350210,285065
Alor Setar,11172039.346783174,682691.4615920773,Malaysia,MY,Kedah,admin,336475,217368
Tawau,13123131.943095721,473519.96020328026,Malaysia,MY,Sabah,,306462,289531
Taiping,11213583.33546926,540545.4504560678,Malaysia,MY,Perak,,237095,217647
Miri,12691412.693901246,491940.31496458955,Malaysia,MY,Sarawak,,228212,211703
Sibu,12447374.432641035,256103.6200757837,Malaysia,MY,Sarawak,,203832,198239
Batu Pahat,11458393.486078633,206511.46431549557,Malaysia,MY,Johor,,199619,156236
Muar,11417917.719226196,227607.59595701878,Malaysia,MY,Johor,,191346,127897
Kluang,11502954.67824318,225480.0523387971,Malaysia,MY,Johor,,169828,156700
Bintulu,12582813.072226526,352691.3610009926,Malaysia,MY,Sarawak,,151617,83670
Lahad Datu,13172101.38709568,560300.0769749894,Malaysia,MY,Sabah,,105622,60310
Teluk Intan,11245639.675274527,448530.3706654787,Malaysia,MY,Perak,,101659,63353
Cukai,11512290.70997754,473542.28548895515,Malaysia,MY,Terengganu,,82425,44646
Kangar,11154059.245269226,718568.6401821651,Malaysia,MY,Perlis,admin,63869,63869
Raub,11338669.373730466,422197.72583258594,Malaysia,MY,Pahang,,40024,33521
Kuala Lipis,11359797.81308303,466197.5773397239,Malaysia,MY,Pahang,,15448,15448
Klang,11293362.340977604,337826.93308829464,Malaysia,MY,Selangor,admin,,
Seremban,11347697.384433802,303983.83206471225,Malaysia,MY,Negeri Sembilan,admin,,
Kampung Lemal,11370312.71822489,672522.7487910464,Malaysia,MY,Kelantan,minor,,
Kuching,12282250.447084686,172566.26059185978,Malaysia,MY,Sarawak,admin,,
Ketereh,11382214.21894407,664329.0370061669,Malaysia,MY,Kelantan,minor,,
Tumpat,11373621.022171775,691280.3620175283,Malaysia,MY,Kelantan,minor,,
Victoria,12828643.688608,588227.9842957086,Malaysia,MY,Labuan,admin,,
Pasir Mas,11370158.65204963,674663.7297674575,Malaysia,MY,Kelantan,minor,,
Kota Bharu,11381149.225375652,684060.7209159047,Malaysia,MY,Kelantan,minor,,
Pulai Chondong,11380388.134017099,654740.5916078596,Malaysia,MY,Kelantan,minor,,
