city,x,y,country,iso2,admin,capital,population,population_proper
Bamako,-890555.9263461885,1419773.515884513,Mali,ML,Bamako,primary,1494000,1297281
Sikasso,-631148.1169506231,1267677.7468764405,Mali,ML,Sikasso,admin,225753,144786
Ségou,-691928.5589237505,1509096.3967661385,Mali,ML,Ségou,admin,122952,92552
Gao,-4978.430267256781,1836204.85148947,Mali,ML,Gao,admin,116967,57978
Mopti,-466743.36662428884,1630389.50486108,Mali,ML,Mopti,admin,108456,78083
Koutiala,-608272.9634680225,1390322.1202829944,Mali,ML,Sikasso,minor,104927,99353
Kayes,-1273993.463354822,1625542.4503544439,Mali,ML,Kayes,admin,77207,77207
Timbuktu,-334580.52569437353,1894121.0498884956,Mali,ML,Tombouctou,admin,68872,68872
Kati,-898634.8270710197,1430510.3505821908,Mali,ML,Koulikoro,minor,66895,42922
Markala,-675252.8992029182,1540061.2401700846,Mali,ML,Ségou,,53738,38585
Kita,-1056366.3078827695,1463719.7955179117,Mali,ML,Kayes,minor,46435,5769
San,-544977.368919912,1494410.1996097413,Mali,ML,Ségou,minor,41386,24811
Bougouni,-833236.6299808057,1279900.5000088532,Mali,ML,Sikasso,minor,35450,25644
Djenné,-507605.7460682482,1563262.3538768995,Mali,ML,Mopti,minor,32944,22382
Banamba,-829116.3616680743,1522379.4786255332,Mali,ML,Koulikoro,minor,30591,6033
Bourèm Guindou,-39703.988822764506,1910221.7576206536,Mali,ML,Gao,,30000,27486
Bafoulabé,-1205823.8562218188,1552026.0983428925,Mali,ML,Kayes,minor,26823,26823
Koulikoro,-841558.5411540384,1444054.2742255123,Mali,ML,Koulikoro,admin,23919,2898
Nara,-810924.6418021282,1708655.7939149076,Mali,ML,Koulikoro,minor,18459,18459
Kangaba,-936939.0846165495,1338122.2112109389,Mali,ML,Koulikoro,minor,17232,17232
Ménaka,267411.68078360177,1795251.8031575333,Mali,ML,Gao,minor,9110,9110
Aguelhok,95611.08612794394,2209333.0323687093,Mali,ML,Kidal,,9000,8080
Goundam,-408625.9095099181,1852777.9468815585,Mali,ML,Tombouctou,minor,8456,3979
Tessalit,112640.07391255417,2296887.884100668,Mali,ML,Kidal,minor,6000,5739
Sokolo,-681486.7906873415,1658425.409246968,Mali,ML,Ségou,,4374,4128
Araouane,-392567.2937265529,2143726.268589665,Mali,ML,Tombouctou,,4026,4026
Taoudenni,-442930.0124732826,2592694.010354261,Mali,ML,Tombouctou,,3019,3019
Yélimané,-1177458.6480922755,1702881.8524567683,Mali,ML,Kayes,minor,988,988
Satadougou,-1271024.2385768928,1415722.2730426246,Mali,ML,Kayes,,706,706
Kadiolo,-641942.4340143745,1181113.8317097153,Mali,ML,Sikasso,minor,,
Youwarou,-474532.7253535666,1731693.828453803,Mali,ML,Mopti,minor,,
Bourem,-38807.19900493389,1915587.4043216251,Mali,ML,Gao,minor,,
Barouéli,-760445.7055070105,1468530.70862361,Mali,ML,Ségou,minor,,
Koro,-342350.5148322533,1581559.8954210514,Mali,ML,Mopti,minor,,
Kolondiéba,-767314.6746864093,1242250.3175297873,Mali,ML,Sikasso,minor,,
Bankass,-391393.0957376655,1583109.1932728686,Mali,ML,Mopti,minor,,
Bla,-641226.9836470461,1454028.3454868258,Mali,ML,Ségou,minor,,
Niono,-667137.7083240886,1603212.7188263212,Mali,ML,Ségou,minor,,
Abeïbara,194809.10888822874,2168676.3908020775,Mali,ML,Kidal,minor,,
Ténenkou,-547346.247683993,1626724.5543099563,Mali,ML,Mopti,minor,,
Dioila,-755981.7939262001,1400635.6633483027,Mali,ML,Koulikoro,minor,,
Yorosso,-531759.6265415911,1386491.5623198636,Mali,ML,Sikasso,minor,,
Tominian,-511308.90024897724,1492582.6656375562,Mali,ML,Ségou,minor,,
Niafunké,-444231.5599596375,1796872.4762965185,Mali,ML,Tombouctou,minor,,
Diré,-378626.865214002,1834509.2806541242,Mali,ML,Tombouctou,minor,,
Kéniéba,-1251293.7493897115,1441414.5568458512,Mali,ML,Kayes,minor,,
Kidal,156713.13010997308,2089245.0081524665,Mali,ML,Kidal,admin,,
Bandiagara,-401728.33122138534,1614171.9550398262,Mali,ML,Mopti,minor,,
Kolokani,-894329.6570840805,1525250.056342692,Mali,ML,Koulikoro,minor,,
Ké-Macina,-596440.2581941516,1570098.3858939798,Mali,ML,Ségou,minor,,
Diéma,-1023259.89132085,1636243.160100576,Mali,ML,Kayes,minor,,
Ansongo,55904.64827638199,1765347.4082304467,Mali,ML,Gao,minor,,
Nioro,-1067862.3830164818,1715642.3540361826,Mali,ML,Kayes,minor,,
Yanfolila,-907253.8499651796,1252903.822187484,Mali,ML,Sikasso,minor,,
Douentza,-328368.1188716733,1689379.2331910715,Mali,ML,Mopti,minor,,
Gourma Rharous,-214073.6146869495,1906602.3082464507,Mali,ML,Tombouctou,minor,,
Ti-n-Essako,276957.21579963417,2090357.2371489995,Mali,ML,Kidal,minor,,
