city,x,y,country,iso2,admin,capital,population,population_proper
Valletta,1615771.4620459254,4286832.032126667,Malta,MT,Valletta,primary,368250,6966
Saint Paul’s Bay,1603062.5610600202,4293514.399430848,Malta,MT,San Pawl il-Baħar,admin,,
Siġġiewi,1607051.472373616,4280764.259277908,Malta,MT,Siġġiewi,admin,,
Xewkija,1587199.533621979,4305132.512119173,Malta,MT,Xewkija,admin,,
Imġarr,1599259.1080180865,4289695.499067317,Malta,MT,Imġarr,admin,,
Pietà,1613576.0190485,4286144.934213772,Malta,MT,Pietà,admin,,
Kirkop,1612493.7709590083,4278933.024021385,Malta,MT,Kirkop,admin,,
Kerċem,1583705.326125469,4306394.337655152,Malta,MT,Kerċem,admin,,
Sannat,1585498.7944416394,4303985.350232114,Malta,MT,Sannat,admin,,
Fontana,1584756.6273965205,4305782.541801347,Malta,MT,Fontana,admin,,
Tarxien,1615802.408864366,4282175.869238801,Malta,MT,Tarxien,admin,,
Gżira,1612803.0165044318,4287671.862140511,Malta,MT,Gżira,admin,,
Għaxaq,1615987.9784555184,4279848.6031601485,Malta,MT,Għaxaq,admin,,
Għasri,1583674.3793070284,4308574.450886322,Malta,MT,Għasri,admin,,
Mellieħa,1598795.239699951,4294622.223767422,Malta,MT,Mellieħa,admin,,
Sliema,1614349.0215925688,4288588.176782787,Malta,MT,Sliema,admin,,
Żejtun,1617812.3935901292,4280802.304553394,Malta,MT,Żejtun,admin,,
Qormi,1611009.436868771,4283893.068851439,Malta,MT,Qormi,admin,,
Żebbuġ,1607577.1230091415,4283015.339938218,Malta,MT,Żebbuġ,admin,,
Lija,1608164.6672815487,4286946.644282056,Malta,MT,Lija,admin,,
Gudja,1614472.8088663311,4279886.782573027,Malta,MT,Gudja,admin,,
Balzan,1609123.2394167695,4286908.440096073,Malta,MT,Balzan,admin,,
Swieqi,1611906.2266866013,4289962.724812086,Malta,MT,Swieqi,admin,,
Pembroke,1611504.2520053466,4291070.187116118,Malta,MT,Pembroke,admin,,
Xgħajra,1619420.2923151471,4284885.459003661,Malta,MT,Xgħajra,admin,,
Kalkara,1617781.4467716888,4285381.61931904,Malta,MT,Kalkara,admin,,
Għarb,1581726.288218146,4308880.423304767,Malta,MT,Għarb,admin,,
Munxar,1584447.3818510969,4304750.111338826,Malta,MT,Munxar,admin,,
Fgura,1615616.8392732134,4282786.474382383,Malta,MT,Fgura,admin,,
Attard,1607731.7457818538,4285457.87969533,Malta,MT,Attard,admin,,
San Lawrenz,1581138.7439457392,4308268.4871071875,Malta,MT,San Lawrenz,admin,,
Nadur,1591219.3917540149,4305820.8124468345,Malta,MT,Nadur,admin,,
Xagħra,1587910.6425291663,4307503.477764326,Malta,MT,Xagħra,admin,,
Imtarfa,1602876.9914688682,4285954.066115956,Malta,MT,Imtarfa,admin,,
Paola,1614008.9405481955,4283168.102819138,Malta,MT,Paola,admin,,
Marsaxlokk,1618925.5884980618,4278894.847951668,Malta,MT,Marsaxlokk,admin,,
Ħamrun,1612400.9305036867,4284770.868560625,Malta,MT,Ħamrun,admin,,
Għajnsielem,1590198.925981913,4304253.065542399,Malta,MT,Għajnsielem,admin,,
Cospicua,1617193.9024992818,4284885.459003661,Malta,MT,Bormla,admin,,
Mosta,1605845.5483298523,4288130.078530755,Malta,MT,Mosta,admin,,
Imsida,1612215.4722320251,4285839.6018291805,Malta,MT,Imsida,admin,,
Dingli,1601021.6295158167,4281565.43569931,Malta,MT,Dingli,admin,,
Marsaskala,1621028.1910401653,4282328.482972013,Malta,MT,Marsaskala,admin,,
Imdina,1603278.9661501227,4285076.170953665,Malta,MT,Imdina,admin,,
Qrendi,1609494.2672795833,4277903.140964406,Malta,MT,Qrendi,admin,,
Victoria,1585158.6020777752,4306738.52241588,Malta,MT,Rabat (Ghawdex),admin,,
Rabat,1602784.2623330376,4284427.379258826,Malta,MT,Rabat,admin,,
San Ġiljan,1612400.9305036867,4289580.857937103,Malta,MT,San Ġiljan,admin,,
Għargħur,1608783.0470529052,4290191.878868898,Malta,MT,Għargħur,admin,,
Żurrieq,1611256.9000968041,4277407.321322404,Malta,MT,Żurrieq,admin,,
Iklin,1608813.9938713459,4288130.078530755,Malta,MT,Iklin,admin,,
Senglea,1616018.813954468,4285152.566591793,Malta,MT,Isla,admin,,
Safi,1612431.877322127,4277674.382823225,Malta,MT,Safi,admin,,
Ta’ Xbiex,1613514.1254116194,4286755.762116942,Malta,MT,Ta’ Xbiex,admin,,
San Ġwann,1611473.3051869064,4287633.792841138,Malta,MT,San Ġwann,admin,,
Vittoriosa,1616173.4367271797,4285801.401530913,Malta,MT,Birgu,admin,,
Naxxar,1607855.4217361251,4288740.880488754,Malta,MT,Naxxar,admin,,
Żebbuġ,1584725.68057808,4310563.563801048,Malta,MT,Żebbuġ (Ghawdex),admin,,
Santa Venera,1611256.9000968041,4285610.539460005,Malta,MT,Santa Venera,admin,,
Imqabba,1610483.7862332447,4279467.091054453,Malta,MT,Imqabba,admin,,
Qala,1592920.0196148637,4305591.328261853,Malta,MT,Qala,admin,,
Luqa,1612864.798821822,4281222.047535281,Malta,MT,Luqa,admin,,
Żabbar,1618028.7986802312,4283587.799648524,Malta,MT,Żabbar,admin,,
Floriana,1615060.2418192471,4286297.60361977,Malta,MT,Floriana,admin,,
Santa Luċija,1582653.9135349265,4306547.429687319,Malta,MT,Santa Luċija,admin,,
Birżebbuġa,1617132.0088624007,4276682.649624012,Malta,MT,Birżebbuġa,admin,,
Marsa,1613606.965866941,4284007.650051342,Malta,MT,Marsa,admin,,
Birkirkara,1609803.5128250073,4286488.477745246,Malta,MT,Birkirkara,admin,,
