city,x,y,country,iso2,admin,capital,population,population_proper
Mexico City,-11036059.694472428,2206119.336871286,Mexico,MX,Ciudad de México,primary,19028000,10811002
Guadalajara,-11509525.199867763,2352194.841314184,Mexico,MX,Jalisco,admin,4198000,1640589
Monterrey,-11167400.440962838,2958891.69382617,Mexico,MX,Nuevo León,admin,3712000,1122874
Puebla,-10931958.827379137,2159401.5962799084,Mexico,MX,Puebla,admin,2195000,1392099
Tijuana,-13024793.863401813,3829479.9522022414,Mexico,MX,Baja California,,1553000,1376457
Toluca,-11092428.322386438,2188791.5082115973,Mexico,MX,México,admin,1531000,505881
León de los Aldama,-11318269.075167183,2407276.551504539,Mexico,MX,Guanajuato,minor,1488000,1114626
Ciudad Juárez,-11853670.407530583,3728357.1161007504,Mexico,MX,México,,1343000,1343000
Torreon,-11512547.74668178,2942698.6815608847,Mexico,MX,Coahuila de Zaragoza,,1144000,524066
Ciudad Nezahualcóyotl,-11022280.122624075,2202158.2675764565,Mexico,MX,México,,1109363,750000
San Luis Potosí,-11240948.78325199,2529523.044332084,Mexico,MX,San Luis Potosí,admin,992000,677704
Mérida,-9976114.242321674,2388941.727364111,Mexico,MX,Yucatán,admin,965000,717175
Querétaro,-11176445.149589792,2344247.9359990284,Mexico,MX,Querétaro,admin,961000,611785
Mexicali,-12853067.407527024,3848941.8423334686,Mexico,MX,Baja California,admin,885000,587277
Aguascalientes,-11386045.390539212,2497404.5943221753,Mexico,MX,Aguascalientes,admin,869000,658179
Tampico,-10894584.755498677,2544955.7940572146,Mexico,MX,Tamaulipas,,859419,297284
Cuernavaca,-11046064.756346457,2147134.6595138963,Mexico,MX,Morelos,admin,834001,349102
Culiacán,-11954356.994521756,2850012.6666327626,Mexico,MX,Sinaloa,admin,809000,582469
Chihuahua,-11809142.611213274,3329059.8036792353,Mexico,MX,Chihuahua,admin,793000,708267
Saltillo,-11243858.452102344,2927817.0091939233,Mexico,MX,Coahuila de Zaragoza,admin,754000,604573
Acapulco de Juárez,-11117305.222952485,1905724.9628622413,Mexico,MX,Guerrero,minor,715584,652136
Morelia,-11263747.126285942,2237737.118733321,Mexico,MX,Michoacán de Ocampo,admin,644306,592797
Hermosillo,-12353939.197280137,3388711.463071191,Mexico,MX,Sonora,admin,595811,512935
Veracruz,-10702578.782708112,2176251.94417172,Mexico,MX,Veracruz,,578963,568313
Cancún,-9665820.846531123,2412442.702238043,Mexico,MX,Quintana Roo,,542043,436862
Matamoros,-10853866.980073256,2982936.937853665,Mexico,MX,Tamaulipas,,538785,364004
Oaxaca,-10767226.909069363,1928441.410892547,Mexico,MX,Oaxaca,admin,530728,262566
Tlaxcala,-10931553.95839112,2192535.7243202785,Mexico,MX,Tlaxcala,admin,503878,89795
Mazatán,-12260489.713024419,3376286.5113562765,Mexico,MX,Sonora,,500000,438434
Reynosa,-10941409.07291105,3009068.639235575,Mexico,MX,Tamaulipas,minor,498654,419340
Durango,-11650774.71687266,2755774.577647416,Mexico,MX,Durango,admin,457140,455597
Xalapa,-10789257.592894804,2219072.450517265,Mexico,MX,Veracruz,admin,452186,425148
Villahermosa,-10344951.114917863,2036014.450476462,Mexico,MX,Tabasco,admin,428564,362401
Gomez Palacio,-11521108.883440727,2945901.704634461,Mexico,MX,Durango,,399328,228577
Celaya,-11222752.387967432,2335154.4674545256,Mexico,MX,Guanajuato,,383697,305901
Mazatlán,-11845084.001247225,2660208.357295914,Mexico,MX,Sinaloa,minor,368204,354717
Orizaba,-10809075.133923788,2137512.803978418,Mexico,MX,Veracruz,minor,355333,121348
Nuevo Laredo,-11078750.162594195,3184152.0668130904,Mexico,MX,Tamaulipas,,349550,160755
Irapuato,-11282929.589619948,2353376.428146633,Mexico,MX,Guanajuato,minor,339554,339554
Pachuca,-10992011.017243495,2286939.261983135,Mexico,MX,Hidalgo,admin,319581,302141
Tepic,-11676934.908528568,2452736.3470066837,Mexico,MX,Nayarit,admin,318781,280592
Ciudad Obregón,-12238556.76771189,3184376.179609826,Mexico,MX,Sonora,,288002,258162
Coatzacoalcos,-10513281.769726004,2053175.49703166,Mexico,MX,Veracruz,,287285,230717
Ciudad Victoria,-11036881.454953467,2721969.9201777405,Mexico,MX,Tamaulipas,admin,274900,269923
Uruapan,-11360870.932974275,2203403.781638784,Mexico,MX,Michoacán de Ocampo,minor,264531,237308
Ensenada,-12979931.2180562,3746453.7508751536,Mexico,MX,Baja California,minor,256565,220937
Poza Rica de Hidalgo,-10848046.751816621,2335811.0839955793,Mexico,MX,Veracruz,,254481,174526
Zumpango,-11019006.7729973,2248960.9641703763,Mexico,MX,Morelos,,250000,127988
Los Mochis,-12133610.206447043,2973468.580509839,Mexico,MX,Sinaloa,minor,249047,214601
Tehuacán,-10841719.240640441,2091634.8859250548,Mexico,MX,Puebla,,241429,237312
Monclova,-11290085.651766103,3111841.321525885,Mexico,MX,Coahuila de Zaragoza,,236244,195764
Zacatecas,-11418214.163030181,2604107.4999355697,Mexico,MX,Zacatecas,admin,234481,118562
Colima,-11546852.072284127,2184388.2888040855,Mexico,MX,Colima,admin,223287,127235
Tapachula,-10270057.142624,1678122.027529564,Mexico,MX,Chiapas,minor,221521,197961
Córdoba,-10790337.72591397,2141500.6127471956,Mexico,MX,Veracruz,,220563,134403
Zamora,-11386188.881362844,2271313.400475601,Mexico,MX,Michoacán de Ocampo,,214947,124916
Campeche,-10077256.459988665,2254542.7898989148,Mexico,MX,Campeche,admin,205212,202885
Minatitlan,-10525748.996097395,2037461.1099009681,Mexico,MX,Veracruz,,201902,150895
Salamanca,-11264591.150665136,2340911.9622226544,Mexico,MX,Guanajuato,minor,197524,138614
Ciudad Madero,-10891079.304733595,2544247.486527782,Mexico,MX,Tamaulipas,,192736,138087
La Paz,-12278595.60556296,2771010.4822455244,Mexico,MX,Baja California Sur,admin,189767,171485
Puerto Vallarta,-11714535.738211775,2345584.3289335547,Mexico,MX,Jalisco,,187134,180804
San Cristóbal de las Casas,-10312777.889647264,1889622.191331094,Mexico,MX,Chiapas,minor,186661,128996
Chilpancingo,-11076933.094545977,1985013.3256274739,Mexico,MX,Guerrero,admin,182387,165250
Nogales,-12350544.620727887,3673677.7336653667,Mexico,MX,Sonora,minor,178097,20707
Teziutlan,-10838056.71807385,2251400.117192135,Mexico,MX,Puebla,,177796,70819
Ciudad Lázaro Cárdenas,-11379216.719015481,2034114.7519527855,Mexico,MX,Michoacán de Ocampo,,160087,84001
Ciudad del Carmen,-10221827.082681889,2113506.584009687,Mexico,MX,Campeche,minor,156195,141308
Chetumal,-9829935.49826445,2097814.795115055,Mexico,MX,Quintana Roo,admin,154517,134412
San Juan del Río,-11131478.08656181,2319154.077226961,Mexico,MX,Querétaro,minor,147559,118173
Ejido Piedras Negras,-11195062.77782751,3340482.7318972386,Mexico,MX,Coahuila de Zaragoza,,139619,134971
Navojoa,-12183218.735643648,3132255.5536737763,Mexico,MX,Sonora,minor,116093,116093
