city,x,y,country,iso2,admin,capital,population,population_proper
Chisinau,3212402.2055668924,5942981.000201219,Moldova,MD,Chişinău,primary,688134,635994
Tiraspol,3298294.7661901107,5916443.558713554,Moldova,MD,Stînga Nistrului,admin,157000,117194
Bălţi,3109077.346643919,6067539.5112138605,Moldova,MD,Bălţi,admin,151355,118690
Cahul,3139131.0488098147,5765017.829944492,Moldova,MD,Cahul,admin,63407,34492
Dubăsari,3246818.8525354485,5985538.466664976,Moldova,MD,Stînga Nistrului,,23254,23254
Taraclia,3191324.861860603,5764776.112409501,Moldova,MD,Taraclia,admin,,
Ştefan Vodă,3301951.3888236885,5862921.228330194,Moldova,MD,Ştefan-Vodă,admin,,
Donduşeni,3073035.880387744,6146777.952331906,Moldova,MD,Donduşeni,admin,,
Bender,3281441.885839936,5914623.585025755,Moldova,MD,Bender,admin,,
Edineţ,3039397.245340342,6135542.228044115,Moldova,MD,Edineţ,admin,,
Straşeni,3184598.49294891,5965309.3149750745,Moldova,MD,Străşeni,admin,,
Drochia,3096121.761666416,6112770.461329639,Moldova,MD,Drochia,admin,,
Basarabeasca,3224218.324236635,5833664.809102111,Moldova,MD,Basarabeasca,admin,,
Ialoveni,3204034.0968049797,5932850.835679682,Moldova,MD,Ialoveni,admin,,
Cocieri,3240522.176858218,5992611.589497612,Moldova,MD,Dubăsari,admin,,
Rîşcani,3068383.6162285116,6098195.778752061,Moldova,MD,Rîşcani,admin,,
Teleneşti,3157617.4313678904,6024253.372330524,Moldova,MD,Teleneşti,admin,,
Floreşti,3149576.0453114565,6088801.995072966,Moldova,MD,Floreşti,admin,,
Rezina,3224461.0007265643,6065245.518852054,Moldova,MD,Rezina,admin,,
Briceni,3014295.2567639123,6167440.878256926,Moldova,MD,Briceni,admin,,
Şoldăneşti,3205687.636521223,6076312.12335948,Moldova,MD,Şoldăneşti,admin,,
Orhei,3208723.8756326097,6005133.33259156,Moldova,MD,Orhei,admin,,
Făleşti,3084957.418615268,6036714.225156762,Moldova,MD,Făleşti,admin,,
Ocniţa,3054389.865679871,6170766.985012913,Moldova,MD,Ocniţa,admin,,
Leova,3145111.1318552294,5857977.0745279575,Moldova,MD,Leova,admin,,
Cantemir,3139510.536953929,5824919.258380476,Moldova,MD,Cantemir,admin,,
Sîngerei,3132860.199254448,6046563.466672049,Moldova,MD,Sîngerei,admin,,
Anenii Noi,3254406.500347409,5922246.277619482,Moldova,MD,Anenii Noi,admin,,
Căuşeni,3274033.3510886617,5882981.704998035,Moldova,MD,Căuşeni,admin,,
Comrat,3190027.099236935,5827678.166841874,Moldova,MD,Găgăuzia,admin,,
Criuleni,3245993.752469689,5976921.967565383,Moldova,MD,Criuleni,admin,,
Cimişlia,3202039.919446909,5865182.551945648,Moldova,MD,Cimişlia,admin,,
