city,x,y,country,iso2,admin,capital,population,population_proper
Ulaanbaatar,11901908.927753996,6093002.373108038,Mongolia,MN,Ulaanbaatar,primary,885000,769612
Erdenet,11586503.629626727,6280519.200470697,Mongolia,MN,Orhon,admin,79647,79647
Darhan,11838827.845864644,6380152.090303297,Mongolia,MN,Selenge,,74738,74738
Ulaangom,10248814.489473883,6443005.241355958,Mongolia,MN,Uvs,admin,35796,28085
Ölgiy,10014579.690489873,6269489.873815645,Mongolia,MN,Bayan-Ölgiy,admin,34934,28400
Choybalsan,12746081.695829824,6117953.023180537,Mongolia,MN,Dornod,admin,33376,33376
Arvayheer,11440860.666278692,5822738.934295353,Mongolia,MN,Övörhangay,admin,28053,28053
Mörön,11150038.496581262,6383159.415428428,Mongolia,MN,Hövsgöl,admin,27690,21527
Sühbaatar,11822995.765245043,6486445.19223968,Mongolia,MN,Selenge,admin,24235,24235
Tsetserleg,11293826.209295738,6019953.7574658375,Mongolia,MN,Arhangay,admin,19812,16300
Dzüünharaa,11851815.156897023,6252267.7815196,Mongolia,MN,Selenge,,18830,13318
Dzuunmod,11894487.59126128,6070884.562532598,Mongolia,MN,Ulaanbaatar,,17738,17738
Bulgan,11525432.532463139,6243106.245195261,Mongolia,MN,Bulgan,admin,17348,17348
Baruun-Urt,12610179.1879262,5890087.666668477,Mongolia,MN,Sühbaatar,admin,15805,15805
Dalandzadgad,11624537.826087592,5399266.034858726,Mongolia,MN,Ömnögovĭ,admin,15093,11889
Öndörhaan,12318120.147366568,5994372.232341264,Mongolia,MN,Hentiy,admin,14723,10144
Uliastay,10780674.192237698,6063984.530284408,Mongolia,MN,Dzavhan,admin,8056,8056
Ulaan-Uul,12382437.988798633,5517171.97413927,Mongolia,MN,Dornogovĭ,minor,3726,3726
Mandal,11833261.87132498,5740376.655556497,Mongolia,MN,Dundgovĭ,,2984,2984
Hödrögö,10773871.34683583,6269207.372766335,Mongolia,MN,Dzavhan,minor,10,10
Mörön,12259077.06868625,6007825.367179196,Mongolia,MN,Hentiy,minor,,
Hungiy,10495572.619852645,6190443.809135445,Mongolia,MN,Dzavhan,minor,,
Hunt,11072578.721344108,6084701.569863643,Mongolia,MN,Arhangay,minor,,
Javhlant,11799866.024086999,6232547.597477651,Mongolia,MN,Töv,minor,,
Javarthushuu,12549417.224988544,6300351.688076997,Mongolia,MN,Dornod,minor,,
Orhontuul,11685856.275159724,6266334.571307524,Mongolia,MN,Selenge,minor,,
Nogoonnuur,10044728.682139888,6377288.917718737,Mongolia,MN,Bayan-Ölgiy,minor,,
Namir,10209852.66769624,6291846.367064342,Mongolia,MN,Uvs,minor,,
Haraat,11983543.1838959,5847373.67591944,Mongolia,MN,Dundgovĭ,minor,,
Tsagaan Ovoo,11297072.953564217,5772340.302359437,Mongolia,MN,Övörhangay,minor,,
Tsagaan-Ovoo,11772036.15138868,5703230.202963119,Mongolia,MN,Dundgovĭ,minor,,
Sayn-Ust,10525257.854504015,5999391.278141545,Mongolia,MN,Govĭ-Altay,minor,,
Tsant,11879645.029595342,5809777.29351295,Mongolia,MN,Dundgovĭ,minor,,
Bayanbulag,12235867.400133818,6084701.569863643,Mongolia,MN,Hentiy,minor,,
Bürenhayrhan,10193154.744077247,5793713.463182831,Mongolia,MN,Hovd,minor,,
Taygan,10829531.092232468,5836615.465848792,Mongolia,MN,Govĭ-Altay,minor,,
Sört,11618538.930048233,6330377.855660214,Mongolia,MN,Bulgan,minor,,
Tavin,11775746.763975292,5847373.67591944,Mongolia,MN,Dundgovĭ,minor,,
Arguut,11400971.219184265,5692645.178123244,Mongolia,MN,Övörhangay,minor,,
Balgatay,10814688.530566528,5925766.774835779,Mongolia,MN,Dzavhan,minor,,
Arhust,12009517.694641165,6073646.223350629,Mongolia,MN,Töv,minor,,
Tahilt,10759028.78516989,5674151.48543785,Mongolia,MN,Govĭ-Altay,minor,,
Ulaan-Uul,11224715.284548588,5793713.463182831,Mongolia,MN,Bayanhongor,minor,,
Dalay,11524288.390736764,5386854.751086166,Mongolia,MN,Ömnögovĭ,minor,,
Orgil,11059684.13944756,6205109.6427228125,Mongolia,MN,Hövsgöl,minor,,
Orgil,11725652.99311832,6176455.440257356,Mongolia,MN,Töv,minor,,
Örgön,11172766.263058055,5579637.466936554,Mongolia,MN,Bayanhongor,minor,,
Argalant,11785023.46242106,6095770.979113645,Mongolia,MN,Töv,minor,,
Rashaant,11290919.546071636,6296381.5276957005,Mongolia,MN,Hövsgöl,minor,,
Rashaant,11822129.922245653,5668874.641676818,Mongolia,MN,Dundgovĭ,minor,,
Rashaant,10111520.376615852,6068123.952643909,Mongolia,MN,Bayan-Ölgiy,minor,,
Naranbulag,12619919.643370612,6314546.262472688,Mongolia,MN,Dornod,minor,,
Altanbulag,10723777.575978857,6325919.274572152,Mongolia,MN,Dzavhan,minor,,
Tsagaanders,12731239.134163886,6115177.087951665,Mongolia,MN,Dornod,minor,,
Saynshand,11413958.418897152,5406310.892951776,Mongolia,MN,Ömnögovĭ,minor,,
Dzuunmod,11905928.78588603,6058238.500272011,Mongolia,MN,Töv,admin,,
Dzuunmod,10840137.39067627,6142280.354735397,Mongolia,MN,Dzavhan,minor,,
Bayanbaraat,11827695.896785317,5920337.823829031,Mongolia,MN,Töv,minor,,
Bayanbulag,10920442.046820136,5909489.863677087,Mongolia,MN,Bayanhongor,minor,,
Bayanbulag,11011353.001407808,5621521.486192066,Mongolia,MN,Bayanhongor,minor,,
Bayannuur,10144916.223853834,6263556.960325055,Mongolia,MN,Bayan-Ölgiy,minor,,
Tavanbulag,11341600.749881525,6004869.781454874,Mongolia,MN,Arhangay,minor,,
