city,x,y,country,iso2,admin,capital,population,population_proper
Potkrajnica,2148868.146991434,5228878.934492792,Montenegro,ME,,,145850,136473
Petnjica,2222431.7400508258,5298114.089985687,Montenegro,ME,Petnjica,admin,,
Ulcinj,2138045.443457531,5150250.113029767,Montenegro,ME,Ulcinj,admin,,
Budva,2097259.2065452742,5203976.134933757,Montenegro,ME,Budva,admin,,
Nikšić,2110431.9758493146,5277787.01881734,Montenegro,ME,Nikšić,admin,,
Danilovgrad,2126789.818423932,5243306.399185363,Montenegro,ME,Danilovgrad,admin,,
Tivat,2081241.5563345205,5226574.212989443,Montenegro,ME,Tivat,admin,,
Rožaje,2245128.5597091755,5288240.267170306,Montenegro,ME,Rožaje,admin,,
Golubovci,2140797.483908922,5211293.663309466,Montenegro,ME,,minor,,
Plav,2220329.1375087225,5250822.459388586,Montenegro,ME,Plav,admin,,
Plužine,2097197.312908393,5335255.203404897,Montenegro,ME,Plužine,admin,,
Bar,2126233.2209699657,5174928.989918315,Montenegro,ME,Bar,admin,,
Podgorica,2144415.3673597034,5227286.47756255,Montenegro,ME,Podgorica,primary,,
Mojkovac,2179913.9284592797,5306476.99873454,Montenegro,ME,Mojkovac,admin,,
Žabljak,2128645.0690574925,5335551.843392089,Montenegro,ME,Žabljak,admin,,
Herceg-Novi,2063585.060580309,5229088.496219038,Montenegro,ME,Herceg Novi,admin,,
Šavnik,2125831.246288711,5305336.162105457,Montenegro,ME,Šavnik,admin,,
Cetinje,2106443.064535719,5219914.677406038,Montenegro,ME,Cetinje,admin,,
Tuzi,2151960.3798066904,5215896.2252907,Montenegro,ME,,minor,,
Andrijevica,2203229.1278889864,5271554.356751244,Montenegro,ME,Andrijevica,admin,,
Kolašin,2173234.7590116835,5285246.452162092,Montenegro,ME,Kolašin,admin,,
Berane,2212289.30992516,5288029.384606108,Montenegro,ME,Berane,admin,,
Kotor,2089683.2472798473,5224982.144280114,Montenegro,ME,Kotor,admin,,
Bijelo Polje,2198065.239350068,5316412.4160114,Montenegro,ME,Bijelo Polje,admin,,
Gusinje,2207898.4239303097,5245531.176879661,Montenegro,ME,Gusinje,admin,,
Pljevlja,2154496.015167979,5365738.2235358255,Montenegro,ME,Pljevlja,admin,,
