city,x,y,country,iso2,admin,capital,population,population_proper
Maputo,3627809.4758169553,-2994781.110271002,Mozambique,MZ,Maputo,primary,1446000,1191613
Matola,3613121.425604237,-2977937.8833243484,Mozambique,MZ,Maputo,,543907,462829
Beira,3878247.3832833804,-2254513.6766136494,Mozambique,MZ,Sofala,admin,530604,483789
Nampula,4370928.8591794465,-1703001.545221286,Mozambique,MZ,Nampula,admin,388526,383845
Chimoio,3727347.5796216135,-2168643.637802474,Mozambique,MZ,Manica,admin,256936,228141
Quelimane,4106390.44577271,-2023345.0535848853,Mozambique,MZ,Zambézia,admin,188964,169101
Tete,3738850.667883245,-1822840.602370271,Mozambique,MZ,Tete,admin,129316,115050
Xai-Xai,3745251.5386038586,-2882126.124218891,Mozambique,MZ,Gaza,admin,128805,127366
Maxixe,3934834.7539967974,-2736323.917053323,Mozambique,MZ,Inhambane,,119868,105895
Inhambane,3938854.612128833,-2736966.379037198,Mozambique,MZ,Inhambane,admin,115776,73884
Pemba,4509305.22012697,-1455257.8868621236,Mozambique,MZ,Cabo Delgado,admin,110643,108737
Lichinga,3922960.7491918416,-1495489.1383366608,Mozambique,MZ,Niassa,admin,109839,78828
Dondo,3867579.3025221885,-2226821.1492291624,Mozambique,MZ,Sofala,,78648,71787
Cuamba,4075066.3655778808,-1671311.3789151688,Mozambique,MZ,Niassa,,73268,63141
Montepuez,4341429.194119229,-1474080.391176093,Mozambique,MZ,Cabo Delgado,,72279,25803
Mocuba,4258743.525386782,-1902240.355859147,Mozambique,MZ,Zambézia,,68984,68984
Ilha de Moçambique,4534692.18659983,-1693138.0787995819,Mozambique,MZ,Nampula,,54315,27086
Mocímboa da Praia,4491988.805417131,-1271348.5731568602,Mozambique,MZ,Cabo Delgado,,27909,27909
R. Macia,3685046.173120169,-2877280.04581806,Mozambique,MZ,Gaza,,23156,3034
Marrupa,4174419.0111108776,-1482464.0284299802,Mozambique,MZ,Niassa,,8762,8762
Nicoadala,4098752.7041898924,-1991722.7416615377,Mozambique,MZ,Zambézia,,6945,6945
Manica,3659865.0363857863,-2147088.4085769486,Mozambique,MZ,Manica,,4000,3427
Ligonha,4201197.582538145,-1709504.6959357974,Mozambique,MZ,Nampula,,3500,3121
Quissico,3867517.408885307,-2841425.9922486544,Mozambique,MZ,Inhambane,,1210,1210
Massangena,3668688.4418650423,-2456119.6106297905,Mozambique,MZ,Gaza,,650,619
Panda,3866156.862068832,-2761127.4123367732,Mozambique,MZ,Inhambane,,602,602
Chiramba,3857869.682576726,-1908314.989268517,Mozambique,MZ,Manica,,556,556
Espungabera,3647886.1686205035,-2326611.101453408,Mozambique,MZ,Manica,,393,393
Mapai,3558111.1181168878,-2613049.917423012,Mozambique,MZ,Gaza,,201,201
Vilankulo,3931433.386955609,-2511525.2348457137,Mozambique,MZ,Inhambane,,177,177
