city,x,y,country,iso2,admin,capital,population,population_proper
Windhoek,1901738.877430367,-2580099.578537307,Namibia,NA,Khomas,primary,268132,262796
Rundu,2200415.3051202046,-2029746.7627050234,Namibia,NA,Kavango East,admin,58172,28798
Walvisbaai,1614720.1607748736,-2626879.790011606,Namibia,NA,Erongo,,52058,46951
Swakopmund,1617843.229089079,-2593767.7772004935,Namibia,NA,Erongo,admin,29491,25047
Rehoboth,1901707.9306119264,-2670359.3414932285,Namibia,NA,Hardap,,25219,21377
Ongwediva,1755137.3419471101,-2012203.560994398,Namibia,NA,Oshana,,25032,9654
Katima Mulilo,2701353.0136899357,-1979106.4997243886,Namibia,NA,Zambezi,admin,25027,18470
Otjiwarongo,1853469.5217080046,-2326416.4945302485,Namibia,NA,Otjozondjupa,admin,24815,21224
Grootfontein,2016738.1453113032,-2221766.7222193256,Namibia,NA,Otjozondjupa,,24099,14200
Okahandja,1883154.756359375,-2509524.2800735054,Namibia,NA,Otjozondjupa,,20879,18503
Keetmanshoop,2018593.3959448638,-3071510.464740121,Namibia,NA,//Karas,admin,18039,15608
Gobabis,2111359.712485586,-2565639.567567011,Namibia,NA,Omaheke,admin,16321,16321
Lüderitz,1687541.5867891463,-3079569.3883378524,Namibia,NA,//Karas,,15137,13295
Tsumeb,1972210.3489939936,-2182426.4496534546,Namibia,NA,Oshikoto,admin,14959,12190
Mariental,2000040.221692312,-2830774.60387443,Namibia,NA,Hardap,admin,13380,11960
Oshikango,1768124.5416599982,-1967437.5313950607,Namibia,NA,Ohangwena,,12423,2658
Omaruru,1773690.516199662,-2443624.562604119,Namibia,NA,Erongo,,11547,11547
Bethanie,1909129.2671046415,-3059068.0070234113,Namibia,NA,//Karas,,10363,5881
Usakos,1736584.0563750677,-2511525.2348457137,Namibia,NA,Erongo,,9147,1640
Oranjemund,1829350.2615962988,-3318494.846032419,Namibia,NA,//Karas,,8496,5950
Karibib,1762558.5671203346,-2503522.9446195853,Namibia,NA,Erongo,,6898,6898
Outjo,1797809.7763113678,-2286856.868274672,Namibia,NA,Kunene,,6557,6170
Karasburg,2087240.4523738795,-3251075.2795858956,Namibia,NA,//Karas,,6054,4089
Opuwo,1541774.947486839,-2045353.2769210092,Namibia,NA,Kunene,admin,4857,4857
Otavi,1929537.8033102448,-2231614.3898897716,Namibia,NA,Otjozondjupa,,4562,4562
Maltahöhe,1890575.981532599,-2855287.1813657973,Namibia,NA,Hardap,,2329,2329
Outapi,1667936.9999460522,-1979106.4997243886,Namibia,NA,Omusati,admin,,
Oshakati,1745860.6435013434,-2012203.560994398,Namibia,NA,Oshana,admin,,
Nkurenkuru,2070542.5287548886,-1992728.4562575454,Namibia,NA,Kavango West,admin,,
Eenhana,1818218.3125169715,-1975216.1709294142,Namibia,NA,Ohangwena,admin,,
