city,x,y,country,iso2,admin,capital,population,population_proper
The Hague,478673.8104110763,6815207.177257663,Netherlands,NL,Zuid-Holland,primary,1406000,501725
Amsterdam,547320.8668400921,6863659.039714891,Netherlands,NL,Noord-Holland,primary,1031000,741636
Rotterdam,500937.70856973104,6785071.781476798,Netherlands,NL,Zuid-Holland,minor,1005000,598199
Utrecht,569855.0487223928,6817105.854763016,Netherlands,NL,Utrecht,admin,640000,316448
Eindhoven,608546.5867763924,6701282.868773621,Netherlands,NL,Noord-Brabant,minor,398053,209620
Haarlemmerliede,521863.32381006907,6870746.415692034,Netherlands,NL,Noord-Holland,,349957,147590
Groningen,729142.6646959418,7023176.445316105,Netherlands,NL,Groningen,admin,216688,181194
Arnhem,659638.7821462904,6796477.112246401,Netherlands,NL,Gelderland,admin,141674,141674
’s-Hertogenbosch,590750.941658689,6746097.521506791,Netherlands,NL,Noord-Brabant,admin,134520,134520
Leeuwarden,646609.0583879194,7020336.847342219,Netherlands,NL,Fryslân,admin,125778,91424
Maastricht,632665.7355686079,6594803.227460435,Netherlands,NL,Limburg,admin,122378,122378
Zwolle,677470.6060985018,6892093.433539865,Netherlands,NL,Overijssel,admin,111805,111805
Assen,730614.6423227013,6982026.686569463,Netherlands,NL,Drenthe,admin,62237,62237
Middelburg,402193.31273442885,6710283.459498189,Netherlands,NL,Zeeland,admin,46485,46485
Halfweg,529595.9095990423,6869681.261058633,Netherlands,NL,Noord-Holland,minor,,
Franeker,616995.8474470928,7018146.084097315,Netherlands,NL,Fryslân,minor,,
Gieten,753002.6617135906,6984226.420132609,Netherlands,NL,Drenthe,minor,,
Bergeijk,596623.8240344697,6677862.68530191,Netherlands,NL,Noord-Brabant,minor,,
Odijk,582804.0658499388,6809576.452511942,Netherlands,NL,Utrecht,minor,,
Grootegast,698552.0686259503,7022234.137482257,Netherlands,NL,Groningen,minor,,
Oostzaan,542270.6355012734,6881337.230301471,Netherlands,NL,Noord-Holland,minor,,
Bleskensgraaf,532621.9073172758,6777014.600162786,Netherlands,NL,Zuid-Holland,minor,,
Haarlem,517635.63218872214,6866697.025090631,Netherlands,NL,Noord-Holland,admin,,
Lelystad,609361.6680879808,6894268.061509499,Netherlands,NL,Flevoland,admin,,
Valkenswaard,607370.3850366707,6683914.233262691,Netherlands,NL,Noord-Brabant,minor,,
Stein,642007.2219580162,6615708.425711749,Netherlands,NL,Limburg,minor,,
De Steeg,674706.8771005772,6803685.89954401,Netherlands,NL,Gelderland,minor,,
Diever,703370.9780629002,6956593.236331165,Netherlands,NL,Drenthe,minor,,
Uithuizen,742600.7458548854,7058873.054941991,Netherlands,NL,Groningen,minor,,
Uithoorn,539315.5482986752,6843836.832106379,Netherlands,NL,Noord-Holland,minor,,
Bergschenhoek,502698.22631662665,6797820.238344098,Netherlands,NL,Zuid-Holland,minor,,
Zundert,518538.3219395648,6704756.820063373,Netherlands,NL,Noord-Brabant,minor,,
Nunspeet,645641.2467349627,6869944.983139267,Netherlands,NL,Gelderland,minor,,
Nuth,655229.1944769872,6606678.7733392855,Netherlands,NL,Limburg,minor,,
Opheusden,627199.3919732042,6788075.8372172555,Netherlands,NL,Gelderland,minor,,
Veenendaal,618913.1030370252,6804533.243868165,Netherlands,NL,Utrecht,minor,,
Oost-Vlieland,564115.5270965823,7037896.979296353,Netherlands,NL,Fryslân,minor,,
Middelharnis,463476.3622084878,6756129.853894831,Netherlands,NL,Zuid-Holland,minor,,
Almelo,741031.2523541912,6865409.838055301,Netherlands,NL,Overijssel,minor,,
Bladel,580969.298002684,6686861.003435549,Netherlands,NL,Noord-Brabant,minor,,
Hulst,451173.88868346927,6671168.318065568,Netherlands,NL,Zeeland,minor,,
Zwijndrecht,514032.22027174383,6767047.197914577,Netherlands,NL,Zuid-Holland,minor,,
Epe,666188.2643871127,6863311.877883586,Netherlands,NL,Gelderland,minor,,
Hardenberg,737159.1151864378,6904642.634873624,Netherlands,NL,Overijssel,minor,,
Hengelo,755821.2712204763,6848616.145905196,Netherlands,NL,Overijssel,minor,,
Lisse,506221.26556125213,6846151.032395767,Netherlands,NL,Zuid-Holland,minor,,
Nuenen,620271.312144194,6704292.028108164,Netherlands,NL,Noord-Brabant,minor,,
Vught,589346.3123238594,6738019.160389252,Netherlands,NL,Noord-Brabant,minor,,
Blaricum,584348.289826223,6849738.9189111125,Netherlands,NL,Noord-Holland,minor,,
Marum,697471.2676898384,7010952.9489046605,Netherlands,NL,Groningen,minor,,
Elburg,649396.3871178922,6881664.713601855,Netherlands,NL,Gelderland,minor,,
Hoogezand,753617.7019002234,7013296.216598126,Netherlands,NL,Groningen,minor,,
Uden,626058.5898315548,6739558.84960918,Netherlands,NL,Noord-Brabant,minor,,
Hendrik-Ido-Ambacht,518008.44116338884,6770536.926835067,Netherlands,NL,Zuid-Holland,minor,,
Oud-Beijerland,491730.9187641826,6767113.286190211,Netherlands,NL,Zuid-Holland,minor,,
Goor,733076.5841810855,6842817.580024091,Netherlands,NL,Overijssel,minor,,
Urk,622767.4290862515,6920584.1610932965,Netherlands,NL,Flevoland,minor,,
Doorn,594785.4939635096,6806795.675492302,Netherlands,NL,Utrecht,minor,,
Denekamp,779728.4677022212,6868976.767870534,Netherlands,NL,Overijssel,minor,,
Heerenveen,658891.2717656136,6975482.122623266,Netherlands,NL,Fryslân,minor,,
Roermond,666625.9726249118,6655450.279652425,Netherlands,NL,Limburg,minor,,
Waalre,604570.5885237291,6690658.305212301,Netherlands,NL,Noord-Brabant,minor,,
Ballum,633136.283056191,7065562.406374709,Netherlands,NL,Fryslân,minor,,
Weert,636513.8277263498,6665735.490588116,Netherlands,NL,Limburg,minor,,
Valkenburg,648744.8341382791,6597419.335816599,Netherlands,NL,Limburg,minor,,
Etten-Leur,519490.9941417736,6723501.379359855,Netherlands,NL,Noord-Brabant,minor,,
West-Terschelling,580499.6410710273,7050040.706472687,Netherlands,NL,Fryslân,minor,,
Rucphen,507441.4384998372,6716008.185976528,Netherlands,NL,Noord-Brabant,minor,,
Vianen,567201.5260203535,6797785.5322411265,Netherlands,NL,Utrecht,minor,,
Best,600329.7612024685,6711092.498069803,Netherlands,NL,Noord-Brabant,minor,,
Meerssen,641064.3458709972,6600755.618395297,Netherlands,NL,Limburg,minor,,
Kruiningen,448988.57575970644,6701282.868773621,Netherlands,NL,Zeeland,minor,,
Voerendaal,660675.5005640482,6600052.684876059,Netherlands,NL,Limburg,minor,,
Coevorden,750584.5797345791,6921227.114110146,Netherlands,NL,Drenthe,minor,,
Soest,590316.7956445952,6832858.518524358,Netherlands,NL,Utrecht,minor,,
Landgraaf,673113.0046313991,6605683.133498473,Netherlands,NL,Limburg,minor,,
Meppel,690180.8429182961,6927697.68990079,Netherlands,NL,Drenthe,minor,,
Geldrop,620252.3878307592,6696347.486187009,Netherlands,NL,Noord-Brabant,minor,,
Beilen,725266.9653044832,6957275.961465071,Netherlands,NL,Drenthe,minor,,
Helmond,634534.5671800454,6706899.208396271,Netherlands,NL,Noord-Brabant,minor,,
Hellevoetsluis,459815.8433927326,6768920.928196414,Netherlands,NL,Zuid-Holland,minor,,
Waddinxveen,517930.96279779664,6808817.815871332,Netherlands,NL,Zuid-Holland,minor,,
Kollum,684940.7005281844,7034391.942582072,Netherlands,NL,Fryslân,minor,,
Borculo,725885.5677148215,6821128.973487445,Netherlands,NL,Gelderland,minor,,
Made,533526.378179971,6741912.912489956,Netherlands,NL,Noord-Brabant,minor,,
Groesbeek,661254.3619161732,6759339.091419959,Netherlands,NL,Gelderland,minor,,
Beuningen,641918.9456018171,6774832.750268021,Netherlands,NL,Gelderland,minor,,
Werkendam,544765.3052899507,6765806.927067162,Netherlands,NL,Noord-Brabant,minor,,
Zevenbergen,512026.02040866745,6736682.666564441,Netherlands,NL,Noord-Brabant,minor,,
