city,x,y,country,iso2,admin,capital,population,population_proper
Auckland,19454936.37807761,-4420538.145967059,New Zealand,NZ,,,1377200,395982
Wellington,19456791.628711168,-5056692.808763348,New Zealand,NZ,,primary,393400,393400
Christchurch City,19217454.72350563,-5393506.130539223,New Zealand,NZ,Canterbury,,363200,363200
Waitakere,19430817.117965903,-4418219.2944757,New Zealand,NZ,,,208100,208100
Northcote,19452617.14780642,-4413390.104364634,New Zealand,NZ,,,205605,205605
Hamilton,19512451.374107808,-4548863.085837515,New Zealand,NZ,,,148200,148200
Tauranga,19610783.66518819,-4535178.230114188,New Zealand,NZ,,,121500,121500
Dunedin,18979973.180253144,-5759008.197591135,New Zealand,NZ,Otago,,117700,117700
Lower Hutt,19471634.3016966,-5044352.716337325,New Zealand,NZ,,,102400,102400
Palmerston North,19549557.945251893,-4916934.4421298485,New Zealand,NZ,,,82400,82400
Nelson,19289702.631503336,-5052760.863178981,New Zealand,NZ,Nelson,,60800,60800
Napier,19694273.283283144,-4791143.259443628,New Zealand,NZ,,,57800,57800
Porirua Pa,19462357.603250835,-5032028.187509152,New Zealand,NZ,,,52500,52500
New Plymouth,19378867.985155877,-4731225.552196232,New Zealand,NZ,,,52500,52500
Invercargill,18741927.135862842,-5849313.801442225,New Zealand,NZ,Southland,,49200,49200
Wanganui,19486476.86336254,-4856259.136823439,New Zealand,NZ,,,43200,43200
Gisborne,19815333.22952083,-4672135.451785289,New Zealand,NZ,,,34300,34300
Timaru,19064040.991783276,-5527310.783738437,New Zealand,NZ,Canterbury,,27200,27200
Pukekohe East,19475344.91428321,-4467020.993627969,New Zealand,NZ,,,26300,26300
Paraparaumu Beach,19479055.526869822,-4997602.857167659,New Zealand,NZ,,,25263,25263
Taupo,19601506.966742426,-4676412.716235472,New Zealand,NZ,,,22600,22600
Masterton,19554103.454019453,-5006402.482068973,New Zealand,NZ,,,20200,20200
Levin,19511523.748791028,-4958407.876647528,New Zealand,NZ,,,19550,19550
Whakatane,19703549.87040942,-4577071.592236209,New Zealand,NZ,,,18700,18700
Tokoroa,19577387.817950208,-4612440.581404241,New Zealand,NZ,,,13350,13350
Hawera,19401131.88331453,-4806780.65986425,New Zealand,NZ,,,11100,11100
Greymouth,19058651.347317033,-5228795.050755819,New Zealand,NZ,West Coast,,10100,10100
Thames,19540281.246806122,-4457708.019056367,New Zealand,NZ,,,6756,6756
Kerikeri,19365880.78544299,-4193364.445471399,New Zealand,NZ,,,5856,5856
Wanaka,18827400.578603227,-5575943.502192506,New Zealand,NZ,Otago,,5037,5037
Westport,19100576.93921756,-5124004.547861571,New Zealand,NZ,West Coast,,3900,3900
Turangi,19584809.04312343,-4721671.572580109,New Zealand,NZ,,,3240,3240
Hokitika,19031593.475287367,-5269027.509523674,New Zealand,NZ,West Coast,,3078,3078
Waioruarangi,19334340.188838568,-5221087.110313787,New Zealand,NZ,,,2172,2172
Te Anau,18670023.205091693,-5687037.413868009,New Zealand,NZ,Southland,,1857,1857
Waitangi,-19651600.7375994,-5457707.825688521,New Zealand,NZ,,,300,300
