city,x,y,country,iso2,admin,capital,population,population_proper
Niamey,235626.292618926,1518822.5944173508,Niger,NE,Niamey,primary,915000,742791
Maradi,790562.5258241858,1516914.4453372383,Niger,NE,Maradi,admin,232555,163487
Zinder,1000580.8827810274,1551839.1349962638,Niger,NE,Zinder,admin,230358,191424
Agadez,889566.4073925271,1917721.0656624788,Niger,NE,Agadez,,117770,88561
Tahoua,586564.660887917,1676388.061060849,Niger,NE,Tahoua,admin,115956,80425
Arlit,822125.3863267658,2123989.679671527,Niger,NE,Agadez,minor,100000,80000
Birnin Konni,585017.097326909,1550779.0511801708,Niger,NE,Tahoua,minor,65252,48103
Dosso,355521.05774647783,1465330.9601700092,Niger,NE,Dosso,admin,49750,43213
Gaya,383962.0744492513,1332549.1667021655,Niger,NE,Dosso,minor,33051,25738
Diffa,1403888.5036182967,1495784.5039953403,Niger,NE,Diffa,admin,30988,27948
Ayorou,102122.83106138729,1658188.9870795892,Niger,NE,Tillabéri,,26290,1712
Madaoua,663464.1651279104,1582592.980016779,Niger,NE,Tahoua,minor,24804,15104
Tillabéri,161878.46580227176,1597988.8469759393,Niger,NE,Tillabéri,admin,19262,8362
Nguigmi,1459310.6932215807,1602860.34684952,Niger,NE,Diffa,minor,17897,12739
Gouré,1143290.5775466603,1572324.0731256746,Niger,NE,Zinder,minor,14639,11944
Djado,1370169.4958985418,2393784.3727377392,Niger,NE,Agadez,,10,10
Illéla,583726.0138726885,1627102.0849788978,Niger,NE,Tahoua,minor,,
Guidan Roumdji,745359.131517252,1534962.550942656,Niger,NE,Maradi,minor,,
Tchintabaraden,645486.0673647968,1792786.2813246131,Niger,NE,Tahoua,minor,,
Say,263704.74174018577,1471239.3509518919,Niger,NE,Tillabéri,minor,,
Loga,360207.6083088746,1529876.964871979,Niger,NE,Dosso,minor,,
Ouallam,232209.11821004486,1610543.213229102,Niger,NE,Tillabéri,minor,,
Téra,83830.1444172918,1575107.0771619042,Niger,NE,Tillabéri,minor,,
Keïta,642858.9273820756,1660992.3562415035,Niger,NE,Tahoua,minor,,
Dogondoutchi,448478.1758944193,1532869.9874823643,Niger,NE,Dosso,minor,,
Magaria,991846.9781723685,1459533.1389246136,Niger,NE,Zinder,minor,,
Filingué,369224.4870631298,1614643.2935393853,Niger,NE,Tillabéri,minor,,
Abalak,699008.4785382027,1741220.1523731647,Niger,NE,Tahoua,minor,,
Kollo,260376.2889654669,1494519.3269988706,Niger,NE,Tillabéri,minor,,
Tchirozérine,863995.2071624042,1946561.5542543833,Niger,NE,Agadez,minor,,
Mayahi,853955.7475657221,1569091.3704808298,Niger,NE,Maradi,minor,,
Bilma,1437850.0765084904,2117922.8333988036,Niger,NE,Agadez,minor,,
Bouza,672679.6378537408,1622783.462418109,Niger,NE,Tahoua,minor,,
Tanout,989392.1607613952,1685845.0836698175,Niger,NE,Zinder,minor,,
Aguié,865912.7967108092,1517602.26579165,Niger,NE,Maradi,minor,,
Maïné Soroa,1338516.689247401,1483893.8863866446,Niger,NE,Diffa,minor,,
Birnin Gaouré,324050.25846278376,1469071.1591140716,Niger,NE,Dosso,minor,,
Tessaoua,889153.8573596473,1546394.5008007311,Niger,NE,Maradi,minor,,
Mirriah,1018587.4783337839,1540654.0856799707,Niger,NE,Zinder,minor,,
Dakoro,753076.3552164957,1632857.2452556486,Niger,NE,Maradi,minor,,
Madarounfa,796604.836464954,1495019.3281098611,Niger,NE,Maradi,minor,,
Kantché,942089.0582191187,1521409.0609802767,Niger,NE,Zinder,minor,,
