city,x,y,country,iso2,admin,capital,population,population_proper
Lagos,377893.2697696744,719987.5881129926,Nigeria,NG,Lagos,minor,9466000,1536
Kano,947680.6362416649,1345979.3827263513,Nigeria,NG,Kano,admin,3140000,3140000
Ibadan,434803.5783258828,823545.3090536423,Nigeria,NG,Oyo,admin,2628000,1814570
Abuja,838606.7935361639,1015414.3689808775,Nigeria,NG,Federal Capital Territory,primary,1576000,162135
Kaduna,828082.8715155495,1178443.0919442591,Nigeria,NG,Kaduna,admin,1442000,940593
Benin City,626255.5140107679,707003.3893920855,Nigeria,NG,Edo,admin,1190000,668026
Ikare,640467.4507613636,840200.3323183381,Nigeria,NG,Ondo,minor,1099931,700000
Port Harcourt,780728.5620075081,532437.6173221562,Nigeria,NG,Rivers,admin,1020000,1020000
Ogbomoso,472010.67097015417,908498.7247457999,Nigeria,NG,Oyo,minor,951000,239127
Aba,820053.6192836121,569215.5378461905,Nigeria,NG,Abia,minor,897560,851210
Maiduguri,1464644.121344977,1328292.2986248569,Nigeria,NG,Borno,admin,896000,512460
Zaria,858313.237713334,1241060.6055280494,Nigeria,NG,Kaduna,minor,889000,620673
Warri,640094.1965087338,615142.2544618271,Nigeria,NG,Delta,minor,830106,536023
Jos,989866.0478337023,1110807.6024113083,Nigeria,NG,Plateau,admin,816824,657313
Ilorin,505629.04587023205,949327.7459076995,Nigeria,NG,Kwara,admin,771000,632484
Oyo,437624.636861566,876894.1695521192,Nigeria,NG,Oyo,minor,736072,213961
Sokoto,580451.5510510046,1465219.5468919564,Nigeria,NG,Sokoto,,732178,563861
Enugu,834766.3824232869,718559.7900733678,Nigeria,NG,Enugu,admin,688862,688862
Abeokuta,372373.2701797083,798648.8799470192,Nigeria,NG,Ogun,admin,593100,289362
Uyo,882381.7361372384,561030.1388045104,Nigeria,NG,Akwa Ibom,admin,554906,436606
Awka,787249.8804171595,692952.7167501957,Nigeria,NG,Anambra,admin,500000,301657
Ile-Ife,507652.94553234446,835315.204549513,Nigeria,NG,Osun,minor,482365,482365
Calabar,926951.8338610493,552716.157148576,Nigeria,NG,Cross River,admin,461796,247517
Ado-Ekiti,581184.5898978781,851135.6007740204,Nigeria,NG,Ekiti,admin,446749,446749
Katsina,846225.0542080924,1458683.8405700098,Nigeria,NG,Katsina,admin,432149,432149
Akure,578095.2513893832,809515.9624696762,Nigeria,NG,Ondo,admin,420594,420594
Osogbo,507280.58183564106,867733.2761651217,Nigeria,NG,Osun,admin,408245,408245
Bauchi,1095816.042988562,1153984.5915289589,Nigeria,NG,Bauchi,admin,316149,172552
Mele,634671.9354316843,656734.7980470859,Nigeria,NG,Delta,,309162,161686
Makurdi North,951870.7018751238,865290.2605386972,Nigeria,NG,Benue,,292645,198090
Minna,728893.309036565,1075422.784012239,Nigeria,NG,Niger,admin,291905,206171
Owo,621920.3990808055,803191.2288605128,Nigeria,NG,Ondo,minor,276574,125250
Gombe,1243136.8137018345,1151650.3427302663,Nigeria,NG,Gombe,admin,270366,250258
Umuahia,834296.5028526485,615985.8510245378,Nigeria,NG,Abia,admin,264662,264662
Ondo,538260.5734844274,791632.2273748555,Nigeria,NG,Ondo,minor,257005,255883
Damaturu,1331473.0597869472,1316925.152475987,Nigeria,NG,Yobe,admin,255895,255895
Iwo,465488.6846435578,852481.006722966,Nigeria,NG,Osun,minor,250443,166934
Gusau,741845.9997073071,1365088.9649493177,Nigeria,NG,Zamfara,admin,226857,144993
Mubi,1476877.1315077408,1149262.622133703,Nigeria,NG,Adamawa,minor,225705,203715
Owerri,782937.5859828098,611368.5128072947,Nigeria,NG,Imo,admin,215038,215038
Ijebu-Ode,436073.0657988893,760935.7524359784,Nigeria,NG,Ogun,minor,209175,199827
